"GO.ID"	"OG"	"Zea_mays_total"	"Zea_mays_sigDE"
"GO:0009414"	"N0.HOG0006271"	"6"	"1"
"GO:0009414"	"N0.HOG0001702"	"2"	"2"
"GO:0009414"	"N0.HOG0006824"	"2"	"2"
"GO:0009414"	"N0.HOG0017121"	"2"	"2"
"GO:0009414"	"N0.HOG0004652"	"5"	"1"
"GO:0009414"	"N0.HOG0000969"	"2"	"2"
"GO:0009414"	"N0.HOG0006817"	"2"	"2"
"GO:0009414"	"N0.HOG0008319"	"2"	"2"
"GO:0009414"	"N0.HOG0011584"	"2"	"2"
"GO:0009414"	"N0.HOG0000951"	"6"	"1"
"GO:0009414"	"N0.HOG0013739"	"2"	"1"
"GO:0009414"	"N0.HOG0005274"	"3"	"1"
"GO:0009414"	"N0.HOG0017487"	"2"	"1"
"GO:0009414"	"N0.HOG0006053"	"2"	"1"
"GO:0009414"	"N0.HOG0006529"	"2"	"1"
"GO:0009414"	"N0.HOG0009376"	"2"	"1"
"GO:0009414"	"N0.HOG0009828"	"2"	"1"
"GO:0009414"	"N0.HOG0010839"	"2"	"1"
"GO:0009414"	"N0.HOG0015605"	"2"	"1"
"GO:0009414"	"N0.HOG0007568"	"2"	"1"
"GO:0009414"	"N0.HOG0008285"	"2"	"1"
"GO:0009414"	"N0.HOG0009114"	"2"	"1"
"GO:0009414"	"N0.HOG0009637"	"2"	"1"
"GO:0009414"	"N0.HOG0014378"	"2"	"1"
