"GO.ID"	"OG"	"Zea_mays_total"	"Zea_mays_sigDE"
"GO:0071215"	"N0.HOG0006225"	"3"	"2"
"GO:0071215"	"N0.HOG0001702"	"2"	"2"
"GO:0071215"	"N0.HOG0016753"	"2"	"2"
"GO:0071215"	"N0.HOG0004918"	"2"	"2"
"GO:0071215"	"N0.HOG0007725"	"2"	"2"
"GO:0071215"	"N0.HOG0008037"	"2"	"2"
"GO:0071215"	"N0.HOG0009741"	"2"	"2"
"GO:0071215"	"N0.HOG0011584"	"2"	"2"
"GO:0071215"	"N0.HOG0012401"	"2"	"2"
"GO:0071215"	"N0.HOG0005274"	"3"	"1"
"GO:0071215"	"N0.HOG0005967"	"3"	"1"
"GO:0071215"	"N0.HOG0008768"	"2"	"1"
"GO:0071215"	"N0.HOG0008784"	"2"	"1"
"GO:0071215"	"N0.HOG0008855"	"2"	"1"
"GO:0071215"	"N0.HOG0009828"	"2"	"1"
"GO:0071215"	"N0.HOG0010839"	"2"	"1"
"GO:0071215"	"N0.HOG0015605"	"2"	"1"
"GO:0071215"	"N0.HOG0002218"	"2"	"1"
"GO:0071215"	"N0.HOG0007568"	"2"	"1"
"GO:0071215"	"N0.HOG0009637"	"2"	"1"
"GO:0071215"	"N0.HOG0009753"	"2"	"1"
"GO:0071215"	"N0.HOG0014378"	"2"	"1"
