"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0008295","spermidine biosynthetic process",6,5,0.48,1.9e-05,"BP"
"2","GO:0006597","spermine biosynthetic process",4,4,0.32,4.2e-05,"BP"
"3","GO:0010597","green leaf volatile biosynthetic process",20,8,1.61,9.1e-05,"BP"
"4","GO:0042744","hydrogen peroxide catabolic process",86,18,6.94,0.00014,"BP"
"5","GO:0015795","sorbitol transmembrane transport",8,5,0.65,0.00015,"BP"
"6","GO:0015797","mannitol transmembrane transport",8,5,0.65,0.00015,"BP"
"7","GO:0015752","D-ribose transmembrane transport",8,5,0.65,0.00015,"BP"
"8","GO:0015753","D-xylose transmembrane transport",8,5,0.65,0.00015,"BP"
"9","GO:0015757","galactose transmembrane transport",8,5,0.65,0.00015,"BP"
"10","GO:0009423","chorismate biosynthetic process",12,6,0.97,0.00016,"BP"
"11","GO:0098869","cellular oxidant detoxification",140,25,11.3,0.00021,"BP"
"12","GO:0009723","response to ethylene",164,22,13.23,0.00029,"BP"
"13","GO:0015798","myo-inositol transport",9,5,0.73,0.00032,"BP"
"14","GO:0045493","xylan catabolic process",19,7,1.53,0.00046,"BP"
"15","GO:1902039","negative regulation of seed dormancy pro...",3,3,0.24,0.00052,"BP"
"16","GO:0048838","release of seed from dormancy",3,3,0.24,0.00052,"BP"
"17","GO:0015746","citrate transport",3,3,0.24,0.00052,"BP"
"18","GO:0015793","glycerol transmembrane transport",10,5,0.81,6e-04,"BP"
"19","GO:0055085","transmembrane transport",930,96,75.03,0.00066,"BP"
"20","GO:0008652","amino acid biosynthetic process",164,21,13.23,0.00091,"BP"
"21","GO:1904659","glucose transmembrane transport",13,6,1.05,0.00103,"BP"
"22","GO:0009737","response to abscisic acid",326,44,26.3,0.0018,"BP"
"23","GO:0006883","intracellular sodium ion homeostasis",4,3,0.32,0.00197,"BP"
"24","GO:0009826","unidimensional cell growth",144,13,11.62,0.0026,"BP"
"25","GO:0006979","response to oxidative stress",259,34,20.9,0.00302,"BP"
"26","GO:2000022","regulation of jasmonic acid mediated sig...",26,7,2.1,0.00366,"BP"
