"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:1902039","negative regulation of seed dormancy pro...",3,2,0.07,0.0016,"BP"
"2","GO:0048838","release of seed from dormancy",3,2,0.07,0.0016,"BP"
"3","GO:0006597","spermine biosynthetic process",4,2,0.09,0.0031,"BP"
"4","GO:0010225","response to UV-C",4,2,0.09,0.0031,"BP"
"5","GO:0009414","response to water deprivation",121,8,2.82,0.0068,"BP"
"6","GO:0010345","suberin biosynthetic process",6,2,0.14,0.0076,"BP"
"7","GO:0008295","spermidine biosynthetic process",6,2,0.14,0.0076,"BP"
"8","GO:0009939","positive regulation of gibberellic acid ...",7,2,0.16,0.0104,"BP"
"9","GO:0009738","abscisic acid-activated signaling pathwa...",90,8,2.09,0.0145,"BP"
"10","GO:0009788","negative regulation of abscisic acid-act...",26,3,0.61,0.0216,"BP"
"11","GO:0010030","positive regulation of seed germination",13,2,0.3,0.0354,"BP"
"12","GO:0042744","hydrogen peroxide catabolic process",37,3,0.86,0.0538,"BP"
"13","GO:0009737","response to abscisic acid",161,12,3.75,0.0574,"BP"
"14","GO:0010311","lateral root formation",18,2,0.42,0.0645,"BP"
"15","GO:0007517","muscle organ development",4,2,0.09,0.0677,"BP"
"16","GO:0010029","regulation of seed germination",32,4,0.74,0.0692,"BP"
"17","GO:0048527","lateral root development",41,4,0.95,0.0694,"BP"
"18","GO:0009739","response to gibberellin",46,4,1.07,0.0695,"BP"
"19","GO:0071456","cellular response to hypoxia",42,3,0.98,0.0732,"BP"
"20","GO:0050896","response to stimulus",1688,48,39.28,0.1035,"BP"
"21","GO:0099402","plant organ development",288,9,6.7,0.105,"BP"
"22","GO:0001666","response to hypoxia",47,4,1.09,0.1093,"BP"
"23","GO:0006412","translation",248,11,5.77,0.1142,"BP"
"24","GO:0007165","signal transduction",572,22,13.31,0.1323,"BP"
"25","GO:0010150","leaf senescence",39,3,0.91,0.136,"BP"
"26","GO:0017148","negative regulation of translation",24,3,0.56,0.1696,"BP"
"27","GO:0006417","regulation of translation",58,5,1.35,0.1809,"BP"
"28","GO:0008203","cholesterol metabolic process",11,2,0.26,0.1897,"BP"
"29","GO:0098869","cellular oxidant detoxification",65,3,1.51,0.192,"BP"
"30","GO:0005985","sucrose metabolic process",14,2,0.33,0.2085,"BP"
"31","GO:0090351","seedling development",71,5,1.65,0.2239,"BP"
"32","GO:0034219","carbohydrate transmembrane transport",30,2,0.7,0.2453,"BP"
"33","GO:0006974","DNA damage response",108,3,2.51,0.2468,"BP"
"34","GO:0006952","defense response",427,10,9.94,0.2478,"BP"
"35","GO:0061157","mRNA destabilization",16,2,0.37,0.2792,"BP"
"36","GO:0006541","glutamine metabolic process",17,2,0.4,0.2959,"BP"
"37","GO:0009073","aromatic amino acid family biosynthetic ...",23,2,0.54,0.3124,"BP"
"38","GO:0009873","ethylene-activated signaling pathway",61,3,1.42,0.3224,"BP"
"39","GO:0006633","fatty acid biosynthetic process",51,2,1.19,0.3337,"BP"
"40","GO:0016042","lipid catabolic process",82,3,1.91,0.3411,"BP"
"41","GO:0008652","amino acid biosynthetic process",73,4,1.7,0.3418,"BP"
"42","GO:0006694","steroid biosynthetic process",35,2,0.81,0.3445,"BP"
"43","GO:0009651","response to salt stress",127,5,2.96,0.3499,"BP"
"44","GO:0009617","response to bacterium",134,3,3.12,0.3629,"BP"
"45","GO:0006970","response to osmotic stress",149,6,3.47,0.371,"BP"
"46","GO:0006355","regulation of DNA-templated transcriptio...",737,18,17.15,0.4204,"BP"
"47","GO:0034220","monoatomic ion transmembrane transport",135,3,3.14,0.4205,"BP"
"48","GO:0009723","response to ethylene",89,4,2.07,0.4283,"BP"
"49","GO:0006520","amino acid metabolic process",142,7,3.3,0.449,"BP"
"50","GO:0016114","terpenoid biosynthetic process",53,3,1.23,0.4673,"BP"
"51","GO:0006979","response to oxidative stress",109,3,2.54,0.4685,"BP"
"52","GO:0009734","auxin-activated signaling pathway",83,3,1.93,0.4923,"BP"
"53","GO:0031347","regulation of defense response",95,3,2.21,0.4944,"BP"
"54","GO:0090697","post-embryonic plant organ morphogenesis",53,3,1.23,0.5146,"BP"
"55","GO:0016310","phosphorylation",449,11,10.45,0.5158,"BP"
