"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:1902039","negative regulation of seed dormancy pro...",3,2,0.03,0.00029,"BP"
"2","GO:0048838","release of seed from dormancy",3,2,0.03,0.00029,"BP"
"3","GO:0006597","spermine biosynthetic process",4,2,0.04,0.00057,"BP"
"4","GO:0008295","spermidine biosynthetic process",6,2,0.06,0.00142,"BP"
"5","GO:0009414","response to water deprivation",225,8,2.22,0.00175,"BP"
"6","GO:0010225","response to UV-C",7,2,0.07,0.00197,"BP"
"7","GO:0010345","suberin biosynthetic process",8,2,0.08,0.00261,"BP"
"8","GO:0009939","positive regulation of gibberellic acid ...",13,2,0.13,0.00704,"BP"
"9","GO:0009738","abscisic acid-activated signaling pathwa...",180,8,1.78,0.00984,"BP"
"10","GO:0009788","negative regulation of abscisic acid-act...",50,3,0.49,0.01318,"BP"
"11","GO:0010030","positive regulation of seed germination",21,2,0.21,0.01801,"BP"
"12","GO:0071456","cellular response to hypoxia",73,3,0.72,0.03555,"BP"
"13","GO:0009737","response to abscisic acid",326,12,3.22,0.04062,"BP"
"14","GO:0010029","regulation of seed germination",55,4,0.54,0.04308,"BP"
"15","GO:0010311","lateral root formation",34,2,0.34,0.04428,"BP"
"16","GO:0048527","lateral root development",78,4,0.77,0.04556,"BP"
"17","GO:0009739","response to gibberellin",93,4,0.92,0.04804,"BP"
"18","GO:0042744","hydrogen peroxide catabolic process",86,3,0.85,0.05341,"BP"
"19","GO:0007517","muscle organ development",9,2,0.09,0.05743,"BP"
"20","GO:0099402","plant organ development",638,9,6.31,0.06349,"BP"
"21","GO:0006412","translation",490,11,4.85,0.06951,"BP"
"22","GO:0007165","signal transduction",1148,22,11.35,0.07127,"BP"
"23","GO:0050896","response to stimulus",3767,48,37.25,0.08631,"BP"
"24","GO:0010150","leaf senescence",83,3,0.82,0.10477,"BP"
"25","GO:0008203","cholesterol metabolic process",16,2,0.16,0.1116,"BP"
"26","GO:0006417","regulation of translation",116,5,1.15,0.13716,"BP"
"27","GO:0090351","seedling development",120,5,1.19,0.14364,"BP"
"28","GO:0017148","negative regulation of translation",46,3,0.45,0.14512,"BP"
"29","GO:0006355","regulation of DNA-templated transcriptio...",1412,18,13.96,0.15603,"BP"
"30","GO:0001666","response to hypoxia",91,4,0.9,0.16099,"BP"
"31","GO:0098869","cellular oxidant detoxification",140,3,1.38,0.1611,"BP"
"32","GO:0034219","carbohydrate transmembrane transport",54,2,0.53,0.17945,"BP"
"33","GO:0005985","sucrose metabolic process",32,2,0.32,0.18721,"BP"
"34","GO:0006952","defense response",963,10,9.52,0.19763,"BP"
"35","GO:0006541","glutamine metabolic process",28,2,0.28,0.21084,"BP"
"36","GO:0009073","aromatic amino acid family biosynthetic ...",37,2,0.37,0.21098,"BP"
"37","GO:0061157","mRNA destabilization",30,2,0.3,0.24137,"BP"
"38","GO:0006694","steroid biosynthetic process",56,2,0.55,0.24928,"BP"
"39","GO:0009873","ethylene-activated signaling pathway",118,3,1.17,0.25029,"BP"
"40","GO:0008652","amino acid biosynthetic process",164,4,1.62,0.2835,"BP"
"41","GO:0009651","response to salt stress",259,5,2.56,0.28699,"BP"
"42","GO:0006974","DNA damage response",348,3,3.44,0.29645,"BP"
"43","GO:0009617","response to bacterium",285,3,2.82,0.30211,"BP"
"44","GO:0006633","fatty acid biosynthetic process",117,2,1.16,0.32228,"BP"
"45","GO:0009723","response to ethylene",164,4,1.62,0.33095,"BP"
