"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0006355","regulation of DNA-templated transcriptio...",1412,641,500.04,8.3e-14,"BP"
"2","GO:0006412","translation",490,227,173.53,2.8e-05,"BP"
"3","GO:2000032","regulation of secondary shoot formation",22,17,7.79,7.4e-05,"BP"
"4","GO:0001732","formation of cytoplasmic translation ini...",20,15,7.08,0.00036,"BP"
"5","GO:0045893","positive regulation of DNA-templated tra...",274,121,97.03,5e-04,"BP"
"6","GO:0009908","flower development",301,139,106.59,0.00154,"BP"
"7","GO:0030154","cell differentiation",455,185,161.13,0.00244,"BP"
"8","GO:0006888","endoplasmic reticulum to Golgi vesicle-m...",55,31,19.48,0.00368,"BP"
"9","GO:0006096","glycolytic process",63,35,22.31,0.00437,"BP"
"10","GO:0009789","positive regulation of abscisic acid-act...",32,19,11.33,0.00479,"BP"
"11","GO:0010498","proteasomal protein catabolic process",141,64,49.93,0.00514,"BP"
"12","GO:0048450","floral organ structural organization",5,5,1.77,0.00556,"BP"
"13","GO:0009742","brassinosteroid mediated signaling pathw...",88,44,31.16,0.00568,"BP"
"14","GO:1901000","regulation of response to salt stress",68,29,24.08,0.00662,"BP"
"15","GO:0090351","seedling development",120,54,42.5,0.00674,"BP"
"16","GO:0006511","ubiquitin-dependent protein catabolic pr...",241,105,85.35,0.00762,"BP"
"17","GO:0051028","mRNA transport",73,34,25.85,0.00956,"BP"
"18","GO:1901600","strigolactone metabolic process",15,9,5.31,0.0096,"BP"
"19","GO:0019287","isopentenyl diphosphate biosynthetic pro...",7,6,2.48,0.0096,"BP"
"20","GO:1901332","negative regulation of lateral root deve...",7,6,2.48,0.0096,"BP"
"21","GO:0009585","red, far-red light phototransduction",25,15,8.85,0.01043,"BP"
"22","GO:0016126","sterol biosynthetic process",27,15,9.56,0.0112,"BP"
"23","GO:0002181","cytoplasmic translation",43,28,15.23,0.01183,"BP"
"24","GO:0008299","isoprenoid biosynthetic process",141,61,49.93,0.01186,"BP"
