"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:2000022"	"regulation of jasmonic acid mediated signaling pathway"	"26"	"15"	"4.33"	"2.4e-06"
"GO:0042744"	"hydrogen peroxide catabolic process"	"86"	"31"	"14.32"	"1.1e-05"
"GO:0006412"	"translation"	"491"	"100"	"81.76"	"1.7e-05"
"GO:0008295"	"spermidine biosynthetic process"	"6"	"6"	"1"	"2.1e-05"
"GO:0008652"	"amino acid biosynthetic process"	"164"	"42"	"27.31"	"2.6e-05"
"GO:0098869"	"cellular oxidant detoxification"	"140"	"42"	"23.31"	"3.1e-05"
"GO:0009414"	"response to water deprivation"	"225"	"59"	"37.47"	"9.6e-05"
"GO:0009423"	"chorismate biosynthetic process"	"12"	"8"	"2"	"0.00015"
"GO:0009073"	"aromatic amino acid family biosynthetic process"	"37"	"16"	"6.16"	"0.00018"
"GO:0055085"	"transmembrane transport"	"930"	"196"	"154.86"	"0.00033"
"GO:0006979"	"response to oxidative stress"	"259"	"59"	"43.13"	"0.00035"
"GO:0009617"	"response to bacterium"	"285"	"68"	"47.46"	"0.00039"
"GO:0015795"	"sorbitol transmembrane transport"	"8"	"6"	"1.33"	"0.00044"
"GO:0015797"	"mannitol transmembrane transport"	"8"	"6"	"1.33"	"0.00044"
"GO:0015752"	"D-ribose transmembrane transport"	"8"	"6"	"1.33"	"0.00044"
"GO:0015753"	"D-xylose transmembrane transport"	"8"	"6"	"1.33"	"0.00044"
"GO:0015757"	"galactose transmembrane transport"	"8"	"6"	"1.33"	"0.00044"
"GO:1904659"	"glucose transmembrane transport"	"13"	"8"	"2.16"	"0.00062"
"GO:0006883"	"intracellular sodium ion homeostasis"	"4"	"4"	"0.67"	"0.00077"
"GO:0006597"	"spermine biosynthetic process"	"4"	"4"	"0.67"	"0.00077"
"GO:1901002"	"positive regulation of response to salt stress"	"31"	"13"	"5.16"	"0.00077"
"GO:0071456"	"cellular response to hypoxia"	"73"	"24"	"12.16"	"0.00102"
"GO:0015798"	"myo-inositol transport"	"9"	"6"	"1.5"	"0.00112"
"GO:0006564"	"L-serine biosynthetic process"	"7"	"5"	"1.17"	"0.00199"
