"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0071555"	"cell wall organization"	"366"	"7"	"1.37"	"0.0020"
"GO:0045893"	"positive regulation of DNA-templated transcription"	"274"	"3"	"1.02"	"0.0824"
"GO:0009636"	"response to toxic substance"	"236"	"3"	"0.88"	"0.1003"
"GO:0042546"	"cell wall biogenesis"	"157"	"4"	"0.59"	"0.1164"
"GO:0009653"	"anatomical structure morphogenesis"	"612"	"3"	"2.29"	"0.4883"
"GO:0006355"	"regulation of DNA-templated transcription"	"1412"	"7"	"5.28"	"0.6241"
"GO:0016310"	"phosphorylation"	"1035"	"4"	"3.87"	"0.6527"
"GO:0006952"	"defense response"	"963"	"4"	"3.6"	"0.7670"
"GO:0006508"	"proteolysis"	"690"	"3"	"2.58"	"0.7809"
"GO:0055085"	"transmembrane transport"	"930"	"3"	"3.48"	"0.8613"
"GO:0051254"	"positive regulation of RNA metabolic process"	"310"	"3"	"1.16"	"1.0000"
"GO:0009889"	"regulation of biosynthetic process"	"1830"	"9"	"6.84"	"1.0000"
"GO:0036211"	"protein modification process"	"1004"	"4"	"3.75"	"1.0000"
"GO:0048522"	"positive regulation of cellular process"	"603"	"4"	"2.25"	"1.0000"
"GO:0034641"	"cellular nitrogen compound metabolic process"	"3831"	"10"	"14.32"	"1.0000"
"GO:0048523"	"negative regulation of cellular process"	"627"	"3"	"2.34"	"1.0000"
"GO:0042221"	"response to chemical"	"1782"	"6"	"6.66"	"1.0000"
