"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0009820"	"alkaloid metabolic process"	"28"	"3"	"0.37"	"0.006"
"GO:0009664"	"plant-type cell wall organization"	"114"	"5"	"1.53"	"0.026"
"GO:0006282"	"regulation of DNA repair"	"25"	"3"	"0.33"	"0.026"
"GO:0051445"	"regulation of meiotic cell cycle"	"13"	"3"	"0.17"	"0.026"
"GO:0030244"	"cellulose biosynthetic process"	"55"	"3"	"0.74"	"0.037"
"GO:0051726"	"regulation of cell cycle"	"127"	"7"	"1.7"	"0.039"
"GO:0071555"	"cell wall organization"	"366"	"12"	"4.9"	"0.048"
"GO:0009636"	"response to toxic substance"	"236"	"5"	"3.16"	"0.057"
"GO:0051603"	"proteolysis involved in protein catabolic process"	"283"	"3"	"3.79"	"0.059"
"GO:0031048"	"regulatory ncRNA-mediated heterochromatin formation"	"33"	"3"	"0.44"	"0.064"
"GO:0009058"	"biosynthetic process"	"4687"	"68"	"62.7"	"0.070"
"GO:0042546"	"cell wall biogenesis"	"157"	"6"	"2.1"	"0.077"
"GO:0045944"	"positive regulation of transcription by RNA polymerase II"	"83"	"3"	"1.11"	"0.100"
"GO:1902600"	"proton transmembrane transport"	"86"	"3"	"1.15"	"0.108"
"GO:0048229"	"gametophyte development"	"228"	"3"	"3.05"	"0.127"
"GO:0048316"	"seed development"	"325"	"7"	"4.35"	"0.142"
"GO:0008380"	"RNA splicing"	"265"	"5"	"3.55"	"0.150"
"GO:0019953"	"sexual reproduction"	"186"	"5"	"2.49"	"0.189"
