"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0022625"	"cytosolic large ribosomal subunit"	"40"	"24"	"6.58"	"5.7e-10"
"GO:0005886"	"plasma membrane"	"1656"	"351"	"272.36"	"1.0e-08"
"GO:0005576"	"extracellular region"	"759"	"178"	"124.83"	"3.7e-08"
"GO:0022627"	"cytosolic small ribosomal subunit"	"21"	"12"	"3.45"	"2.6e-05"
"GO:0009505"	"plant-type cell wall"	"98"	"31"	"16.12"	"0.00059"
"GO:0098552"	"side of membrane"	"164"	"46"	"26.97"	"0.00116"
"GO:1990904"	"ribonucleoprotein complex"	"534"	"119"	"87.83"	"0.02254"
"GO:0032040"	"small-subunit processome"	"31"	"10"	"5.1"	"0.02267"
"GO:0071944"	"cell periphery"	"1806"	"391"	"297.03"	"0.02955"
"GO:0048226"	"Casparian strip"	"5"	"3"	"0.82"	"0.03421"
"GO:0098554"	"cytoplasmic side of endoplasmic reticulum membrane"	"5"	"3"	"0.82"	"0.03421"
"GO:0009536"	"plastid"	"1661"	"266"	"273.18"	"0.03621"
"GO:0048046"	"apoplast"	"153"	"34"	"25.16"	"0.03741"
"GO:0015935"	"small ribosomal subunit"	"36"	"17"	"5.92"	"0.04530"
"GO:0012511"	"monolayer-surrounded lipid storage body"	"9"	"4"	"1.48"	"0.04593"
"GO:0031428"	"box C/D RNP complex"	"6"	"3"	"0.99"	"0.06014"
"GO:0005730"	"nucleolus"	"284"	"58"	"46.71"	"0.06553"
"GO:0097708"	"intracellular vesicle"	"498"	"62"	"81.91"	"0.07370"
"GO:0005840"	"ribosome"	"266"	"78"	"43.75"	"0.08170"
"GO:0000325"	"plant-type vacuole"	"238"	"45"	"39.14"	"0.08555"
"GO:0034045"	"phagophore assembly site membrane"	"7"	"3"	"1.15"	"0.09265"
"GO:0009506"	"plasmodesma"	"265"	"52"	"43.58"	"0.09445"
"GO:0005732"	"sno(s)RNA-containing ribonucleoprotein complex"	"18"	"7"	"2.96"	"0.12858"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"18"	"6"	"2.96"	"0.13049"
"GO:0005905"	"clathrin-coated pit"	"23"	"6"	"3.78"	"0.13368"
"GO:0009570"	"chloroplast stroma"	"353"	"64"	"58.06"	"0.16614"
"GO:0043226"	"organelle"	"8311"	"1272"	"1366.91"	"0.18722"
"GO:0031012"	"extracellular matrix"	"24"	"6"	"3.95"	"0.19109"
"GO:0005743"	"mitochondrial inner membrane"	"184"	"30"	"30.26"	"0.20022"
"GO:0009501"	"amyloplast"	"35"	"8"	"5.76"	"0.20731"
"GO:0005773"	"vacuole"	"438"	"82"	"72.04"	"0.21506"
"GO:0030688"	"preribosome, small subunit precursor"	"10"	"3"	"1.64"	"0.21861"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"10"	"3"	"1.64"	"0.21861"
"GO:0000786"	"nucleosome"	"41"	"9"	"6.74"	"0.22275"
"GO:0005774"	"vacuolar membrane"	"185"	"32"	"30.43"	"0.22611"
"GO:0030659"	"cytoplasmic vesicle membrane"	"219"	"27"	"36.02"	"0.22688"
"GO:0031969"	"chloroplast membrane"	"241"	"43"	"39.64"	"0.24695"
"GO:0005758"	"mitochondrial intermembrane space"	"21"	"5"	"3.45"	"0.25555"
"GO:0030136"	"clathrin-coated vesicle"	"57"	"10"	"9.37"	"0.27777"
"GO:0005829"	"cytosol"	"1191"	"227"	"195.88"	"0.31073"
