"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0009536"	"plastid"	"1661"	"7"	"5.97"	"0.0962"
"GO:0022626"	"cytosolic ribosome"	"73"	"3"	"0.26"	"0.1078"
"GO:0005576"	"extracellular region"	"759"	"4"	"2.73"	"0.2900"
"GO:0005783"	"endoplasmic reticulum"	"774"	"4"	"2.78"	"0.3139"
"GO:0005773"	"vacuole"	"438"	"3"	"1.57"	"0.4346"
"GO:0005886"	"plasma membrane"	"1656"	"6"	"5.95"	"0.5580"
"GO:0016020"	"membrane"	"5591"	"19"	"20.1"	"0.6468"
"GO:0005634"	"nucleus"	"3988"	"14"	"14.34"	"0.6711"
"GO:0009507"	"chloroplast"	"1511"	"5"	"5.43"	"0.8331"
"GO:0005739"	"mitochondrion"	"1000"	"3"	"3.59"	"0.9009"
"GO:0005829"	"cytosol"	"1191"	"5"	"4.28"	"0.9016"
"GO:0005737"	"cytoplasm"	"6561"	"24"	"23.58"	"0.9962"
"GO:0043226"	"organelle"	"8311"	"33"	"29.87"	"1.0000"
"GO:0043227"	"membrane-bounded organelle"	"7900"	"31"	"28.4"	"1.0000"
"GO:0043228"	"non-membrane-bounded organelle"	"1590"	"9"	"5.72"	"1.0000"
"GO:0043229"	"intracellular organelle"	"8285"	"33"	"29.78"	"1.0000"
"GO:0005840"	"ribosome"	"266"	"3"	"0.96"	"1.0000"
"GO:0098588"	"bounding membrane of organelle"	"1088"	"3"	"3.91"	"1.0000"
"GO:0032991"	"protein-containing complex"	"2042"	"7"	"7.34"	"1.0000"
"GO:0005622"	"intracellular anatomical structure"	"9342"	"35"	"33.58"	"1.0000"
"GO:0031967"	"organelle envelope"	"869"	"3"	"3.12"	"1.0000"
"GO:0005575"	"cellular_component"	"12519"	"45"	"45"	"1.0000"
"GO:0043231"	"intracellular membrane-bounded organelle"	"7864"	"31"	"28.27"	"1.0000"
"GO:0043232"	"intracellular non-membrane-bounded organelle"	"1590"	"9"	"5.72"	"1.0000"
"GO:0043233"	"organelle lumen"	"815"	"5"	"2.93"	"1.0000"
"GO:0071944"	"cell periphery"	"1806"	"7"	"6.49"	"1.0000"
"GO:0031090"	"organelle membrane"	"1878"	"7"	"6.75"	"1.0000"
"GO:0110165"	"cellular anatomical entity"	"12396"	"43"	"44.56"	"1.0000"
"GO:0031981"	"nuclear lumen"	"635"	"3"	"2.28"	"1.0000"
"GO:0005794"	"Golgi apparatus"	"735"	"3"	"2.64"	"1.0000"
"GO:0012505"	"endomembrane system"	"1665"	"7"	"5.98"	"1.0000"
