"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0016471"	"vacuolar proton-transporting V-type ATPase complex"	"8"	"3"	"0.1"	"0.0374"
"GO:0000139"	"Golgi membrane"	"376"	"9"	"4.81"	"0.0522"
"GO:0005576"	"extracellular region"	"759"	"14"	"9.7"	"0.0891"
"GO:0005681"	"spliceosomal complex"	"118"	"5"	"1.51"	"0.0929"
"GO:0043231"	"intracellular membrane-bounded organelle"	"7864"	"107"	"100.51"	"0.0932"
"GO:0005634"	"nucleus"	"3988"	"60"	"50.97"	"0.1028"
"GO:0005886"	"plasma membrane"	"1656"	"25"	"21.16"	"0.2135"
"GO:0005730"	"nucleolus"	"284"	"5"	"3.63"	"0.2979"
"GO:0009536"	"plastid"	"1661"	"16"	"21.23"	"0.3025"
"GO:0005773"	"vacuole"	"438"	"8"	"5.6"	"0.3064"
"GO:0005789"	"endoplasmic reticulum membrane"	"431"	"7"	"5.51"	"0.3134"
"GO:0009941"	"chloroplast envelope"	"334"	"4"	"4.27"	"0.3369"
"GO:0022626"	"cytosolic ribosome"	"73"	"3"	"0.93"	"0.3436"
"GO:0016604"	"nuclear body"	"113"	"3"	"1.44"	"0.4006"
"GO:0005829"	"cytosol"	"1191"	"18"	"15.22"	"0.4409"
"GO:0031410"	"cytoplasmic vesicle"	"495"	"5"	"6.33"	"0.4613"
"GO:0005777"	"peroxisome"	"165"	"3"	"2.11"	"0.4624"
"GO:0000785"	"chromatin"	"172"	"3"	"2.2"	"0.4996"
"GO:0000325"	"plant-type vacuole"	"238"	"3"	"3.04"	"0.5898"
"GO:0009506"	"plasmodesma"	"265"	"3"	"3.39"	"0.6623"
"GO:0009570"	"chloroplast stroma"	"353"	"4"	"4.51"	"0.6649"
"GO:0005654"	"nucleoplasm"	"341"	"6"	"4.36"	"0.6812"
"GO:0005856"	"cytoskeleton"	"357"	"4"	"4.56"	"0.7113"
"GO:0005783"	"endoplasmic reticulum"	"774"	"11"	"9.89"	"0.7687"
"GO:0005737"	"cytoplasm"	"6561"	"83"	"83.85"	"0.7708"
"GO:0005794"	"Golgi apparatus"	"735"	"13"	"9.39"	"0.8000"
"GO:0005840"	"ribosome"	"266"	"4"	"3.4"	"0.8556"
"GO:0005774"	"vacuolar membrane"	"185"	"4"	"2.36"	"0.8947"
"GO:0016020"	"membrane"	"5591"	"67"	"71.46"	"0.9370"
"GO:1990904"	"ribonucleoprotein complex"	"534"	"10"	"6.82"	"0.9555"
"GO:0005739"	"mitochondrion"	"1000"	"7"	"12.78"	"0.9673"
"GO:0009507"	"chloroplast"	"1511"	"13"	"19.31"	"0.9908"
"GO:0098796"	"membrane protein complex"	"370"	"4"	"4.73"	"1.0000"
"GO:0009532"	"plastid stroma"	"359"	"4"	"4.59"	"1.0000"
"GO:0042175"	"nuclear outer membrane-endoplasmic reticulum membrane network"	"436"	"7"	"5.57"	"1.0000"
"GO:0032991"	"protein-containing complex"	"2042"	"28"	"26.1"	"1.0000"
"GO:0005622"	"intracellular anatomical structure"	"9342"	"124"	"119.4"	"1.0000"
"GO:0032993"	"protein-DNA complex"	"198"	"3"	"2.53"	"1.0000"
"GO:0110165"	"cellular anatomical entity"	"12396"	"157"	"158.43"	"1.0000"
"GO:0140513"	"nuclear protein-containing complex"	"524"	"7"	"6.7"	"1.0000"
"GO:0031981"	"nuclear lumen"	"635"	"11"	"8.12"	"1.0000"
