"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0003735"	"structural constituent of ribosome"	"205"	"67"	"34.49"	"1.7e-08"
"GO:0140825"	"lactoperoxidase activity"	"63"	"27"	"10.6"	"1.0e-06"
"GO:0020037"	"heme binding"	"241"	"70"	"40.54"	"1.3e-06"
"GO:0047274"	"galactinol-sucrose galactosyltransferase activity"	"5"	"5"	"0.84"	"0.00013"
"GO:0005351"	"carbohydrate:proton symporter activity"	"11"	"7"	"1.85"	"0.00046"
"GO:0015591"	"D-ribose transmembrane transporter activity"	"8"	"6"	"1.35"	"0.00046"
"GO:0005354"	"galactose transmembrane transporter activity"	"8"	"6"	"1.35"	"0.00046"
"GO:0015575"	"mannitol transmembrane transporter activity"	"8"	"6"	"1.35"	"0.00046"
"GO:0015576"	"sorbitol transmembrane transporter activity"	"8"	"6"	"1.35"	"0.00046"
"GO:0015168"	"glycerol transmembrane transporter activity"	"8"	"6"	"1.35"	"0.00046"
"GO:0015148"	"D-xylose transmembrane transporter activity"	"8"	"6"	"1.35"	"0.00046"
"GO:0005200"	"structural constituent of cytoskeleton"	"11"	"7"	"1.85"	"0.00066"
"GO:0005355"	"glucose transmembrane transporter activity"	"11"	"7"	"1.85"	"0.00066"
"GO:0017018"	"myosin phosphatase activity"	"109"	"32"	"18.34"	"0.00077"
"GO:0005365"	"myo-inositol transmembrane transporter activity"	"9"	"6"	"1.51"	"0.00119"
"GO:0051119"	"sugar transmembrane transporter activity"	"49"	"19"	"8.24"	"0.00191"
"GO:0010427"	"abscisic acid binding"	"7"	"5"	"1.18"	"0.00209"
"GO:0004185"	"serine-type carboxypeptidase activity"	"35"	"13"	"5.89"	"0.00314"
"GO:0004337"	"geranyltranstransferase activity"	"8"	"5"	"1.35"	"0.00346"
"GO:0004473"	"malate dehydrogenase (decarboxylating) (NADP+) activity"	"5"	"4"	"0.84"	"0.00346"
"GO:0045548"	"phenylalanine ammonia-lyase activity"	"3"	"3"	"0.5"	"0.00476"
"GO:0004014"	"adenosylmethionine decarboxylase activity"	"3"	"3"	"0.5"	"0.00476"
"GO:0030515"	"snoRNA binding"	"12"	"6"	"2.02"	"0.00479"
"GO:0004805"	"trehalose-phosphatase activity"	"8"	"5"	"1.35"	"0.00479"
"GO:0008948"	"oxaloacetate decarboxylase activity"	"6"	"4"	"1.01"	"0.00899"
"GO:0106286"	"(E)-caffeate-CoA ligase activity"	"6"	"4"	"1.01"	"0.00899"
"GO:0004340"	"glucokinase activity"	"6"	"4"	"1.01"	"0.00899"
"GO:0004564"	"beta-fructofuranosidase activity"	"14"	"7"	"2.36"	"0.00927"
"GO:0008865"	"fructokinase activity"	"9"	"5"	"1.51"	"0.00930"
"GO:0016829"	"lyase activity"	"284"	"77"	"47.78"	"0.01442"
"GO:0009044"	"xylan 1,4-beta-xylosidase activity"	"10"	"5"	"1.68"	"0.01604"
"GO:1990538"	"xylan O-acetyltransferase activity"	"21"	"8"	"3.53"	"0.01635"
"GO:0004557"	"alpha-galactosidase activity"	"5"	"4"	"0.84"	"0.01661"
"GO:0003883"	"CTP synthase activity"	"4"	"3"	"0.67"	"0.01663"
"GO:0003989"	"acetyl-CoA carboxylase activity"	"4"	"3"	"0.67"	"0.01663"
"GO:0003785"	"actin monomer binding"	"4"	"3"	"0.67"	"0.01663"
"GO:0051287"	"NAD binding"	"68"	"19"	"11.44"	"0.01934"
"GO:0005545"	"1-phosphatidylinositol binding"	"14"	"6"	"2.36"	"0.01987"
"GO:0030170"	"pyridoxal phosphate binding"	"71"	"19"	"11.94"	"0.02303"
"GO:0016597"	"amino acid binding"	"13"	"7"	"2.19"	"0.02531"
"GO:0005262"	"calcium channel activity"	"12"	"6"	"2.02"	"0.02536"
"GO:0003954"	"NADH dehydrogenase activity"	"24"	"8"	"4.04"	"0.02823"
"GO:0004673"	"protein histidine kinase activity"	"12"	"5"	"2.02"	"0.02826"
"GO:0015172"	"acidic amino acid transmembrane transporter activity"	"7"	"3"	"1.18"	"0.02829"
"GO:0004568"	"chitinase activity"	"18"	"7"	"3.03"	"0.02847"
"GO:0015250"	"water channel activity"	"15"	"6"	"2.52"	"0.02850"
"GO:0032050"	"clathrin heavy chain binding"	"15"	"6"	"2.52"	"0.02850"
"GO:0005516"	"calmodulin binding"	"183"	"41"	"30.79"	"0.02981"
"GO:0052894"	"norspermine:oxygen oxidoreductase activity"	"8"	"4"	"1.35"	"0.03160"
"GO:0005536"	"glucose binding"	"8"	"4"	"1.35"	"0.03160"
"GO:0047517"	"1,4-beta-D-xylan synthase activity"	"8"	"4"	"1.35"	"0.03160"
"GO:0052901"	"spermine:oxygen oxidoreductase (spermidine-forming) activity"	"8"	"4"	"1.35"	"0.03160"
"GO:0016208"	"AMP binding"	"8"	"4"	"1.35"	"0.03160"
"GO:0003825"	"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"	"5"	"3"	"0.84"	"0.03638"
"GO:1990137"	"plant seed peroxidase activity"	"5"	"3"	"0.84"	"0.03638"
"GO:0010279"	"indole-3-acetic acid amido synthetase activity"	"5"	"3"	"0.84"	"0.03638"
"GO:0016165"	"linoleate 13S-lipoxygenase activity"	"5"	"3"	"0.84"	"0.03638"
"GO:0102070"	"18-hydroxyoleate peroxygenase activity"	"5"	"3"	"0.84"	"0.03638"
"GO:0034647"	"histone H3K4me/H3K4me2/H3K4me3 demethylase activity"	"5"	"3"	"0.84"	"0.03638"
"GO:0080031"	"methyl salicylate esterase activity"	"5"	"3"	"0.84"	"0.03638"
"GO:0004069"	"L-aspartate:2-oxoglutarate aminotransferase activity"	"5"	"3"	"0.84"	"0.03638"
"GO:0004161"	"dimethylallyltranstransferase activity"	"5"	"3"	"0.84"	"0.03638"
"GO:0004143"	"ATP-dependent diacylglycerol kinase activity"	"5"	"3"	"0.84"	"0.03638"
"GO:0043565"	"sequence-specific DNA binding"	"638"	"117"	"107.33"	"0.03947"
"GO:0030527"	"structural constituent of chromatin"	"34"	"10"	"5.72"	"0.04829"
"GO:0140359"	"ABC-type transporter activity"	"74"	"18"	"12.45"	"0.04874"
"GO:0015276"	"ligand-gated monoatomic ion channel activity"	"12"	"5"	"2.02"	"0.04940"
"GO:0000036"	"acyl carrier activity"	"9"	"4"	"1.51"	"0.04944"
"GO:0005506"	"iron ion binding"	"207"	"45"	"34.82"	"0.05222"
"GO:0038023"	"signaling receptor activity"	"113"	"25"	"19.01"	"0.05272"
"GO:2001070"	"starch binding"	"13"	"5"	"2.19"	"0.05289"
"GO:0022857"	"transmembrane transporter activity"	"865"	"181"	"145.52"	"0.05298"
"GO:0008289"	"lipid binding"	"237"	"53"	"39.87"	"0.05459"
"GO:0015293"	"symporter activity"	"91"	"27"	"15.31"	"0.06106"
"GO:0004739"	"pyruvate dehydrogenase (acetyl-transferring) activity"	"6"	"3"	"1.01"	"0.06376"
"GO:0009815"	"1-aminocyclopropane-1-carboxylate oxidase activity"	"6"	"3"	"1.01"	"0.06376"
"GO:0080032"	"methyl jasmonate esterase activity"	"6"	"3"	"1.01"	"0.06376"
"GO:0000285"	"1-phosphatidylinositol-3-phosphate 5-kinase activity"	"6"	"3"	"1.01"	"0.06376"
