"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0008295"	"spermidine biosynthetic process"	"6"	"6"	"0.83"	"6.9e-06"
"GO:0006412"	"translation"	"491"	"89"	"67.85"	"1.6e-05"
"GO:0008652"	"amino acid biosynthetic process"	"164"	"33"	"22.66"	"3.1e-05"
"GO:0009423"	"chorismate biosynthetic process"	"12"	"8"	"1.66"	"3.9e-05"
"GO:0009073"	"aromatic amino acid family biosynthetic process"	"37"	"15"	"5.11"	"4.0e-05"
"GO:0042744"	"hydrogen peroxide catabolic process"	"86"	"26"	"11.88"	"6.2e-05"
"GO:2000022"	"regulation of jasmonic acid mediated signaling pathway"	"26"	"12"	"3.59"	"6.9e-05"
"GO:0098869"	"cellular oxidant detoxification"	"140"	"36"	"19.35"	"9.5e-05"
"GO:0055085"	"transmembrane transport"	"930"	"162"	"128.51"	"0.00026"
"GO:0009414"	"response to water deprivation"	"225"	"48"	"31.09"	"0.00033"
"GO:0006597"	"spermine biosynthetic process"	"4"	"4"	"0.55"	"0.00036"
"GO:0010597"	"green leaf volatile biosynthetic process"	"20"	"9"	"2.76"	"0.00072"
"GO:0071365"	"cellular response to auxin stimulus"	"188"	"36"	"25.98"	"0.00086"
"GO:0009617"	"response to bacterium"	"285"	"54"	"39.38"	"0.00095"
"GO:0010029"	"regulation of seed germination"	"55"	"20"	"7.6"	"0.00131"
"GO:0071456"	"cellular response to hypoxia"	"73"	"21"	"10.09"	"0.00137"
"GO:0009737"	"response to abscisic acid"	"326"	"74"	"45.05"	"0.00154"
"GO:1904659"	"glucose transmembrane transport"	"13"	"7"	"1.8"	"0.00170"
"GO:0005992"	"trehalose biosynthetic process"	"11"	"6"	"1.52"	"0.00171"
"GO:0015795"	"sorbitol transmembrane transport"	"8"	"5"	"1.11"	"0.00195"
"GO:0015797"	"mannitol transmembrane transport"	"8"	"5"	"1.11"	"0.00195"
"GO:0015752"	"D-ribose transmembrane transport"	"8"	"5"	"1.11"	"0.00195"
"GO:0015753"	"D-xylose transmembrane transport"	"8"	"5"	"1.11"	"0.00195"
"GO:0015757"	"galactose transmembrane transport"	"8"	"5"	"1.11"	"0.00195"
"GO:0009723"	"response to ethylene"	"164"	"36"	"22.66"	"0.00252"
"GO:0019632"	"shikimate metabolic process"	"3"	"3"	"0.41"	"0.00263"
"GO:0048838"	"release of seed from dormancy"	"3"	"3"	"0.41"	"0.00263"
"GO:0015746"	"citrate transport"	"3"	"3"	"0.41"	"0.00263"
"GO:1902039"	"negative regulation of seed dormancy process"	"3"	"3"	"0.41"	"0.00263"
"GO:0009651"	"response to salt stress"	"259"	"51"	"35.79"	"0.00301"
"GO:0006979"	"response to oxidative stress"	"259"	"47"	"35.79"	"0.00336"
"GO:0034219"	"carbohydrate transmembrane transport"	"54"	"17"	"7.46"	"0.00345"
"GO:0002181"	"cytoplasmic translation"	"43"	"11"	"5.94"	"0.00387"
"GO:0015798"	"myo-inositol transport"	"9"	"5"	"1.24"	"0.00389"
"GO:0009938"	"negative regulation of gibberellic acid mediated signaling pathway"	"6"	"4"	"0.83"	"0.00432"
"GO:0010030"	"positive regulation of seed germination"	"21"	"8"	"2.9"	"0.00499"
"GO:0009742"	"brassinosteroid mediated signaling pathway"	"88"	"19"	"12.16"	"0.00510"
"GO:0015793"	"glycerol transmembrane transport"	"10"	"5"	"1.38"	"0.00690"
"GO:1990937"	"xylan acetylation"	"22"	"8"	"3.04"	"0.00690"
"GO:0009753"	"response to jasmonic acid"	"99"	"27"	"13.68"	"0.00742"
"GO:0048268"	"clathrin coat assembly"	"14"	"6"	"1.93"	"0.00767"
"GO:0050832"	"defense response to fungus"	"188"	"35"	"25.98"	"0.00793"
"GO:0000160"	"phosphorelay signal transduction system"	"145"	"30"	"20.04"	"0.00794"
"GO:0045337"	"farnesyl diphosphate biosynthetic process"	"6"	"4"	"0.83"	"0.00943"
"GO:0033384"	"geranyl diphosphate biosynthetic process"	"4"	"3"	"0.55"	"0.00945"
"GO:0006883"	"intracellular sodium ion homeostasis"	"4"	"3"	"0.55"	"0.00945"
"GO:0090332"	"stomatal closure"	"30"	"5"	"4.15"	"0.00947"
"GO:0045493"	"xylan catabolic process"	"19"	"7"	"2.63"	"0.01049"
"GO:0008203"	"cholesterol metabolic process"	"16"	"8"	"2.21"	"0.01115"
"GO:0006730"	"one-carbon metabolic process"	"20"	"8"	"2.76"	"0.01117"
"GO:0000272"	"polysaccharide catabolic process"	"132"	"24"	"18.24"	"0.01228"
"GO:0031347"	"regulation of defense response"	"200"	"30"	"27.64"	"0.01353"
"GO:0010311"	"lateral root formation"	"34"	"10"	"4.7"	"0.01390"
"GO:0009688"	"abscisic acid biosynthetic process"	"15"	"5"	"2.07"	"0.01600"
"GO:1903602"	"thermospermine catabolic process"	"8"	"4"	"1.11"	"0.01600"
"GO:0006116"	"NADH oxidation"	"8"	"4"	"1.11"	"0.01600"
"GO:0046208"	"spermine catabolic process"	"8"	"4"	"1.11"	"0.01600"
"GO:0016135"	"saponin biosynthetic process"	"8"	"4"	"1.11"	"0.01600"
"GO:0010345"	"suberin biosynthetic process"	"8"	"4"	"1.11"	"0.01600"
"GO:0019748"	"secondary metabolic process"	"206"	"41"	"28.47"	"0.01883"
"GO:0006865"	"amino acid transport"	"70"	"17"	"9.67"	"0.02065"
"GO:1901002"	"positive regulation of response to salt stress"	"31"	"9"	"4.28"	"0.02090"
"GO:0090549"	"response to carbon starvation"	"5"	"3"	"0.69"	"0.02119"
"GO:0006751"	"glutathione catabolic process"	"5"	"3"	"0.69"	"0.02119"
"GO:0009653"	"anatomical structure morphogenesis"	"612"	"71"	"84.57"	"0.02167"
"GO:0009826"	"unidimensional cell growth"	"144"	"20"	"19.9"	"0.02258"
"GO:0005975"	"carbohydrate metabolic process"	"845"	"161"	"116.76"	"0.02308"
"GO:0050829"	"defense response to Gram-negative bacterium"	"9"	"4"	"1.24"	"0.02569"
"GO:0009738"	"abscisic acid-activated signaling pathway"	"180"	"37"	"24.87"	"0.02601"
"GO:0051085"	"chaperone cofactor-dependent protein refolding"	"18"	"6"	"2.49"	"0.02914"
"GO:0006833"	"water transport"	"18"	"6"	"2.49"	"0.02914"
"GO:0009733"	"response to auxin"	"248"	"50"	"34.27"	"0.03011"
"GO:0000278"	"mitotic cell cycle"	"176"	"23"	"24.32"	"0.03208"
"GO:0035556"	"intracellular signal transduction"	"350"	"67"	"48.36"	"0.03235"
"GO:0009626"	"plant-type hypersensitive response"	"60"	"15"	"8.29"	"0.03338"
"GO:0010268"	"brassinosteroid homeostasis"	"14"	"5"	"1.93"	"0.03407"
"GO:0016132"	"brassinosteroid biosynthetic process"	"14"	"5"	"1.93"	"0.03407"
"GO:0034605"	"cellular response to heat"	"34"	"9"	"4.7"	"0.03721"
"GO:0048511"	"rhythmic process"	"97"	"19"	"13.4"	"0.03800"
"GO:0071786"	"endoplasmic reticulum tubular network organization"	"6"	"3"	"0.83"	"0.03807"
"GO:0007205"	"protein kinase C-activating G protein-coupled receptor signaling pathway"	"6"	"3"	"0.83"	"0.03807"
"GO:0006308"	"DNA catabolic process"	"6"	"3"	"0.83"	"0.03807"
"GO:0044210"	"'de novo' CTP biosynthetic process"	"6"	"3"	"0.83"	"0.03807"
"GO:0098755"	"maintenance of seed dormancy by absisic acid"	"6"	"3"	"0.83"	"0.03807"
"GO:1901703"	"protein localization involved in auxin polar transport"	"10"	"4"	"1.38"	"0.03822"
"GO:0040008"	"regulation of growth"	"143"	"19"	"19.76"	"0.03848"
"GO:0009408"	"response to heat"	"156"	"32"	"21.56"	"0.04043"
"GO:0016036"	"cellular response to phosphate starvation"	"38"	"10"	"5.25"	"0.04407"
"GO:0045893"	"positive regulation of DNA-templated transcription"	"274"	"38"	"37.86"	"0.04412"
"GO:0000226"	"microtubule cytoskeleton organization"	"128"	"15"	"17.69"	"0.04721"
"GO:0015800"	"acidic amino acid transport"	"8"	"3"	"1.11"	"0.05196"
