"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0009414"	"response to water deprivation"	"225"	"24"	"10.34"	"0.00057"
"GO:0009938"	"negative regulation of gibberellic acid mediated signaling pathway"	"6"	"3"	"0.28"	"0.00174"
"GO:0044210"	"'de novo' CTP biosynthetic process"	"6"	"3"	"0.28"	"0.00174"
"GO:0010030"	"positive regulation of seed germination"	"21"	"5"	"0.96"	"0.00222"
"GO:0006355"	"regulation of DNA-templated transcription"	"1412"	"92"	"64.88"	"0.00308"
"GO:0010029"	"regulation of seed germination"	"55"	"11"	"2.53"	"0.00396"
"GO:0071215"	"cellular response to abscisic acid stimulus"	"188"	"22"	"8.64"	"0.00429"
"GO:0010345"	"suberin biosynthetic process"	"8"	"3"	"0.37"	"0.00454"
"GO:0070417"	"cellular response to cold"	"16"	"4"	"0.74"	"0.00516"
"GO:0009739"	"response to gibberellin"	"93"	"11"	"4.27"	"0.00539"
"GO:2000022"	"regulation of jasmonic acid mediated signaling pathway"	"26"	"5"	"1.19"	"0.00593"
"GO:0042732"	"D-xylose metabolic process"	"9"	"3"	"0.41"	"0.00658"
"GO:0000160"	"phosphorelay signal transduction system"	"145"	"17"	"6.66"	"0.00666"
"GO:0000278"	"mitotic cell cycle"	"176"	"10"	"8.09"	"0.00833"
"GO:0045337"	"farnesyl diphosphate biosynthetic process"	"6"	"3"	"0.28"	"0.01185"
"GO:0005985"	"sucrose metabolic process"	"32"	"7"	"1.47"	"0.01189"
"GO:0005992"	"trehalose biosynthetic process"	"11"	"3"	"0.51"	"0.01207"
"GO:0005987"	"sucrose catabolic process"	"11"	"3"	"0.51"	"0.01207"
"GO:0002238"	"response to molecule of fungal origin"	"21"	"4"	"0.96"	"0.01415"
"GO:0009873"	"ethylene-activated signaling pathway"	"118"	"12"	"5.42"	"0.01423"
"GO:0009789"	"positive regulation of abscisic acid-activated signaling pathway"	"32"	"5"	"1.47"	"0.01449"
"GO:0009626"	"plant-type hypersensitive response"	"60"	"8"	"2.76"	"0.01449"
"GO:0010540"	"basipetal auxin transport"	"12"	"3"	"0.55"	"0.01556"
"GO:0071456"	"cellular response to hypoxia"	"73"	"8"	"3.35"	"0.01842"
"GO:0031347"	"regulation of defense response"	"200"	"12"	"9.19"	"0.02096"
"GO:0048268"	"clathrin coat assembly"	"14"	"3"	"0.64"	"0.02405"
"GO:0006096"	"glycolytic process"	"63"	"7"	"2.89"	"0.02490"
"GO:0009788"	"negative regulation of abscisic acid-activated signaling pathway"	"50"	"6"	"2.3"	"0.02620"
"GO:0009737"	"response to abscisic acid"	"326"	"34"	"14.98"	"0.03453"
"GO:0015867"	"ATP transport"	"12"	"3"	"0.55"	"0.03785"
"GO:0009073"	"aromatic amino acid family biosynthetic process"	"37"	"6"	"1.7"	"0.04020"
"GO:0009738"	"abscisic acid-activated signaling pathway"	"180"	"19"	"8.27"	"0.04350"
"GO:0045893"	"positive regulation of DNA-templated transcription"	"274"	"19"	"12.59"	"0.04859"
"GO:0071805"	"potassium ion transmembrane transport"	"58"	"6"	"2.67"	"0.04927"
"GO:0009834"	"plant-type secondary cell wall biogenesis"	"60"	"6"	"2.76"	"0.04994"
"GO:1901002"	"positive regulation of response to salt stress"	"31"	"4"	"1.42"	"0.05197"
"GO:0015866"	"ADP transport"	"13"	"3"	"0.6"	"0.06107"
"GO:0034219"	"carbohydrate transmembrane transport"	"54"	"4"	"2.48"	"0.06166"
"GO:0070588"	"calcium ion transmembrane transport"	"35"	"5"	"1.61"	"0.06266"
"GO:0009846"	"pollen germination"	"47"	"5"	"2.16"	"0.06328"
"GO:0008652"	"amino acid biosynthetic process"	"164"	"12"	"7.54"	"0.06813"
"GO:0071365"	"cellular response to auxin stimulus"	"188"	"12"	"8.64"	"0.07383"
"GO:0048511"	"rhythmic process"	"97"	"6"	"4.46"	"0.07427"
"GO:0042594"	"response to starvation"	"112"	"7"	"5.15"	"0.07528"
"GO:1990937"	"xylan acetylation"	"22"	"3"	"1.01"	"0.07773"
"GO:0016126"	"sterol biosynthetic process"	"27"	"4"	"1.24"	"0.08617"
"GO:1902584"	"positive regulation of response to water deprivation"	"23"	"3"	"1.06"	"0.08647"
