"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0006355"	"regulation of DNA-templated transcription"	"1412"	"499"	"367.46"	"1.7e-14"
"GO:2000032"	"regulation of secondary shoot formation"	"22"	"14"	"5.73"	"0.00023"
"GO:0045893"	"positive regulation of DNA-templated transcription"	"274"	"91"	"71.31"	"0.00025"
"GO:0090351"	"seedling development"	"120"	"48"	"31.23"	"0.00040"
"GO:0009585"	"red, far-red light phototransduction"	"25"	"14"	"6.51"	"0.00139"
"GO:2000070"	"regulation of response to water deprivation"	"41"	"17"	"10.67"	"0.00157"
"GO:0032981"	"mitochondrial respiratory chain complex I assembly"	"14"	"9"	"3.64"	"0.00290"
"GO:1901000"	"regulation of response to salt stress"	"68"	"22"	"17.7"	"0.00291"
"GO:0009789"	"positive regulation of abscisic acid-activated signaling pathway"	"32"	"16"	"8.33"	"0.00309"
"GO:0030154"	"cell differentiation"	"455"	"145"	"118.41"	"0.00410"
"GO:0009863"	"salicylic acid mediated signaling pathway"	"31"	"11"	"8.07"	"0.00458"
"GO:0035825"	"homologous recombination"	"47"	"12"	"12.23"	"0.00460"
"GO:0045292"	"mRNA cis splicing, via spliceosome"	"8"	"6"	"2.08"	"0.00559"
"GO:0010222"	"stem vascular tissue pattern formation"	"6"	"5"	"1.56"	"0.00560"
"GO:0048768"	"root hair cell tip growth"	"6"	"5"	"1.56"	"0.00560"
"GO:0009873"	"ethylene-activated signaling pathway"	"118"	"44"	"30.71"	"0.00682"
"GO:0009860"	"pollen tube growth"	"61"	"25"	"15.87"	"0.00987"
"GO:0000160"	"phosphorelay signal transduction system"	"145"	"57"	"37.73"	"0.01059"
"GO:2000012"	"regulation of auxin polar transport"	"27"	"13"	"7.03"	"0.01099"
"GO:0006886"	"intracellular protein transport"	"297"	"96"	"77.29"	"0.01184"
"GO:0042732"	"D-xylose metabolic process"	"9"	"6"	"2.34"	"0.01227"
"GO:0006268"	"DNA unwinding involved in DNA replication"	"9"	"6"	"2.34"	"0.01227"
"GO:0007018"	"microtubule-based movement"	"61"	"24"	"15.87"	"0.01256"
"GO:0006096"	"glycolytic process"	"63"	"26"	"16.4"	"0.01268"
"GO:0051028"	"mRNA transport"	"73"	"27"	"19"	"0.01275"
"GO:0048268"	"clathrin coat assembly"	"14"	"8"	"3.64"	"0.01322"
"GO:0009414"	"response to water deprivation"	"225"	"80"	"58.55"	"0.01406"
"GO:0009742"	"brassinosteroid mediated signaling pathway"	"88"	"34"	"22.9"	"0.01483"
"GO:0032469"	"endoplasmic reticulum calcium ion homeostasis"	"3"	"3"	"0.78"	"0.01761"
"GO:0080119"	"ER body organization"	"3"	"3"	"0.78"	"0.01761"
"GO:1903241"	"U2-type prespliceosome assembly"	"3"	"3"	"0.78"	"0.01761"
"GO:0009584"	"detection of visible light"	"3"	"3"	"0.78"	"0.01761"
"GO:0048026"	"positive regulation of mRNA splicing, via spliceosome"	"3"	"3"	"0.78"	"0.01761"
"GO:0009880"	"embryonic pattern specification"	"12"	"6"	"3.12"	"0.01813"
"GO:0140647"	"P450-containing electron transport chain"	"5"	"4"	"1.3"	"0.01814"
"GO:0080006"	"internode patterning"	"5"	"4"	"1.3"	"0.01814"
"GO:0043928"	"exonucleolytic catabolism of deadenylated mRNA"	"5"	"4"	"1.3"	"0.01814"
"GO:0015031"	"protein transport"	"592"	"188"	"154.06"	"0.01836"
"GO:0009908"	"flower development"	"301"	"99"	"78.33"	"0.02099"
"GO:0072583"	"clathrin-dependent endocytosis"	"34"	"16"	"8.85"	"0.02173"
"GO:0009736"	"cytokinin-activated signaling pathway"	"43"	"16"	"11.19"	"0.02231"
"GO:0006915"	"apoptotic process"	"32"	"12"	"8.33"	"0.02396"
"GO:0006896"	"Golgi to vacuole transport"	"10"	"6"	"2.6"	"0.02397"
"GO:0048586"	"regulation of long-day photoperiodism, flowering"	"42"	"15"	"10.93"	"0.02495"
"GO:0031347"	"regulation of defense response"	"200"	"63"	"52.05"	"0.02874"
"GO:0000122"	"negative regulation of transcription by RNA polymerase II"	"27"	"12"	"7.03"	"0.02916"
"GO:0009631"	"cold acclimation"	"27"	"12"	"7.03"	"0.02916"
"GO:0006357"	"regulation of transcription by RNA polymerase II"	"269"	"83"	"70"	"0.02942"
"GO:0070588"	"calcium ion transmembrane transport"	"35"	"16"	"9.11"	"0.02951"
"GO:0000266"	"mitochondrial fission"	"8"	"5"	"2.08"	"0.03227"
"GO:0010345"	"suberin biosynthetic process"	"8"	"5"	"2.08"	"0.03227"
"GO:0050777"	"negative regulation of immune response"	"26"	"9"	"6.77"	"0.03230"
"GO:0050896"	"response to stimulus"	"3767"	"1009"	"980.33"	"0.03474"
"GO:0034976"	"response to endoplasmic reticulum stress"	"60"	"24"	"15.61"	"0.03636"
"GO:0006897"	"endocytosis"	"77"	"36"	"20.04"	"0.03804"
"GO:0000278"	"mitotic cell cycle"	"176"	"56"	"45.8"	"0.03875"
"GO:0009611"	"response to wounding"	"76"	"27"	"19.78"	"0.04086"
"GO:2000652"	"regulation of secondary cell wall biogenesis"	"16"	"8"	"4.16"	"0.04125"
"GO:0070534"	"protein K63-linked ubiquitination"	"11"	"6"	"2.86"	"0.04129"
"GO:0048024"	"regulation of mRNA splicing, via spliceosome"	"18"	"11"	"4.68"	"0.04303"
"GO:0051510"	"regulation of unidimensional cell growth"	"34"	"14"	"8.85"	"0.04309"
"GO:0043001"	"Golgi to plasma membrane protein transport"	"6"	"4"	"1.56"	"0.04322"
"GO:0000727"	"double-strand break repair via break-induced replication"	"6"	"4"	"1.56"	"0.04322"
"GO:0033320"	"UDP-D-xylose biosynthetic process"	"6"	"4"	"1.56"	"0.04322"
"GO:0044210"	"'de novo' CTP biosynthetic process"	"6"	"4"	"1.56"	"0.04322"
"GO:0009901"	"anther dehiscence"	"6"	"4"	"1.56"	"0.04322"
"GO:0071035"	"nuclear polyadenylation-dependent rRNA catabolic process"	"6"	"4"	"1.56"	"0.04322"
"GO:0010158"	"abaxial cell fate specification"	"6"	"4"	"1.56"	"0.04322"
"GO:0007165"	"signal transduction"	"1148"	"369"	"298.76"	"0.04455"
"GO:0046488"	"phosphatidylinositol metabolic process"	"79"	"23"	"20.56"	"0.04688"
"GO:0009744"	"response to sucrose"	"56"	"22"	"14.57"	"0.05068"
"GO:0001732"	"formation of cytoplasmic translation initiation complex"	"20"	"9"	"5.2"	"0.05167"
"GO:2000024"	"regulation of leaf development"	"27"	"12"	"7.03"	"0.05208"
"GO:0045892"	"negative regulation of DNA-templated transcription"	"138"	"50"	"35.91"	"0.05292"
"GO:0010228"	"vegetative to reproductive phase transition of meristem"	"146"	"53"	"38"	"0.05612"
"GO:0045048"	"protein insertion into ER membrane"	"13"	"8"	"3.38"	"0.05658"
"GO:0010192"	"mucilage biosynthetic process"	"20"	"9"	"5.2"	"0.05662"
"GO:0071219"	"cellular response to molecule of bacterial origin"	"18"	"8"	"4.68"	"0.05664"
"GO:0030705"	"cytoskeleton-dependent intracellular transport"	"11"	"6"	"2.86"	"0.05665"
"GO:2000030"	"regulation of response to red or far red light"	"32"	"11"	"8.33"	"0.05667"
"GO:0032527"	"protein exit from endoplasmic reticulum"	"7"	"4"	"1.82"	"0.05670"
"GO:0016578"	"histone deubiquitination"	"4"	"3"	"1.04"	"0.05671"
"GO:0160063"	"multi-pass transmembrane protein insertion into ER membrane"	"4"	"3"	"1.04"	"0.05671"
"GO:0048262"	"determination of dorsal/ventral asymmetry"	"4"	"3"	"1.04"	"0.05671"
"GO:0006621"	"protein retention in ER lumen"	"4"	"3"	"1.04"	"0.05671"
"GO:0099175"	"regulation of postsynapse organization"	"4"	"3"	"1.04"	"0.05671"
"GO:0006904"	"vesicle docking involved in exocytosis"	"4"	"3"	"1.04"	"0.05671"
"GO:1902975"	"mitotic DNA replication initiation"	"4"	"3"	"1.04"	"0.05671"
"GO:1900367"	"positive regulation of defense response to insect"	"4"	"3"	"1.04"	"0.05671"
"GO:0071038"	"nuclear polyadenylation-dependent tRNA catabolic process"	"4"	"3"	"1.04"	"0.05671"
"GO:0040020"	"regulation of meiotic nuclear division"	"8"	"4"	"2.08"	"0.05671"
"GO:0000338"	"protein deneddylation"	"9"	"5"	"2.34"	"0.05727"
"GO:0009765"	"photosynthesis, light harvesting"	"25"	"8"	"6.51"	"0.05736"
"GO:0010218"	"response to far red light"	"12"	"6"	"3.12"	"0.06479"
"GO:0043328"	"protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway"	"12"	"6"	"3.12"	"0.06479"
"GO:0080001"	"mucilage extrusion from seed coat"	"12"	"6"	"3.12"	"0.06479"
"GO:2000028"	"regulation of photoperiodism, flowering"	"77"	"28"	"20.04"	"0.06568"
"GO:0000003"	"reproduction"	"990"	"302"	"257.64"	"0.06570"
"GO:0048571"	"long-day photoperiodism"	"50"	"19"	"13.01"	"0.06751"
"GO:0031122"	"cytoplasmic microtubule organization"	"29"	"12"	"7.55"	"0.06758"
