"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0022625"	"cytosolic large ribosomal subunit"	"40"	"24"	"5.42"	"8.7e-12"
"GO:0005576"	"extracellular region"	"759"	"158"	"102.76"	"2.4e-09"
"GO:0005886"	"plasma membrane"	"1656"	"298"	"224.21"	"1.1e-08"
"GO:0022627"	"cytosolic small ribosomal subunit"	"21"	"12"	"2.84"	"3.3e-06"
"GO:0098552"	"side of membrane"	"164"	"43"	"22.2"	"0.00014"
"GO:0009505"	"plant-type cell wall"	"98"	"28"	"13.27"	"0.00038"
"GO:0048046"	"apoplast"	"153"	"31"	"20.72"	"0.01304"
"GO:0071944"	"cell periphery"	"1806"	"334"	"244.52"	"0.01685"
"GO:0009536"	"plastid"	"1661"	"189"	"224.89"	"0.01912"
"GO:0098554"	"cytoplasmic side of endoplasmic reticulum membrane"	"5"	"3"	"0.68"	"0.02003"
"GO:0048226"	"Casparian strip"	"5"	"3"	"0.68"	"0.02003"
"GO:0097708"	"intracellular vesicle"	"498"	"55"	"67.43"	"0.05083"
"GO:0034045"	"phagophore assembly site membrane"	"7"	"3"	"0.95"	"0.05685"
"GO:0009506"	"plasmodesma"	"265"	"45"	"35.88"	"0.06206"
"GO:0005905"	"clathrin-coated pit"	"23"	"6"	"3.11"	"0.06902"
"GO:0000325"	"plant-type vacuole"	"238"	"39"	"32.22"	"0.08756"
"GO:0000786"	"nucleosome"	"41"	"9"	"5.55"	"0.09400"
"GO:0031012"	"extracellular matrix"	"24"	"6"	"3.25"	"0.10346"
"GO:0005773"	"vacuole"	"438"	"71"	"59.3"	"0.11973"
"GO:0030659"	"cytoplasmic vesicle membrane"	"219"	"23"	"29.65"	"0.13658"
"GO:0031234"	"extrinsic component of cytoplasmic side of plasma membrane"	"10"	"3"	"1.35"	"0.14331"
"GO:0005758"	"mitochondrial intermembrane space"	"21"	"5"	"2.84"	"0.14490"
"GO:0030136"	"clathrin-coated vesicle"	"57"	"9"	"7.72"	"0.14933"
"GO:0043226"	"organelle"	"8311"	"1034"	"1125.26"	"0.15728"
"GO:0055028"	"cortical microtubule"	"33"	"7"	"4.47"	"0.21264"
"GO:0009514"	"glyoxysome"	"18"	"4"	"2.44"	"0.21955"
"GO:0032580"	"Golgi cisterna membrane"	"37"	"7"	"5.01"	"0.22776"
"GO:0005777"	"peroxisome"	"165"	"24"	"22.34"	"0.22911"
"GO:0005856"	"cytoskeleton"	"357"	"47"	"48.34"	"0.23899"
"GO:0005795"	"Golgi stack"	"104"	"15"	"14.08"	"0.24291"
"GO:0071782"	"endoplasmic reticulum tubular network"	"13"	"3"	"1.76"	"0.25331"
"GO:0005774"	"vacuolar membrane"	"185"	"28"	"25.05"	"0.25840"
"GO:0005743"	"mitochondrial inner membrane"	"184"	"23"	"24.91"	"0.29527"
"GO:0009898"	"cytoplasmic side of plasma membrane"	"18"	"5"	"2.44"	"0.29608"
"GO:0009522"	"photosystem I"	"27"	"5"	"3.66"	"0.29876"
"GO:0005794"	"Golgi apparatus"	"735"	"103"	"99.51"	"0.32527"
"GO:0015935"	"small ribosomal subunit"	"36"	"15"	"4.87"	"0.32863"
"GO:0000326"	"protein storage vacuole"	"23"	"4"	"3.11"	"0.34945"
"GO:0005881"	"cytoplasmic microtubule"	"36"	"8"	"4.87"	"0.35324"
"GO:0005657"	"replication fork"	"30"	"5"	"4.06"	"0.35363"
