"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0022625"	"cytosolic large ribosomal subunit"	"40"	"10"	"1.85"	"9.8e-06"
"GO:0005634"	"nucleus"	"3988"	"202"	"184.13"	"9.8e-05"
"GO:0005758"	"mitochondrial intermembrane space"	"21"	"4"	"0.97"	"0.0144"
"GO:0048471"	"perinuclear region of cytoplasm"	"36"	"4"	"1.66"	"0.0827"
"GO:0022626"	"cytosolic ribosome"	"73"	"14"	"3.37"	"0.1006"
"GO:0005886"	"plasma membrane"	"1656"	"88"	"76.46"	"0.1039"
"GO:0005788"	"endoplasmic reticulum lumen"	"25"	"3"	"1.15"	"0.1063"
"GO:0005856"	"cytoskeleton"	"357"	"22"	"16.48"	"0.1198"
"GO:0009536"	"plastid"	"1661"	"66"	"76.69"	"0.1331"
"GO:0000138"	"Golgi trans cisterna"	"29"	"3"	"1.34"	"0.1480"
"GO:0000139"	"Golgi membrane"	"376"	"21"	"17.36"	"0.2125"
"GO:0031969"	"chloroplast membrane"	"241"	"10"	"11.13"	"0.2426"
"GO:0032580"	"Golgi cisterna membrane"	"37"	"3"	"1.71"	"0.2429"
"GO:0009705"	"plant-type vacuole membrane"	"76"	"5"	"3.51"	"0.2737"
"GO:0005795"	"Golgi stack"	"104"	"9"	"4.8"	"0.2803"
"GO:0030136"	"clathrin-coated vesicle"	"57"	"4"	"2.63"	"0.2933"
"GO:0005794"	"Golgi apparatus"	"735"	"40"	"33.93"	"0.3022"
"GO:0005777"	"peroxisome"	"165"	"9"	"7.62"	"0.3331"
"GO:0005741"	"mitochondrial outer membrane"	"47"	"3"	"2.17"	"0.3703"
"GO:0005576"	"extracellular region"	"759"	"32"	"35.04"	"0.3910"
"GO:0042995"	"cell projection"	"86"	"5"	"3.97"	"0.4053"
"GO:0055028"	"cortical microtubule"	"33"	"3"	"1.52"	"0.4056"
"GO:0009505"	"plant-type cell wall"	"98"	"6"	"4.52"	"0.4196"
"GO:0031985"	"Golgi cisterna"	"97"	"8"	"4.48"	"0.4313"
"GO:0005874"	"microtubule"	"196"	"11"	"9.05"	"0.4370"
"GO:0009506"	"plasmodesma"	"265"	"13"	"12.24"	"0.4517"
"GO:0030686"	"90S preribosome"	"20"	"3"	"0.92"	"0.5070"
"GO:0005743"	"mitochondrial inner membrane"	"184"	"7"	"8.5"	"0.5078"
"GO:0005840"	"ribosome"	"266"	"22"	"12.28"	"0.5321"
