"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0005634"	"nucleus"	"3988"	"1236"	"1044.86"	"1.6e-19"
"GO:0005794"	"Golgi apparatus"	"735"	"249"	"192.57"	"0.00023"
"GO:0005686"	"U2 snRNP"	"12"	"9"	"3.14"	"0.00057"
"GO:0071004"	"U2-type prespliceosome"	"7"	"6"	"1.83"	"0.00175"
"GO:0005874"	"microtubule"	"196"	"71"	"51.35"	"0.00231"
"GO:0000139"	"Golgi membrane"	"376"	"123"	"98.51"	"0.00255"
"GO:0005758"	"mitochondrial intermembrane space"	"21"	"12"	"5.5"	"0.00259"
"GO:0055038"	"recycling endosome membrane"	"10"	"7"	"2.62"	"0.00466"
"GO:0005788"	"endoplasmic reticulum lumen"	"25"	"13"	"6.55"	"0.00519"
"GO:0030136"	"clathrin-coated vesicle"	"57"	"25"	"14.93"	"0.01153"
"GO:1990316"	"Atg1/ULK1 kinase complex"	"3"	"3"	"0.79"	"0.01797"
"GO:0010445"	"nuclear dicing body"	"3"	"3"	"0.79"	"0.01797"
"GO:0005852"	"eukaryotic translation initiation factor 3 complex"	"18"	"9"	"4.72"	"0.01846"
"GO:0098839"	"postsynaptic density membrane"	"5"	"4"	"1.31"	"0.01860"
"GO:0043197"	"dendritic spine"	"5"	"4"	"1.31"	"0.01860"
"GO:0030015"	"CCR4-NOT core complex"	"5"	"4"	"1.31"	"0.01860"
"GO:0000221"	"vacuolar proton-transporting V-type ATPase, V1 domain"	"5"	"4"	"1.31"	"0.01860"
"GO:0071005"	"U2-type precatalytic spliceosome"	"10"	"6"	"2.62"	"0.02478"
"GO:0016282"	"eukaryotic 43S preinitiation complex"	"18"	"9"	"4.72"	"0.02603"
"GO:0033290"	"eukaryotic 48S preinitiation complex"	"18"	"9"	"4.72"	"0.02603"
"GO:0033116"	"endoplasmic reticulum-Golgi intermediate compartment membrane"	"8"	"5"	"2.1"	"0.03320"
"GO:0030018"	"Z disc"	"8"	"5"	"2.1"	"0.03320"
"GO:0008180"	"COP9 signalosome"	"8"	"5"	"2.1"	"0.03320"
"GO:0005768"	"endosome"	"303"	"99"	"79.39"	"0.03655"
"GO:0000124"	"SAGA complex"	"11"	"6"	"2.88"	"0.04260"
"GO:0030904"	"retromer complex"	"7"	"5"	"1.83"	"0.04421"
"GO:0019005"	"SCF ubiquitin ligase complex"	"50"	"19"	"13.1"	"0.04460"
"GO:0012507"	"ER to Golgi transport vesicle membrane"	"13"	"8"	"3.41"	"0.05765"
"GO:0000015"	"phosphopyruvate hydratase complex"	"4"	"3"	"1.05"	"0.05777"
"GO:0030127"	"COPII vesicle coat"	"9"	"5"	"2.36"	"0.05881"
"GO:0070469"	"respirasome"	"54"	"21"	"14.15"	"0.06637"
"GO:0045273"	"respiratory chain complex II"	"6"	"4"	"1.57"	"0.06859"
"GO:0016607"	"nuclear speck"	"73"	"25"	"19.13"	"0.07836"
"GO:0070971"	"endoplasmic reticulum exit site"	"7"	"4"	"1.83"	"0.08211"
