"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0003735"	"structural constituent of ribosome"	"205"	"61"	"28.51"	"2.5e-09"
"GO:0140825"	"lactoperoxidase activity"	"63"	"23"	"8.76"	"5.9e-06"
"GO:0020037"	"heme binding"	"241"	"58"	"33.52"	"1.4e-05"
"GO:0047274"	"galactinol-sucrose galactosyltransferase activity"	"5"	"5"	"0.7"	"5.2e-05"
"GO:0005200"	"structural constituent of cytoskeleton"	"11"	"7"	"1.53"	"0.00020"
"GO:0010427"	"abscisic acid binding"	"7"	"5"	"0.97"	"0.00085"
"GO:0017018"	"myosin phosphatase activity"	"109"	"27"	"15.16"	"0.00168"
"GO:0005355"	"glucose transmembrane transporter activity"	"11"	"6"	"1.53"	"0.00177"
"GO:0005351"	"carbohydrate:proton symporter activity"	"11"	"6"	"1.53"	"0.00201"
"GO:0004805"	"trehalose-phosphatase activity"	"8"	"5"	"1.11"	"0.00201"
"GO:0015591"	"D-ribose transmembrane transporter activity"	"8"	"5"	"1.11"	"0.00201"
"GO:0005354"	"galactose transmembrane transporter activity"	"8"	"5"	"1.11"	"0.00201"
"GO:0015575"	"mannitol transmembrane transporter activity"	"8"	"5"	"1.11"	"0.00201"
"GO:0015576"	"sorbitol transmembrane transporter activity"	"8"	"5"	"1.11"	"0.00201"
"GO:0015168"	"glycerol transmembrane transporter activity"	"8"	"5"	"1.11"	"0.00201"
"GO:0015148"	"D-xylose transmembrane transporter activity"	"8"	"5"	"1.11"	"0.00201"
"GO:0003700"	"DNA-binding transcription factor activity"	"853"	"147"	"118.64"	"0.00227"
"GO:0051119"	"sugar transmembrane transporter activity"	"49"	"16"	"6.82"	"0.00246"
"GO:0004014"	"adenosylmethionine decarboxylase activity"	"3"	"3"	"0.42"	"0.00269"
"GO:0005365"	"myo-inositol transmembrane transporter activity"	"9"	"5"	"1.25"	"0.00400"
"GO:1990538"	"xylan O-acetyltransferase activity"	"21"	"8"	"2.92"	"0.00519"
"GO:0043565"	"sequence-specific DNA binding"	"638"	"112"	"88.73"	"0.00725"
"GO:0005545"	"1-phosphatidylinositol binding"	"14"	"6"	"1.95"	"0.00793"
"GO:0004557"	"alpha-galactosidase activity"	"5"	"4"	"0.7"	"0.00961"
"GO:0003883"	"CTP synthase activity"	"4"	"3"	"0.56"	"0.00963"
"GO:0003989"	"acetyl-CoA carboxylase activity"	"4"	"3"	"0.56"	"0.00963"
