"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0043565"	"sequence-specific DNA binding"	"638"	"49"	"29.61"	"6.4e-06"
"GO:0003700"	"DNA-binding transcription factor activity"	"853"	"64"	"39.59"	"0.00030"
"GO:0003883"	"CTP synthase activity"	"4"	"3"	"0.19"	"0.00038"
"GO:0017018"	"myosin phosphatase activity"	"109"	"14"	"5.06"	"0.00050"
"GO:0003825"	"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity"	"5"	"3"	"0.23"	"0.00093"
"GO:0005200"	"structural constituent of cytoskeleton"	"11"	"4"	"0.51"	"0.00117"
"GO:0004673"	"protein histidine kinase activity"	"12"	"5"	"0.56"	"0.00213"
"GO:0033926"	"glycopeptide alpha-N-acetylgalactosaminidase activity"	"7"	"3"	"0.32"	"0.00303"
"GO:0003735"	"structural constituent of ribosome"	"205"	"19"	"9.51"	"0.00320"
"GO:0000155"	"phosphorelay sensor kinase activity"	"10"	"3"	"0.46"	"0.00935"
"GO:0016597"	"amino acid binding"	"13"	"3"	"0.6"	"0.02008"
"GO:0005545"	"1-phosphatidylinositol binding"	"14"	"3"	"0.65"	"0.02469"
"GO:0042803"	"protein homodimerization activity"	"170"	"14"	"7.89"	"0.02687"
"GO:0004672"	"protein kinase activity"	"834"	"49"	"38.71"	"0.03357"
"GO:0009931"	"calcium-dependent protein serine/threonine kinase activity"	"27"	"4"	"1.25"	"0.03451"
"GO:0004683"	"calmodulin-dependent protein kinase activity"	"29"	"4"	"1.35"	"0.04346"
"GO:0005525"	"GTP binding"	"202"	"15"	"9.38"	"0.04922"
"GO:0000976"	"transcription cis-regulatory region binding"	"405"	"22"	"18.8"	"0.05115"
"GO:0003680"	"minor groove of adenine-thymine-rich DNA binding"	"19"	"3"	"0.88"	"0.05542"
"GO:0051119"	"sugar transmembrane transporter activity"	"49"	"4"	"2.27"	"0.05552"
"GO:0004564"	"beta-fructofuranosidase activity"	"14"	"4"	"0.65"	"0.06201"
"GO:0050734"	"hydroxycinnamoyltransferase activity"	"20"	"3"	"0.93"	"0.06303"
"GO:1990538"	"xylan O-acetyltransferase activity"	"21"	"3"	"0.97"	"0.07110"
"GO:0004185"	"serine-type carboxypeptidase activity"	"35"	"4"	"1.62"	"0.07730"
"GO:0008289"	"lipid binding"	"237"	"18"	"11"	"0.07885"
"GO:0019902"	"phosphatase binding"	"19"	"3"	"0.88"	"0.08947"
