"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"classicFisher"
"GO:0003700"	"DNA-binding transcription factor activity"	"853"	"314"	"220.15"	"1.1e-12"
"GO:0043565"	"sequence-specific DNA binding"	"638"	"228"	"164.66"	"1.0e-06"
"GO:0005515"	"protein binding"	"3321"	"1008"	"857.12"	"4.5e-05"
"GO:0000976"	"transcription cis-regulatory region binding"	"405"	"137"	"104.53"	"0.00012"
"GO:0003677"	"DNA binding"	"1658"	"530"	"427.91"	"0.00017"
"GO:0008017"	"microtubule binding"	"132"	"54"	"34.07"	"0.00021"
"GO:0004713"	"protein tyrosine kinase activity"	"62"	"23"	"16"	"0.00118"
"GO:0017018"	"myosin phosphatase activity"	"109"	"43"	"28.13"	"0.00119"
"GO:0030276"	"clathrin binding"	"40"	"21"	"10.32"	"0.00162"
"GO:0042803"	"protein homodimerization activity"	"170"	"60"	"43.88"	"0.00366"
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	"56"	"24"	"14.45"	"0.00403"
"GO:0000155"	"phosphorelay sensor kinase activity"	"10"	"7"	"2.58"	"0.00425"
"GO:0009881"	"photoreceptor activity"	"14"	"8"	"3.61"	"0.00425"
"GO:0000993"	"RNA polymerase II complex binding"	"8"	"6"	"2.06"	"0.00501"
"GO:0061631"	"ubiquitin conjugating enzyme activity"	"21"	"11"	"5.42"	"0.00825"
"GO:0005200"	"structural constituent of cytoskeleton"	"11"	"7"	"2.84"	"0.00909"
"GO:0000981"	"DNA-binding transcription factor activity, RNA polymerase II-specific"	"107"	"39"	"27.62"	"0.01076"
"GO:0003777"	"microtubule motor activity"	"55"	"24"	"14.19"	"0.01184"
"GO:0005545"	"1-phosphatidylinositol binding"	"14"	"8"	"3.61"	"0.01255"
"GO:0030295"	"protein kinase activator activity"	"19"	"7"	"4.9"	"0.01485"
"GO:0051015"	"actin filament binding"	"52"	"21"	"13.42"	"0.01500"
"GO:0004088"	"carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity"	"3"	"3"	"0.77"	"0.01718"
"GO:0004672"	"protein kinase activity"	"834"	"238"	"215.25"	"0.01765"
"GO:0046872"	"metal ion binding"	"2896"	"734"	"747.43"	"0.01876"
"GO:0061630"	"ubiquitin protein ligase activity"	"145"	"49"	"37.42"	"0.02597"
"GO:0016597"	"amino acid binding"	"13"	"7"	"3.36"	"0.02872"
"GO:0004843"	"cysteine-type deubiquitinase activity"	"52"	"20"	"13.42"	"0.03029"
"GO:0016308"	"1-phosphatidylinositol-4-phosphate 5-kinase activity"	"8"	"5"	"2.06"	"0.03117"
"GO:0010011"	"auxin binding"	"8"	"5"	"2.06"	"0.03117"
"GO:0003682"	"chromatin binding"	"93"	"33"	"24"	"0.03894"
"GO:0005199"	"structural constituent of cell wall"	"6"	"4"	"1.55"	"0.04199"
"GO:0048040"	"UDP-glucuronate decarboxylase activity"	"6"	"4"	"1.55"	"0.04199"
"GO:0019900"	"kinase binding"	"84"	"31"	"21.68"	"0.04447"
"GO:0030674"	"protein-macromolecule adaptor activity"	"74"	"31"	"19.1"	"0.04714"
"GO:0016168"	"chlorophyll binding"	"17"	"8"	"4.39"	"0.04781"
"GO:0004683"	"calmodulin-dependent protein kinase activity"	"29"	"12"	"7.48"	"0.04867"
"GO:0051087"	"protein-folding chaperone binding"	"38"	"17"	"9.81"	"0.04910"
"GO:0042802"	"identical protein binding"	"252"	"88"	"65.04"	"0.05411"
"GO:0004838"	"L-tyrosine:2-oxoglutarate aminotransferase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0003989"	"acetyl-CoA carboxylase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0004365"	"glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0008429"	"phosphatidylethanolamine binding"	"4"	"3"	"1.03"	"0.05543"
"GO:0004566"	"beta-glucuronidase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0004315"	"3-oxoacyl-[acyl-carrier-protein] synthase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0003883"	"CTP synthase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0047769"	"arogenate dehydratase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0017124"	"SH3 domain binding"	"4"	"3"	"1.03"	"0.05543"
"GO:0004664"	"prephenate dehydratase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0004634"	"phosphopyruvate hydratase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0008265"	"Mo-molybdopterin cofactor sulfurase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:0046923"	"ER retention sequence binding"	"4"	"3"	"1.03"	"0.05543"
"GO:0102867"	"molybdenum cofactor sulfurtransferase activity"	"4"	"3"	"1.03"	"0.05543"
"GO:1990247"	"N6-methyladenosine-containing RNA binding"	"4"	"3"	"1.03"	"0.05543"
"GO:0008143"	"poly(A) binding"	"9"	"5"	"2.32"	"0.05544"
"GO:0003743"	"translation initiation factor activity"	"82"	"28"	"21.16"	"0.05728"
"GO:0005262"	"calcium channel activity"	"12"	"6"	"3.1"	"0.06249"
"GO:0030544"	"Hsp70 protein binding"	"12"	"6"	"3.1"	"0.06249"
"GO:0070290"	"N-acylphosphatidylethanolamine-specific phospholipase D activity"	"12"	"6"	"3.1"	"0.06249"
"GO:0004630"	"phospholipase D activity"	"12"	"6"	"3.1"	"0.06249"
"GO:0070403"	"NAD+ binding"	"12"	"6"	"3.1"	"0.06249"
"GO:0009931"	"calcium-dependent protein serine/threonine kinase activity"	"27"	"11"	"6.97"	"0.06451"
"GO:0032050"	"clathrin heavy chain binding"	"15"	"7"	"3.87"	"0.06590"
"GO:0004722"	"protein serine/threonine phosphatase activity"	"111"	"45"	"28.65"	"0.06597"
"GO:0003713"	"transcription coactivator activity"	"24"	"10"	"6.19"	"0.06603"
"GO:0004673"	"protein histidine kinase activity"	"12"	"9"	"3.1"	"0.06641"
"GO:0005096"	"GTPase activator activity"	"70"	"24"	"18.07"	"0.07126"
"GO:0016757"	"glycosyltransferase activity"	"492"	"116"	"126.98"	"0.07222"
"GO:0004324"	"ferredoxin-NADP+ reductase activity"	"7"	"4"	"1.81"	"0.07821"
"GO:0047938"	"glucose-6-phosphate 1-epimerase activity"	"7"	"4"	"1.81"	"0.07821"
"GO:0000149"	"SNARE binding"	"33"	"13"	"8.52"	"0.08223"
"GO:0008574"	"plus-end-directed microtubule motor activity"	"10"	"5"	"2.58"	"0.08785"
"GO:0008474"	"palmitoyl-(protein) hydrolase activity"	"10"	"5"	"2.58"	"0.08785"
