"","x"
"1","N0.HOG0016187"
"2","N0.HOG0012208"
"3","N0.HOG0008767"
"4","N0.HOG0005399"
"5","N0.HOG0008853"
"6","N0.HOG0008423"
"7","N0.HOG0005448"
"8","N0.HOG0012933"
"9","N0.HOG0012552"
"10","N0.HOG0016792"
"11","N0.HOG0002789"
"12","N0.HOG0012740"
"13","N0.HOG0019895"
"14","N0.HOG0004740"
"15","N0.HOG0009893"
"16","N0.HOG0009714"
"17","N0.HOG0009733"
"18","N0.HOG0009769"
"19","N0.HOG0010354"
"20","N0.HOG0015767"
"21","N0.HOG0010844"
"22","N0.HOG0010718"
"23","N0.HOG0010740"
"24","N0.HOG0007664"
"25","N0.HOG0001517"
"26","N0.HOG0003819"
"27","N0.HOG0008913"
"28","N0.HOG0010051"
"29","N0.HOG0015040"
"30","N0.HOG0014968"
"31","N0.HOG0006163"
"32","N0.HOG0010025"
"33","N0.HOG0010095"
"34","N0.HOG0002005"
"35","N0.HOG0020648"
"36","N0.HOG0008252"
"37","N0.HOG0016443"
"38","N0.HOG0002801"
"39","N0.HOG0003778"
"40","N0.HOG0002701"
"41","N0.HOG0003229"
"42","N0.HOG0009418"
"43","N0.HOG0004797"
"44","N0.HOG0017415"
"45","N0.HOG0018165"
"46","N0.HOG0004765"
"47","N0.HOG0004079"
"48","N0.HOG0013888"
"49","N0.HOG0011281"
"50","N0.HOG0011483"
"51","N0.HOG0002324"
"52","N0.HOG0001052"
"53","N0.HOG0014076"
"54","N0.HOG0017723"
"55","N0.HOG0009554"
