"","x"
"1","N0.HOG0008767"
"2","N0.HOG0005399"
"3","N0.HOG0008853"
"4","N0.HOG0008423"
"5","N0.HOG0012933"
"6","N0.HOG0012740"
"7","N0.HOG0019895"
"8","N0.HOG0004740"
"9","N0.HOG0009893"
"10","N0.HOG0009714"
"11","N0.HOG0015767"
"12","N0.HOG0010844"
"13","N0.HOG0010740"
"14","N0.HOG0003819"
"15","N0.HOG0008913"
"16","N0.HOG0010051"
"17","N0.HOG0014968"
"18","N0.HOG0010095"
"19","N0.HOG0020648"
"20","N0.HOG0016443"
"21","N0.HOG0018165"
"22","N0.HOG0004765"
"23","N0.HOG0004079"
"24","N0.HOG0013888"
"25","N0.HOG0011281"
"26","N0.HOG0009554"
