"","x"
"1","Misin01G108100"
"2","Misin02G094900"
"3","Os03g0711800"
"4","SORBI_3001G117200"
"5","TraesCS4B02G046600"
"6","TraesCS4D02G045500"
"7","Zm00001eb054830"
"8","Zm00001eb216330"
"9","Zm00001eb216350"
"10","Misin01G244500"
"11","Misin15G036300"
"12","Os10g0140200"
"13","SORBI_3001G268700"
"14","SORBI_3001G269000"
"15","SORBI_3001G269100"
"16","TraesCS1A02G087500"
"17","TraesCS1B02G106400"
"18","TraesCS1D02G088800"
"19","Zm00001eb026300"
"20","Zm00001eb026330"
"21","Misin01G284700"
"22","Misin02G274100"
"23","Os02g0326600"
"24","SORBI_3001G301200"
"25","TraesCS5A02G361300"
"26","TraesCS5B02G363900"
"27","TraesCS5D02G370200"
"28","Zm00001eb023450"
"29","Zm00001eb391380"
"30","Misin01G340900"
"31","Misin02G333700"
"32","Os03g0370900"
"33","SORBI_3001G359400"
"34","SORBI_3001G359500"
"35","TraesCS2A02G125100"
"36","TraesCS2B02G147600"
"37","TraesCS2D02G128200"
"38","Zm00001eb018030"
"39","Misin01G407100"
"40","Misin02G401500"
"41","Os03g0264000"
"42","SORBI_3001G427900"
"43","TraesCS4B02G214800"
"44","TraesCS4D02G215400"
"45","Zm00001eb011640"
"46","Zm00001eb398050"
"47","Misin01G507900"
"48","Misin02G487000"
"49","Os10g0524100"
"50","SORBI_3001G530500"
"51","TraesCS4B02G353500"
"52","TraesCS5A02G521800"
"53","Zm00001eb001270"
"54","Zm00001eb403930"
"55","Misin02G003500"
"56","Os03g0832500"
"57","SORBI_3001G025900"
"58","TraesCS5B02G510100"
"59","Zm00001eb063450"
"60","Zm00001eb396560"
"61","Misin02G253900"
"62","Misin03G147500"
"63","Misin04G165200"
"64","Os10g0101100"
"65","Os11g0643400"
"66","SORBI_3001G280200"
"67","SORBI_3002G175500"
"68","TraesCS5A02G307400"
"69","TraesCS5B02G307800"
"70","TraesCS5D02G314300"
"71","Zm00001eb098370"
"72","Zm00001eb225050"
"73","Misin03G155400"
"74","Misin04G174100"
"75","Os09g0375000"
"76","SORBI_3002G186900"
"77","TraesCS5A02G188100"
"78","TraesCS5B02G195500"
"79","TraesCS5D02G202900"
"80","Zm00001eb098760"
"81","Zm00001eb311450"
"82","Misin03G179400"
"83","Misin04G198800"
"84","Os09g0438400"
"85","SORBI_3002G214400"
"86","TraesCS5A02G212300"
"87","TraesCS5B02G211400"
"88","TraesCS5D02G219700"
"89","Zm00001eb100060"
"90","Zm00001eb313980"
"91","Misin05G202400"
"92","MisinT283500"
"93","Os01g0628700"
"94","SORBI_3003G228900"
"95","TraesCS3A02G227800"
"96","Zm00001eb159250"
"97","Zm00001eb358860"
"98","Misin05G209900"
"99","Misin06G226100"
"100","Os01g0689800"
"101","SORBI_3003G262500"
"102","TraesCS3A02G262400"
"103","TraesCS3D02G262400"
"104","Zm00001eb156260"
"105","Zm00001eb360610"
"106","Misin05G288900"
"107","Misin18G086200"
"108","Os01g0777000"
"109","SORBI_3003G314700"
"110","TraesCS3A02G319900"
"111","TraesCS3D02G311800"
"112","Zm00001eb151630"
"113","Zm00001eb369950"
"114","Misin06G246500"
"115","MisinT259600"
"116","Os01g0703400"
"117","SORBI_3003G270500"
"118","TraesCS3B02G286300"
"119","Zm00001eb155590"
"120","Zm00001eb361070"
"121","Misin06G363700"
"122","MisinT363300"
"123","Os01g0911800"
"124","SORBI_3003G398400"
"125","TraesCS3A02G417600"
"126","TraesCS3B02G452800"
"127","TraesCS3D02G413200"
"128","Zm00001eb143670"
"129","Zm00001eb365010"
"130","Misin07G188800"
"131","Misin13G016500"
"132","Os08g0119700"
"133","SORBI_3007G023100"
"134","TraesCS7A02G314300"
"135","TraesCS7B02G215100"
"136","TraesCS7D02G311500"
"137","Zm00001eb173520"
"138","Zm00001eb261240"
"139","Misin07G208600"
"140","Misin13G001800"
"141","Os08g0109000"
"142","SORBI_3007G008800"
"143","TraesCS7A02G322800"
"144","TraesCS7D02G319300"
"145","Zm00001eb174210"
"146","Zm00001eb260360"
"147","Misin07G280400"
"148","Misin13G139300"
"149","Os08g0478500"
"150","SORBI_3007G159900"
"151","TraesCS7A02G282200"
"152","TraesCS7B02G179000"
"153","TraesCS7D02G280800"
"154","Zm00001eb038400"
"155","Zm00001eb180290"
"156","Misin07G380900"
"157","Os02g0567200"
"158","SORBI_3004G186300"
"159","TraesCS6D02G184300"
"160","Zm00001eb182690"
"161","Zm00001eb244550"
"162","Misin07G511400"
"163","Misin08G289000"
"164","Os02g0778500"
"165","SORBI_3004G318200"
"166","TraesCS6D02G317800"
"167","Zm00001eb193130"
"168","Zm00001eb256920"
"169","Misin12G010500"
"170","Os04g0165000"
"171","SORBI_3006G015900"
"172","TraesCS1A02G037300"
"173","TraesCS1B02G047800"
"174","Zm00001eb418290"
"175","Zm00001eb088730"
"176","Misin14G035400"
"177","Misin15G053700"
"178","Misin19G250600"
"179","Os06g0690900"
"180","SORBI_3010G240700"
"181","SORBI_3008G040000"
"182","TraesCS7A02G437100"
"183","TraesCS7B02G336100"
"184","TraesCS7D02G427000"
"185","Zm00001eb118490"
"186","Zm00001eb118600"
"187","Zm00001eb164240"
"188","Misin14G040200"
"189","Misin15G042200"
"190","Os11g0148700"
"191","SORBI_3005G034700"
"192","SORBI_3008G033900"
"193","TraesCS4A02G184500"
"194","TraesCS4B02G134200"
"195","TraesCS4D02G129100"
"196","TraesCS5A02G130800"
"197","TraesCS5B02G130700"
"198","TraesCS5D02G138300"
"199","Zm00001eb406520"
"200","Zm00001eb092810"
"201","Misin15G137900"
"202","Os12g0566500"
"203","SORBI_3008G132900"
"204","TraesCS5A02G084500"
"205","TraesCS5B02G090400"
"206","TraesCS5D02G096900"
"207","Zm00001eb028750"
"208","Zm00001eb214460"
"209","Misin16G081700"
"210","Misin17G083500"
"211","Os05g0183100"
"212","SORBI_3009G068900"
"213","TraesCS1A02G121500"
"214","TraesCS1D02G122400"
"215","Zm00001eb282840"
"216","Zm00001eb346880"
"217","Misin18G267500"
"218","Misin19G264500"
"219","Os06g0716000"
"220","SORBI_3010G266900"
"221","TraesCS7A02G528600"
"222","TraesCS7B02G445300"
"223","TraesCS7D02G516500"
"224","Zm00001eb228090"
"225","Zm00001eb272300"
