"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0016310","phosphorylation","BP",1,"N0.HOG0000135","GO:0016310",14,"GO:0016310",3,"GO:0016310",1,"GO:0016310",4,"GO:0016310",4,"GO:0016310",2,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
"2","GO:0006952","defense response","BP",1,"N0.HOG0000135","GO:0006952",7,"GO:0006952",1,"GO:0006952",0,"GO:0006952",3,"GO:0006952",1,"GO:0006952",2,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"3","GO:0031349","positive regulation of defense response","BP",1,"N0.HOG0000135","GO:0031349",7,"GO:0031349",1,"GO:0031349",0,"GO:0031349",3,"GO:0031349",1,"GO:0031349",2,"Any process that activates or increases the frequency, rate or extent of a defense response."
"4","GO:0046777","protein autophosphorylation","BP",1,"N0.HOG0000135","GO:0046777",7,"GO:0046777",1,"GO:0046777",0,"GO:0046777",3,"GO:0046777",1,"GO:0046777",2,"The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."
"5","GO:1900426","positive regulation of defense response to bacterium","BP",1,"N0.HOG0000135","GO:1900426",7,"GO:1900426",1,"GO:1900426",0,"GO:1900426",3,"GO:1900426",1,"GO:1900426",2,NA
"6","GO:0071555","cell wall organization","BP",1,"N0.HOG0004368","GO:0071555",12,"GO:0071555",3,"GO:0071555",1,"GO:0071555",4,"GO:0071555",2,"GO:0071555",2,"A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
"7","GO:0002238","response to molecule of fungal origin","BP",1,"N0.HOG0004797","GO:0002238",1,"GO:0002238",1,"GO:0002238",0,"GO:0002238",0,"GO:0002238",0,"GO:0002238",0,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of fungal origin such as chito-octamer oligosaccharide."
"8","GO:0009805","coumarin biosynthetic process","BP",1,"N0.HOG0004797","GO:0009805",1,"GO:0009805",1,"GO:0009805",0,"GO:0009805",0,"GO:0009805",0,"GO:0009805",0,"The chemical reactions and pathways resulting in the formation of coumarins, a class of compounds derived from the phenylacrylic skeleton of cinnamic acids."
"9","GO:0016020","membrane","CC",1,"N0.HOG0000135","GO:0016020",15,"GO:0016020",3,"GO:0016020",1,"GO:0016020",4,"GO:0016020",5,"GO:0016020",2,"A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."
"10","GO:0005634","nucleus","CC",1,"N0.HOG0000135","GO:0005634",7,"GO:0005634",1,"GO:0005634",0,"GO:0005634",3,"GO:0005634",1,"GO:0005634",2,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"11","GO:0005783","endoplasmic reticulum","CC",1,"N0.HOG0000135","GO:0005783",7,"GO:0005783",1,"GO:0005783",0,"GO:0005783",3,"GO:0005783",1,"GO:0005783",2,"The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached)."
"12","GO:0005789","endoplasmic reticulum membrane","CC",1,"N0.HOG0000135","GO:0005789",7,"GO:0005789",1,"GO:0005789",0,"GO:0005789",3,"GO:0005789",1,"GO:0005789",2,"The lipid bilayer surrounding the endoplasmic reticulum."
"13","GO:0005886","plasma membrane","CC",1,"N0.HOG0000135","GO:0005886",8,"GO:0005886",1,"GO:0005886",0,"GO:0005886",3,"GO:0005886",2,"GO:0005886",2,"The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."
"14","GO:0005576","extracellular region","CC",1,"N0.HOG0004368","GO:0005576",12,"GO:0005576",3,"GO:0005576",1,"GO:0005576",4,"GO:0005576",2,"GO:0005576",2,"The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite."
"15","GO:0000166","nucleotide binding","MF",1,"N0.HOG0000135","GO:0000166",15,"GO:0000166",3,"GO:0000166",1,"GO:0000166",4,"GO:0000166",5,"GO:0000166",2,"Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose."
"16","GO:0004672","protein kinase activity","MF",1,"N0.HOG0000135","GO:0004672",15,"GO:0004672",3,"GO:0004672",1,"GO:0004672",4,"GO:0004672",5,"GO:0004672",2,"Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP."
"17","GO:0005524","ATP binding","MF",1,"N0.HOG0000135","GO:0005524",15,"GO:0005524",3,"GO:0005524",1,"GO:0005524",4,"GO:0005524",5,"GO:0005524",2,"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"18","GO:0016301","kinase activity","MF",1,"N0.HOG0000135","GO:0016301",14,"GO:0016301",3,"GO:0016301",1,"GO:0016301",4,"GO:0016301",4,"GO:0016301",2,"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."
"19","GO:0016740","transferase activity","MF",1,"N0.HOG0000135","GO:0016740",14,"GO:0016740",3,"GO:0016740",1,"GO:0016740",4,"GO:0016740",4,"GO:0016740",2,"Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
"20","GO:0004674","protein serine/threonine kinase activity","MF",1,"N0.HOG0000135","GO:0004674",8,"GO:0004674",1,"GO:0004674",1,"GO:0004674",3,"GO:0004674",1,"GO:0004674",2,"Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate."
"21","GO:0005515","protein binding","MF",1,"N0.HOG0000135","GO:0005515",7,"GO:0005515",1,"GO:0005515",0,"GO:0005515",3,"GO:0005515",1,"GO:0005515",2,"Binding to a protein."
"22","GO:0106310","protein serine kinase activity","MF",1,"N0.HOG0000135","GO:0106310",7,"GO:0106310",1,"GO:0106310",0,"GO:0106310",3,"GO:0106310",1,"GO:0106310",2,"Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate."
"23","GO:0016787","hydrolase activity","MF",1,"N0.HOG0004368","GO:0016787",12,"GO:0016787",3,"GO:0016787",1,"GO:0016787",4,"GO:0016787",2,"GO:0016787",2,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"24","GO:0016491","oxidoreductase activity","MF",1,"N0.HOG0004797","GO:0016491",12,"GO:0016491",3,"GO:0016491",1,"GO:0016491",4,"GO:0016491",2,"GO:0016491",2,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
