"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0035556","intracellular signal transduction",27,6,1.24,0.003,"BP"
"2","GO:0042631","cellular response to water deprivation",5,2,0.23,0.019,"BP"
"3","GO:1902600","proton transmembrane transport",7,2,0.32,0.037,"BP"
"4","GO:0048364","root development",24,4,1.1,0.068,"BP"
"5","GO:0009738","abscisic acid-activated signaling pathwa...",14,2,0.64,0.131,"BP"
"6","GO:0016310","phosphorylation",76,7,3.48,0.14,"BP"
"7","GO:0009058","biosynthetic process",290,11,13.27,0.149,"BP"
"8","GO:0045893","positive regulation of DNA-templated tra...",16,2,0.73,0.163,"BP"
"9","GO:0042742","defense response to bacterium",17,2,0.78,0.18,"BP"
"10","GO:0048589","developmental growth",14,2,0.64,0.206,"BP"
"11","GO:0006096","glycolytic process",9,2,0.41,0.274,"BP"
"12","GO:0006457","protein folding",10,2,0.46,0.307,"BP"
"13","GO:0009737","response to abscisic acid",23,3,1.05,0.334,"BP"
"14","GO:0007165","signal transduction",79,9,3.61,0.47,"BP"
"15","GO:0010468","regulation of gene expression",107,3,4.9,0.654,"BP"
"16","GO:0030154","cell differentiation",26,2,1.19,0.656,"BP"
"17","GO:0005975","carbohydrate metabolic process",59,3,2.7,0.851,"BP"
"18","GO:0043603","amide metabolic process",50,2,2.29,1,"BP"
"19","GO:0043604","amide biosynthetic process",47,2,2.15,1,"BP"
"20","GO:0009725","response to hormone",61,4,2.79,1,"BP"
"21","GO:0043412","macromolecule modification",78,3,3.57,1,"BP"
"22","GO:0022622","root system development",24,4,1.1,1,"BP"
"23","GO:0071229","cellular response to acid chemical",6,2,0.27,1,"BP"
"24","GO:0007275","multicellular organism development",109,5,4.99,1,"BP"
"25","GO:0048869","cellular developmental process",26,2,1.19,1,"BP"
"26","GO:0071214","cellular response to abiotic stimulus",12,2,0.55,1,"BP"
"27","GO:0051716","cellular response to stimulus",136,12,6.22,1,"BP"
"28","GO:0055085","transmembrane transport",58,4,2.65,1,"BP"
"29","GO:0071215","cellular response to abscisic acid stimu...",14,2,0.64,1,"BP"
"30","GO:0048856","anatomical structure development",118,5,5.4,1,"BP"
"31","GO:1901575","organic substance catabolic process",64,3,2.93,1,"BP"
"32","GO:1901700","response to oxygen-containing compound",77,4,3.52,1,"BP"
"33","GO:1901576","organic substance biosynthetic process",285,10,13.04,1,"BP"
"34","GO:0009719","response to endogenous stimulus",63,5,2.88,1,"BP"
"35","GO:1901701","cellular response to oxygen-containing c...",43,4,1.97,1,"BP"
"36","GO:0022613","ribonucleoprotein complex biogenesis",21,2,0.96,1,"BP"
