"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0016042","lipid catabolic process",194,2,0.29,0.0334,"BP"
"2","GO:0009058","biosynthetic process",4686,6,7.01,0.0583,"BP"
"3","GO:0035556","intracellular signal transduction",350,2,0.52,0.095,"BP"
"4","GO:0006952","defense response",963,2,1.44,0.4283,"BP"
"5","GO:0016310","phosphorylation",1035,2,1.55,0.7772,"BP"
"6","GO:0050896","response to stimulus",3767,8,5.63,1,"BP"
"7","GO:0009056","catabolic process",1157,4,1.73,1,"BP"
"8","GO:0009059","macromolecule biosynthetic process",3473,3,5.19,1,"BP"
"9","GO:0006629","lipid metabolic process",887,2,1.33,1,"BP"
"10","GO:0031323","regulation of cellular metabolic process",1979,2,2.96,1,"BP"
"11","GO:0070887","cellular response to chemical stimulus",1079,2,1.61,1,"BP"
"12","GO:0006725","cellular aromatic compound metabolic pro...",3639,2,5.44,1,"BP"
"13","GO:0065007","biological regulation",3503,5,5.24,1,"BP"
"14","GO:0048856","anatomical structure development",1841,3,2.75,1,"BP"
"15","GO:0050789","regulation of biological process",3350,5,5.01,1,"BP"
"16","GO:0007165","signal transduction",1148,3,1.72,1,"BP"
"17","GO:0010467","gene expression",3110,3,4.65,1,"BP"
"18","GO:0023052","signaling",1170,3,1.75,1,"BP"
"19","GO:0009987","cellular process",9856,15,14.74,1,"BP"
"20","GO:0048731","system development",1251,2,1.87,1,"BP"
"21","GO:0007154","cell communication",1279,4,1.91,1,"BP"
"22","GO:0034220","monoatomic ion transmembrane transport",303,2,0.45,1,"BP"
"23","GO:0044249","cellular biosynthetic process",4482,5,6.7,1,"BP"
"24","GO:0008150","biological_process",12035,18,18,1,"BP"
"25","GO:0008152","metabolic process",8620,12,12.89,1,"BP"
"26","GO:0051234","establishment of localization",1961,5,2.93,1,"BP"
"27","GO:0044237","cellular metabolic process",6799,9,10.17,1,"BP"
"28","GO:0044238","primary metabolic process",6854,7,10.25,1,"BP"
"29","GO:0006810","transport",1910,5,2.86,1,"BP"
"30","GO:0006811","monoatomic ion transport",371,2,0.55,1,"BP"
"31","GO:0006812","monoatomic cation transport",302,2,0.45,1,"BP"
"32","GO:0019222","regulation of metabolic process",2058,2,3.08,1,"BP"
"33","GO:0009628","response to abiotic stimulus",1115,2,1.67,1,"BP"
"34","GO:0006793","phosphorus metabolic process",1467,3,2.19,1,"BP"
"35","GO:1901564","organonitrogen compound metabolic proces...",2998,4,4.48,1,"BP"
"36","GO:0043412","macromolecule modification",1398,2,2.09,1,"BP"
"37","GO:0006796","phosphate-containing compound metabolic ...",1438,3,2.15,1,"BP"
"38","GO:0010033","response to organic substance",1365,3,2.04,1,"BP"
"39","GO:1901360","organic cyclic compound metabolic proces...",3744,3,5.6,1,"BP"
"40","GO:0032501","multicellular organismal process",1715,4,2.57,1,"BP"
"41","GO:0032502","developmental process",1926,3,2.88,1,"BP"
"42","GO:0051716","cellular response to stimulus",2001,5,2.99,1,"BP"
"43","GO:0033036","macromolecule localization",823,2,1.23,1,"BP"
"44","GO:0071702","organic substance transport",1087,3,1.63,1,"BP"
"45","GO:0071704","organic substance metabolic process",7508,9,11.23,1,"BP"
"46","GO:0055085","transmembrane transport",930,2,1.39,1,"BP"
"47","GO:0043170","macromolecule metabolic process",5354,6,8.01,1,"BP"
"48","GO:1901700","response to oxygen-containing compound",979,2,1.46,1,"BP"
"49","GO:1901701","cellular response to oxygen-containing c...",493,2,0.74,1,"BP"
