TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0006413"	"translational initiation"	1	5.284241182165405	0.4742529791560868	0.8589276766539276	0.36848795	null
"GO:0006457"	"protein folding"	1	5.6780373842969345	1.174377211919444	0.8610960350815848	0.27735821	null
"GO:0006508"	"proteolysis"	1	6.329401134014754	5.2622572267907	0.8629236559306371	0.44475214	null
"GO:0006629"	"lipid metabolic process"	2	6.41964998343091	6.477701939366011	0.9292980500454672	0.12277613	null
"GO:0006654"	"phosphatidic acid biosynthetic process"	1	4.665956029453957	0.11421359458001666	0.8925541854984664	0.46381088	null
"GO:0006811"	"monoatomic ion transport"	2	6.2873089515699725	4.7761710300947735	0.859657561830051	-0	null
"GO:0006952"	"defense response"	2	5.672842911348061	1.1604144588756624	0.8131845409871619	0.37522238	null
"GO:0006281"	"DNA repair"	1	6.069958023006509	2.895534847137308	0.6714295112331699	0.62162332	6952
"GO:0006284"	"base-excision repair"	1	5.139305943189567	0.33968309554013154	0.727519767961755	0.71811419	6952
"GO:0006979"	"response to oxidative stress"	1	5.521610056993851	0.8191810417707402	0.8189838640372963	0.53687298	6952
"GO:0008150"	"biological_process"	2	7.608228868089044	100	1	-0	null
"GO:0009058"	"biosynthetic process"	1	7.070693987028932	29.004480601854056	0.9474388241629303	0.11172681	null
"GO:0009651"	"response to salt stress"	1	4.474143389760806	0.07343446852364134	0.8258431389896448	0.47274124	null
"GO:0009416"	"response to light stimulus"	1	5.021520064114033	0.2589924319660237	0.8396851398009293	0.6797958	9651
"GO:0009699"	"phenylpropanoid biosynthetic process"	1	4.451709698271347	0.0697373582737433	0.9180290003370447	0.15925058	null
"GO:0009733"	"response to auxin"	1	4.707246463517242	0.1256056236300358	0.8526513918430121	0.49934907	null
"GO:0010233"	"phloem transport"	1	2.041392685158225	0.0002686566781592571	0.8988350893712908	0.23389832	null
"GO:0010468"	"regulation of gene expression"	1	6.751988949243249	13.923871767653479	0.9428240885966082	0.39926133	null
"GO:0010731"	"protein glutathionylation"	1	1.0413926851582251	2.4647401665986892E-05	0.9344204935933396	0.23039539	null
"GO:0016042"	"lipid catabolic process"	2	5.757237315273285	1.4093137798594644	0.8772005106481118	-0	null
"GO:0008610"	"lipid biosynthetic process"	1	6.176261469133591	3.698557052375827	0.8810679903691202	0.67718549	16042
"GO:0051603"	"proteolysis involved in protein catabolic process"	1	5.869168331586262	1.8236390666048707	0.8536666659035267	0.5284636	16042
"GO:0016310"	"phosphorylation"	1	6.327177412456315	5.235381700014107	0.9254223629521837	0.07741388	null
"GO:0019852"	"L-ascorbic acid metabolic process"	1	4.432760907742915	0.0667599521524921	0.9016549919916592	0.15970956	null
"GO:0033355"	"ascorbate glutathione cycle"	1	2.886490725172482	0.001895385188114392	0.878113250478413	0.77562027	19852
"GO:0030091"	"protein repair"	1	4.392679370131183	0.06087415263465443	0.9067097943832549	0.1131676	null
"GO:0033500"	"carbohydrate homeostasis"	1	4.554440700454348	0.08834861127173001	1	-0	null
"GO:0035556"	"intracellular signal transduction"	2	6.225069319444936	4.1384737362710275	0.7760089427909355	0	null
"GO:0007165"	"signal transduction"	1	6.55056587053573	8.756627809544993	0.7570420782222329	0.77546086	35556
"GO:0042221"	"response to chemical"	1	6.2945109760284925	4.8560360057130705	0.8276119997819956	0.46171648	null
"GO:0042325"	"regulation of phosphorylation"	1	4.911003047006807	0.2008023813727952	0.9605487851922724	0.21912257	null
"GO:0042631"	"cellular response to water deprivation"	1	2.5171958979499744	0.00080843477464437	0.8305467899052755	0.42391909	null
"GO:0046907"	"intracellular transport"	1	6.080743701755747	2.9683457363987995	0.8452765335777909	0.4188028	null
"GO:0015031"	"protein transport"	1	6.098670716985937	3.093438694074183	0.791867249415444	0.76212397	46907
"GO:0048229"	"gametophyte development"	1	3.8451600776519457	0.017253181166190824	0.9569296911885713	0.43353892	null
"GO:0048364"	"root development"	1	4.183526073021722	0.0376070054619628	0.9555047392627222	0.35287398	null
"GO:0051028"	"mRNA transport"	1	5.01337238415717	0.25417879442065644	0.846647839368461	0.30464429	null
"GO:0006869"	"lipid transport"	1	5.5839601059765185	0.9456493244590856	0.7955658318369689	0.51777709	51028
"GO:0015914"	"phospholipid transport"	1	4.982194319914847	0.23657069067047537	0.8099130596316895	0.8523522	51028
"GO:0120009"	"intermembrane lipid transfer"	1	4.650948290373242	0.11033409355779031	0.819533253196327	0.79567463	51028
"GO:0120010"	"intermembrane phospholipid transfer"	1	3.4865721505183562	0.007554428610624982	0.8430486275470495	0.64491653	51028
"GO:0080111"	"DNA demethylation"	1	4.2070146586829	0.039697105123238485	0.8876779238953187	0.07105297	null
"GO:0080151"	"positive regulation of salicylic acid mediated signaling pathway"	1	1.5185139398778875	7.887168533115806E-05	0.9803322186234948	0.11943324	null
"GO:0098869"	"cellular oxidant detoxification"	1	5.50300988523983	0.7848373522893541	0.8115566104700873	0.42151038	null
"GO:0009636"	"response to toxic substance"	1	5.624402773733656	1.0379415199973736	0.8248509779254588	0.61135191	98869
"GO:0140547"	"acquisition of seed longevity"	1	1.8920946026904804	0.00018978499282809906	0.9622253596069233	-0	null
"GO:1902600"	"proton transmembrane transport"	1	5.726446008072246	1.312853708699458	0.840916109634737	0.37247286	null
"GO:0006816"	"calcium ion transport"	1	5.262330039973658	0.4509192839988969	0.8577756437122498	0.63663329	1902600
"GO:0070588"	"calcium ion transmembrane transport"	1	5.234038688567414	0.4224811119566813	0.8514816879999503	0.67861387	1902600
