"","x"
"1","Misin01G446600"
"2","Misin02G422800"
"3","Misin13G189000"
"4","Os03g0203700"
"5","SORBI_3001G464900"
"6","SORBI_3007G215200"
"7","TraesCS4A02G046800"
"8","TraesCS4B02G258000"
"9","TraesCS4D02G257900"
"10","Zm00001eb007650"
"11","Zm00001eb034200"
"12","Zm00001eb199600"
"13","Misin07G224500"
"14","Misin05G018300"
"15","Misin05G018400"
"16","Misin06G008400"
"17","Misin06G008500"
"18","Os11g0186500"
"19","SORBI_3003G015000"
"20","SORBI_3003G015100"
"21","TraesCS3A02G145300"
"22","TraesCS3B02G172400"
"23","Zm00001eb119720"
"24","Zm00001eb338800"
"25","Misin08G138700"
"26","Misin14G079500"
"27","Os01g0218032"
"28","SORBI_3004G149800"
"29","SORBI_3008G085300"
"30","TraesCS5A02G169000"
"31","TraesCS5B02G165800"
"32","TraesCS5D02G173300"
"33","Zm00001eb202980"
"34","Zm00001eb241240"
"35","Misin15G097800"
"36","Misin15G097700"
"37","Misin07G374100"
"38","Misin11G258100"
"39","Misin11G258300"
"40","Misin12G264600"
"41","Misin12G264800"
"42","Os04g0666800"
"43","SORBI_3005G159100"
"44","SORBI_3006G256900"
"45","SORBI_3006G257100"
"46","TraesCS7A02G526800"
"47","TraesCS7B02G444100"
"48","Zm00001eb433080"
"49","Zm00001eb067090"
"50","Misin12G265100"
"51","Misin14G001900"
"52","Misin14G002300"
"53","Misin14G086900"
"54","MisinT054900"
"55","MisinT103100"
"56","Os12g0562400"
"57","SORBI_3005G002000"
"58","SORBI_3008G002000"
"59","TraesCS5D02G160300"
"60","Zm00001eb229070"
"61","Zm00001eb229100"
