"","x"
"1","N0.HOG0011633"
"2","N0.HOG0011596"
"3","N0.HOG0015468"
"4","N0.HOG0016924"
"5","N0.HOG0012484"
"6","N0.HOG0012648"
"7","N0.HOG0008741"
"8","N0.HOG0008722"
"9","N0.HOG0002858"
"10","N0.HOG0008749"
"11","N0.HOG0000904"
"12","N0.HOG0001564"
"13","N0.HOG0016700"
"14","N0.HOG0016731"
"15","N0.HOG0019713"
"16","N0.HOG0002024"
"17","N0.HOG0003414"
"18","N0.HOG0005386"
"19","N0.HOG0012821"
"20","N0.HOG0019573"
"21","N0.HOG0019510"
"22","N0.HOG0001797"
"23","N0.HOG0008783"
"24","N0.HOG0016539"
"25","N0.HOG0012965"
"26","N0.HOG0012493"
"27","N0.HOG0019578"
"28","N0.HOG0016774"
"29","N0.HOG0012729"
"30","N0.HOG0002926"
"31","N0.HOG0008509"
"32","N0.HOG0008561"
"33","N0.HOG0016550"
"34","N0.HOG0008797"
"35","N0.HOG0012460"
"36","N0.HOG0008751"
"37","N0.HOG0007316"
"38","N0.HOG0016640"
"39","N0.HOG0000900"
"40","N0.HOG0016566"
"41","N0.HOG0008589"
"42","N0.HOG0002892"
"43","N0.HOG0008450"
"44","N0.HOG0004371"
"45","N0.HOG0012844"
"46","N0.HOG0019687"
"47","N0.HOG0016573"
"48","N0.HOG0002028"
"49","N0.HOG0003441"
"50","N0.HOG0017123"
"51","N0.HOG0016742"
"52","N0.HOG0017118"
"53","N0.HOG0019830"
"54","N0.HOG0019647"
"55","N0.HOG0016880"
"56","N0.HOG0017093"
"57","N0.HOG0013883"
"58","N0.HOG0018066"
"59","N0.HOG0002135"
"60","N0.HOG0009662"
"61","N0.HOG0018017"
"62","N0.HOG0002410"
"63","N0.HOG0002428"
"64","N0.HOG0009718"
"65","N0.HOG0007577"
"66","N0.HOG0017926"
"67","N0.HOG0004904"
"68","N0.HOG0005734"
"69","N0.HOG0014293"
"70","N0.HOG0007022"
"71","N0.HOG0020285"
"72","N0.HOG0014749"
"73","N0.HOG0020363"
"74","N0.HOG0009782"
"75","N0.HOG0001852"
"76","N0.HOG0014455"
"77","N0.HOG0014326"
"78","N0.HOG0017594"
"79","N0.HOG0009909"
"80","N0.HOG0009880"
"81","N0.HOG0018032"
"82","N0.HOG0001843"
"83","N0.HOG0014488"
"84","N0.HOG0017965"
"85","N0.HOG0002535"
"86","N0.HOG0020281"
"87","N0.HOG0014530"
"88","N0.HOG0014330"
"89","N0.HOG0014626"
"90","N0.HOG0009666"
"91","N0.HOG0007051"
"92","N0.HOG0020333"
"93","N0.HOG0002908"
"94","N0.HOG0014734"
"95","N0.HOG0020342"
"96","N0.HOG0004915"
"97","N0.HOG0017859"
"98","N0.HOG0014594"
"99","N0.HOG0020287"
"100","N0.HOG0003419"
"101","N0.HOG0009747"
"102","N0.HOG0018264"
"103","N0.HOG0018021"
"104","N0.HOG0004224"
"105","N0.HOG0006998"
"106","N0.HOG0014858"
"107","N0.HOG0008980"
"108","N0.HOG0009968"
"109","N0.HOG0010338"
"110","N0.HOG0018279"
"111","N0.HOG0014870"
"112","N0.HOG0002207"
"113","N0.HOG0010787"
"114","N0.HOG0005093"
"115","N0.HOG0010550"
"116","N0.HOG0010532"
"117","N0.HOG0002635"
"118","N0.HOG0021317"
"119","N0.HOG0021326"
"120","N0.HOG0015556"
"121","N0.HOG0019046"
"122","N0.HOG0010731"
"123","N0.HOG0007558"
"124","N0.HOG0010736"
"125","N0.HOG0006045"
"126","N0.HOG0015762"
"127","N0.HOG0010520"
"128","N0.HOG0007619"
"129","N0.HOG0007765"
