"","x"
"1","Misin03G070000"
"2","Misin04G092000"
"3","Misin18G001300"
"4","Misin18G002100"
"5","Os05g0187000"
"6","SORBI_3010G007400"
"7","SORBI_3002G087000"
"8","SORBI_3003G035601"
"9","TraesCS1A02G122700"
"10","TraesCS1D02G123600"
"11","Zm00001eb268750"
"12","Zm00001eb304090"
"13","Misin03G290500"
"14","Misin04G316100"
"15","Misin07G544600"
"16","Os07g0549700"
"17","SORBI_3002G332750"
"18","SORBI_3004G347600"
"19","TraesCS2A02G212100"
"20","TraesCS2B02G237200"
"21","TraesCS2D02G218000"
"22","Zm00001eb106630"
"23","Zm00001eb323620"
"24","Misin03G290400"
"25","Misin03G331200"
"26","Misin03G331500"
"27","Misin04G347900"
"28","Misin04G348000"
"29","Misin04G348100"
"30","Os07g0614000"
"31","SORBI_3002G373100"
"32","SORBI_3002G373200"
"33","TraesCS2A02G170200"
"34","TraesCS2B02G196500"
"35","TraesCS2D02G177700"
"36","Zm00001eb092910"
"37","Zm00001eb109110"
"38","Zm00001eb113400"
"39","Misin05G138300"
"40","Misin06G127400"
"41","Misin16G126600"
"42","Misin17G100300"
"43","Misin17G100400"
"44","Os05g0358700"
"45","SORBI_3003G147000"
"46","SORBI_3009G109925"
"47","SORBI_3009G110000"
"48","TraesCS1A02G228300"
"49","TraesCS1B02G242500"
"50","TraesCS1D02G230100"
"51","Zm00001eb285800"
"52","Zm00001eb339870"
"53","Misin06G127600"
"54","Misin05G243200"
"55","Misin05G283600"
"56","Misin06G248400"
"57","Misin06G274900"
"58","Misin17G046300"
"59","Os05g0349500"
"60","SORBI_3003G267800"
"61","SORBI_3009G046700"
"62","TraesCS1A02G224800"
"63","TraesCS1B02G238000"
"64","TraesCS1D02G226200"
"65","Zm00001eb155830"
"66","Zm00001eb360880"
"67","Misin16G036400"
"68","Misin05G319300"
"69","Misin06G312700"
"70","Misin16G168700"
"71","Misin17G177900"
"72","Os01g0833400"
"73","SORBI_3003G345600"
"74","SORBI_3009G167600"
"75","TraesCS1B02G301200"
"76","TraesCS1D02G290300"
"77","Zm00001eb289950"
"78","Zm00001eb368310"
"79","Misin06G230000"
"80","Misin07G211100"
"81","Misin13G005800"
"82","Os08g0110800"
"83","SORBI_3003G276901"
"84","SORBI_3007G011600"
"85","TraesCS7A02G320500"
"86","TraesCS7B02G221500"
"87","TraesCS7D02G317400"
"88","Zm00001eb174080"
"89","Zm00001eb260490"
"90","Zm00001eb363030"
"91","Misin05G256600"
"92","Misin07G019900"
"93","Misin08G149800"
"94","MisinT275300"
"95","Os02g0121300"
"96","SORBI_3004G018400"
"97","SORBI_3004G162000"
"98","SORBI_3007G164300"
"99","TraesCS6A02G068900"
"100","TraesCS6B02G093100"
"101","TraesCS6D02G066700"
"102","Zm00001eb181260"
"103","Zm00001eb242390"
"104","Zm00001eb242400"
"105","Misin07G021100"
"106","Misin09G039700"
"107","Misin10G026800"
"108","Misin14G028300"
"109","Misin15G077700"
"110","Os11g0156800"
"111","SORBI_3005G043000"
"112","SORBI_3008G042800"
"113","TraesCS4A02G199000"
"114","TraesCS4B02G116400"
"115","TraesCS4D02G114100"
"116","Zm00001eb164080"
"117","Zm00001eb197530"
"118","Misin16G013900"
"119","Misin16G014000"
"120","Misin17G016800"
"121","Os05g0116100"
"122","SORBI_3009G017732"
"123","SORBI_3009G017800"
"124","TraesCS1B02G059100"
"125","Zm00001eb266260"
"126","Zm00001eb355540"
"127","Zm00001eb355550"
"128","Misin17G016900"
