"","x"
"1","N0.HOG0019298"
"2","N0.HOG0011635"
"3","N0.HOG0011614"
"4","N0.HOG0015655"
"5","N0.HOG0019296"
"6","N0.HOG0016132"
"7","N0.HOG0016667"
"8","N0.HOG0006585"
"9","N0.HOG0008842"
"10","N0.HOG0021651"
"11","N0.HOG0016699"
"12","N0.HOG0008833"
"13","N0.HOG0002805"
"14","N0.HOG0012300"
"15","N0.HOG0019631"
"16","N0.HOG0003468"
"17","N0.HOG0003398"
"18","N0.HOG0012517"
"19","N0.HOG0012357"
"20","N0.HOG0016749"
"21","N0.HOG0012447"
"22","N0.HOG0016549"
"23","N0.HOG0012971"
"24","N0.HOG0008554"
"25","N0.HOG0012335"
"26","N0.HOG0016662"
"27","N0.HOG0016701"
"28","N0.HOG0016813"
"29","N0.HOG0016515"
"30","N0.HOG0000052"
"31","N0.HOG0008573"
"32","N0.HOG0012176"
"33","N0.HOG0002890"
"34","N0.HOG0000971"
"35","N0.HOG0012197"
"36","N0.HOG0004685"
"37","N0.HOG0019731"
"38","N0.HOG0016612"
"39","N0.HOG0019564"
"40","N0.HOG0012812"
"41","N0.HOG0012698"
"42","N0.HOG0008828"
"43","N0.HOG0012398"
"44","N0.HOG0012641"
"45","N0.HOG0008824"
"46","N0.HOG0008814"
"47","N0.HOG0012912"
"48","N0.HOG0012256"
"49","N0.HOG0012820"
"50","N0.HOG0012420"
"51","N0.HOG0016719"
"52","N0.HOG0012313"
"53","N0.HOG0016654"
"54","N0.HOG0012201"
"55","N0.HOG0008798"
"56","N0.HOG0012885"
"57","N0.HOG0003448"
"58","N0.HOG0006632"
"59","N0.HOG0008667"
"60","N0.HOG0008874"
"61","N0.HOG0012387"
"62","N0.HOG0012485"
"63","N0.HOG0003986"
"64","N0.HOG0006580"
"65","N0.HOG0016674"
"66","N0.HOG0003994"
"67","N0.HOG0016655"
"68","N0.HOG0012503"
"69","N0.HOG0019598"
"70","N0.HOG0016831"
"71","N0.HOG0003389"
"72","N0.HOG0006598"
"73","N0.HOG0012616"
"74","N0.HOG0008765"
"75","N0.HOG0003948"
"76","N0.HOG0016710"
"77","N0.HOG0019610"
"78","N0.HOG0012569"
"79","N0.HOG0012566"
"80","N0.HOG0019508"
"81","N0.HOG0012564"
"82","N0.HOG0019590"
"83","N0.HOG0001787"
"84","N0.HOG0016197"
"85","N0.HOG0012708"
"86","N0.HOG0016555"
"87","N0.HOG0019697"
"88","N0.HOG0008030"
"89","N0.HOG0016745"
"90","N0.HOG0016698"
"91","N0.HOG0012866"
"92","N0.HOG0016681"
"93","N0.HOG0012928"
"94","N0.HOG0012565"
"95","N0.HOG0002038"
"96","N0.HOG0003968"
"97","N0.HOG0016736"
"98","N0.HOG0016585"
"99","N0.HOG0012346"
"100","N0.HOG0012774"
"101","N0.HOG0017119"
"102","N0.HOG0016828"
"103","N0.HOG0008688"
"104","N0.HOG0019875"
"105","N0.HOG0017144"
"106","N0.HOG0001502"
"107","N0.HOG0017114"
"108","N0.HOG0017073"
"109","N0.HOG0012588"
"110","N0.HOG0005513"
"111","N0.HOG0006679"
"112","N0.HOG0013171"
"113","N0.HOG0002905"
"114","N0.HOG0019897"
"115","N0.HOG0021874"
"116","N0.HOG0013125"
"117","N0.HOG0006716"
"118","N0.HOG0012209"
"119","N0.HOG0019837"
"120","N0.HOG0019826"
"121","N0.HOG0009821"
"122","N0.HOG0003399"
"123","N0.HOG0014282"
"124","N0.HOG0001801"
"125","N0.HOG0018019"
"126","N0.HOG0017854"
"127","N0.HOG0017949"
"128","N0.HOG0004931"
"129","N0.HOG0014677"
"130","N0.HOG0004186"
"131","N0.HOG0001206"
"132","N0.HOG0014557"
"133","N0.HOG0014287"
"134","N0.HOG0014265"
"135","N0.HOG0000908"
"136","N0.HOG0000682"
"137","N0.HOG0014466"
"138","N0.HOG0017874"
"139","N0.HOG0022164"
"140","N0.HOG0020293"
"141","N0.HOG0017891"
"142","N0.HOG0014579"
"143","N0.HOG0002116"
"144","N0.HOG0009808"
"145","N0.HOG0020330"
"146","N0.HOG0005709"
"147","N0.HOG0009891"
"148","N0.HOG0002131"
"149","N0.HOG0004172"
"150","N0.HOG0009790"
"151","N0.HOG0014375"
"152","N0.HOG0009873"
"153","N0.HOG0005736"
"154","N0.HOG0018034"
"155","N0.HOG0004908"
"156","N0.HOG0017894"
"157","N0.HOG0009842"
"158","N0.HOG0020318"
"159","N0.HOG0009876"
"160","N0.HOG0003607"
"161","N0.HOG0002094"
"162","N0.HOG0018039"
"163","N0.HOG0003453"
"164","N0.HOG0014285"
"165","N0.HOG0014349"
"166","N0.HOG0017900"
"167","N0.HOG0018028"
"168","N0.HOG0017841"
"169","N0.HOG0020279"
"170","N0.HOG0014398"
"171","N0.HOG0009716"
"172","N0.HOG0022175"
"173","N0.HOG0020325"
"174","N0.HOG0014410"
"175","N0.HOG0002442"
"176","N0.HOG0017294"
"177","N0.HOG0005789"
"178","N0.HOG0014903"
"179","N0.HOG0010359"
"180","N0.HOG0001245"
"181","N0.HOG0002418"
"182","N0.HOG0009982"
"183","N0.HOG0005460"
"184","N0.HOG0014805"
"185","N0.HOG0001176"
"186","N0.HOG0020512"
"187","N0.HOG0005982"
"188","N0.HOG0010536"
"189","N0.HOG0015683"
"190","N0.HOG0010421"
"191","N0.HOG0010439"
"192","N0.HOG0010934"
"193","N0.HOG0007383"
"194","N0.HOG0007462"
"195","N0.HOG0015489"
"196","N0.HOG0007644"
"197","N0.HOG0019048"
"198","N0.HOG0015588"
"199","N0.HOG0007491"
"200","N0.HOG0007747"
"201","N0.HOG0007510"
"202","N0.HOG0001024"
"203","N0.HOG0015833"
"204","N0.HOG0010922"
"205","N0.HOG0010669"
"206","N0.HOG0010774"
"207","N0.HOG0007579"
"208","N0.HOG0007511"
"209","N0.HOG0007518"
"210","N0.HOG0005167"
"211","N0.HOG0010869"
"212","N0.HOG0002222"
"213","N0.HOG0010992"
"214","N0.HOG0007680"
"215","N0.HOG0010749"
"216","N0.HOG0018931"
"217","N0.HOG0002654"
"218","N0.HOG0015504"
"219","N0.HOG0015661"
"220","N0.HOG0010399"
"221","N0.HOG0010853"
"222","N0.HOG0018977"
"223","N0.HOG0015564"
"224","N0.HOG0006020"
"225","N0.HOG0003692"
"226","N0.HOG0015580"
"227","N0.HOG0007314"
"228","N0.HOG0010724"
"229","N0.HOG0010750"
"230","N0.HOG0007532"
