"","x"
"1","N0.HOG0002869"
"2","N0.HOG0004696"
"3","N0.HOG0004683"
"4","N0.HOG0004646"
"5","N0.HOG0000900"
"6","N0.HOG0004808"
"7","N0.HOG0004931"
"8","N0.HOG0004512"
"9","N0.HOG0004488"
"10","N0.HOG0004908"
"11","N0.HOG0003607"
"12","N0.HOG0005093"
"13","N0.HOG0002654"
"14","N0.HOG0001507"
"15","N0.HOG0003137"
"16","N0.HOG0004397"
"17","N0.HOG0005130"
"18","N0.HOG0003694"
"19","N0.HOG0002664"
"20","N0.HOG0003710"
"21","N0.HOG0003887"
"22","N0.HOG0003362"
"23","N0.HOG0000887"
"24","N0.HOG0000520"
"25","N0.HOG0004560"
"26","N0.HOG0003831"
"27","N0.HOG0002820"
"28","N0.HOG0003895"
"29","N0.HOG0004459"
"30","N0.HOG0004110"
"31","N0.HOG0000916"
"32","N0.HOG0004099"
"33","N0.HOG0005521"
"34","N0.HOG0005249"
"35","N0.HOG0004139"
"36","N0.HOG0002509"
