"","GO.ID","Term","Annotated","Significant","Expected","weight01","Ontology"
"1","GO:0009820","alkaloid metabolic process",28,2,0.07,0.0022,"BP"
"2","GO:0070588","calcium ion transmembrane transport",35,2,0.09,0.0034,"BP"
"3","GO:0016042","lipid catabolic process",194,2,0.48,0.0838,"BP"
"4","GO:0009058","biosynthetic process",4686,9,11.68,0.0967,"BP"
"5","GO:0009699","phenylpropanoid biosynthetic process",81,2,0.2,0.1077,"BP"
"6","GO:0034220","monoatomic ion transmembrane transport",303,4,0.76,0.1086,"BP"
"7","GO:0009651","response to salt stress",259,2,0.65,0.1356,"BP"
"8","GO:0035556","intracellular signal transduction",350,3,0.87,0.1871,"BP"
"9","GO:0006952","defense response",963,3,2.4,0.4348,"BP"
"10","GO:0005975","carbohydrate metabolic process",845,3,2.11,0.5419,"BP"
"11","GO:0048316","seed development",325,2,0.81,0.544,"BP"
"12","GO:0010468","regulation of gene expression",1769,2,4.41,0.6294,"BP"
"13","GO:0016310","phosphorylation",1035,2,2.58,0.9229,"BP"
"14","GO:0051649","establishment of localization in cell",514,2,1.28,1,"BP"
"15","GO:1901700","response to oxygen-containing compound",979,3,2.44,1,"BP"
"16","GO:1901701","cellular response to oxygen-containing c...",493,3,1.23,1,"BP"
"17","GO:0050896","response to stimulus",3767,13,9.39,1,"BP"
"18","GO:0003006","developmental process involved in reprod...",835,3,2.08,1,"BP"
"19","GO:0048608","reproductive structure development",712,3,1.77,1,"BP"
"20","GO:0055085","transmembrane transport",930,5,2.32,1,"BP"
"21","GO:0050794","regulation of cellular process",3000,9,7.48,1,"BP"
"22","GO:0006508","proteolysis",690,2,1.72,1,"BP"
"23","GO:0044550","secondary metabolite biosynthetic proces...",116,2,0.29,1,"BP"
"24","GO:0018130","heterocycle biosynthetic process",1942,2,4.84,1,"BP"
"25","GO:0048731","system development",1251,4,3.12,1,"BP"
"26","GO:0009698","phenylpropanoid metabolic process",121,2,0.3,1,"BP"
"27","GO:0043412","macromolecule modification",1398,4,3.48,1,"BP"
"28","GO:0023052","signaling",1170,4,2.92,1,"BP"
"29","GO:0000003","reproduction",990,3,2.47,1,"BP"
"30","GO:0051716","cellular response to stimulus",2001,7,4.99,1,"BP"
"31","GO:0009987","cellular process",9856,23,24.57,1,"BP"
"32","GO:0008150","biological_process",12035,30,30,1,"BP"
"33","GO:0008152","metabolic process",8620,21,21.49,1,"BP"
"34","GO:0006807","nitrogen compound metabolic process",5762,12,14.36,1,"BP"
"35","GO:0051171","regulation of nitrogen compound metaboli...",1707,2,4.26,1,"BP"
"36","GO:0009056","catabolic process",1157,5,2.88,1,"BP"
"37","GO:0009057","macromolecule catabolic process",547,2,1.36,1,"BP"
"38","GO:0006950","response to stress",2273,8,5.67,1,"BP"
"39","GO:0071840","cellular component organization or bioge...",2277,2,5.68,1,"BP"
"40","GO:0051179","localization",2042,8,5.09,1,"BP"
"41","GO:0009059","macromolecule biosynthetic process",3473,4,8.66,1,"BP"
"42","GO:0016043","cellular component organization",2000,2,4.99,1,"BP"
"43","GO:0061458","reproductive system development",713,3,1.78,1,"BP"
"44","GO:0034641","cellular nitrogen compound metabolic pro...",3830,5,9.55,1,"BP"
"45","GO:1901564","organonitrogen compound metabolic proces...",2998,9,7.47,1,"BP"
"46","GO:1901566","organonitrogen compound biosynthetic pro...",1154,2,2.88,1,"BP"
"47","GO:0042221","response to chemical",1782,5,4.44,1,"BP"
"48","GO:0006139","nucleobase-containing compound metabolic...",3300,3,8.23,1,"BP"
"49","GO:0032501","multicellular organismal process",1715,6,4.28,1,"BP"
"50","GO:0001101","response to acid chemical",242,2,0.6,1,"BP"
"51","GO:0071229","cellular response to acid chemical",30,2,0.07,1,"BP"
"52","GO:0032502","developmental process",1926,5,4.8,1,"BP"
"53","GO:0006970","response to osmotic stress",308,2,0.77,1,"BP"
"54","GO:0051234","establishment of localization",1961,8,4.89,1,"BP"
"55","GO:0006974","DNA damage response",348,2,0.87,1,"BP"
"56","GO:0009791","post-embryonic development",879,3,2.19,1,"BP"
"57","GO:0019538","protein metabolic process",2198,6,5.48,1,"BP"
"58","GO:0050789","regulation of biological process",3350,9,8.35,1,"BP"
"59","GO:0022414","reproductive process",978,3,2.44,1,"BP"
"60","GO:0070887","cellular response to chemical stimulus",1079,3,2.69,1,"BP"
"61","GO:0044281","small molecule metabolic process",1292,3,3.22,1,"BP"
"62","GO:0033554","cellular response to stress",753,3,1.88,1,"BP"
"63","GO:1901575","organic substance catabolic process",1090,5,2.72,1,"BP"
"64","GO:1901576","organic substance biosynthetic process",4596,8,11.46,1,"BP"
"65","GO:0019222","regulation of metabolic process",2058,4,5.13,1,"BP"
"66","GO:0060255","regulation of macromolecule metabolic pr...",1909,3,4.76,1,"BP"
"67","GO:0010556","regulation of macromolecule biosynthetic...",1784,2,4.45,1,"BP"
"68","GO:0070647","protein modification by small protein co...",561,2,1.4,1,"BP"
"69","GO:0043687","post-translational protein modification",613,2,1.53,1,"BP"
"70","GO:0044271","cellular nitrogen compound biosynthetic ...",2402,3,5.99,1,"BP"
"71","GO:0007165","signal transduction",1148,4,2.86,1,"BP"
"72","GO:0019748","secondary metabolic process",206,2,0.51,1,"BP"
"73","GO:0015276","ligand-gated monoatomic ion channel acti...",12,2,0.03,0.00042,"MF"
"74","GO:0038023","signaling receptor activity",113,2,0.29,0.11352,"MF"
"75","GO:0008270","zinc ion binding",578,3,1.49,0.18413,"MF"
"76","GO:0042802","identical protein binding",252,2,0.65,0.18771,"MF"
"77","GO:0016887","ATP hydrolysis activity",448,2,1.15,0.32071,"MF"
"78","GO:0005524","ATP binding",1923,4,4.94,0.75028,"MF"
"79","GO:0046872","metal ion binding",2896,7,7.44,0.76289,"MF"
"80","GO:0016491","oxidoreductase activity",1107,4,2.84,0.88569,"MF"
"81","GO:0003677","DNA binding",1658,2,4.26,0.93935,"MF"
"82","GO:0016740","transferase activity",2963,4,7.61,0.98827,"MF"
"83","GO:0005515","protein binding",3321,5,8.53,0.99398,"MF"
"84","GO:0046873","metal ion transmembrane transporter acti...",163,2,0.42,1,"MF"
"85","GO:0140096","catalytic activity, acting on a protein",2071,5,5.32,1,"MF"
"86","GO:1901702","salt transmembrane transporter activity",190,2,0.49,1,"MF"
"87","GO:0022890","inorganic cation transmembrane transport...",232,3,0.6,1,"MF"
"88","GO:0022834","ligand-gated channel activity",12,2,0.03,1,"MF"
"89","GO:0016817","hydrolase activity, acting on acid anhyd...",643,2,1.65,1,"MF"
"90","GO:0042626","ATPase-coupled transmembrane transporter...",135,2,0.35,1,"MF"
"91","GO:0016818","hydrolase activity, acting on acid anhyd...",639,2,1.64,1,"MF"
"92","GO:0022836","gated channel activity",62,2,0.16,1,"MF"
"93","GO:0022839","monoatomic ion gated channel activity",62,2,0.16,1,"MF"
"94","GO:0016298","lipase activity",84,2,0.22,1,"MF"
"95","GO:0032553","ribonucleotide binding",2189,4,5.62,1,"MF"
"96","GO:0004175","endopeptidase activity",257,2,0.66,1,"MF"
"97","GO:0032555","purine ribonucleotide binding",2168,4,5.57,1,"MF"
"98","GO:0035639","purine ribonucleoside triphosphate bindi...",2113,4,5.43,1,"MF"
"99","GO:0004620","phospholipase activity",53,2,0.14,1,"MF"
"100","GO:0032559","adenyl ribonucleotide binding",1978,4,5.08,1,"MF"
"101","GO:0046914","transition metal ion binding",901,3,2.32,1,"MF"
"102","GO:0043167","ion binding",4948,11,12.71,1,"MF"
"103","GO:0043168","anion binding",2528,5,6.5,1,"MF"
"104","GO:0016787","hydrolase activity",2402,11,6.17,1,"MF"
"105","GO:0016462","pyrophosphatase activity",633,2,1.63,1,"MF"
"106","GO:0043169","cation binding",2919,7,7.5,1,"MF"
"107","GO:0016788","hydrolase activity, acting on ester bond...",720,4,1.85,1,"MF"
"108","GO:0060089","molecular transducer activity",119,2,0.31,1,"MF"
"109","GO:0004553","hydrolase activity, hydrolyzing O-glycos...",293,2,0.75,1,"MF"
"110","GO:0008324","monoatomic cation transmembrane transpor...",251,3,0.64,1,"MF"
"111","GO:0008081","phosphoric diester hydrolase activity",48,2,0.12,1,"MF"
"112","GO:0140657","ATP-dependent activity",654,3,1.68,1,"MF"
"113","GO:0008233","peptidase activity",459,2,1.18,1,"MF"
"114","GO:0022803","passive transmembrane transporter activi...",124,2,0.32,1,"MF"
"115","GO:0022804","active transmembrane transporter activit...",386,2,0.99,1,"MF"
"116","GO:0005488","binding",8808,18,22.63,1,"MF"
"117","GO:0042578","phosphoric ester hydrolase activity",311,3,0.8,1,"MF"
"118","GO:1901265","nucleoside phosphate binding",2452,4,6.3,1,"MF"
"119","GO:0022853","active monoatomic ion transmembrane tran...",101,2,0.26,1,"MF"
"120","GO:0015926","glucosidase activity",76,2,0.2,1,"MF"
"121","GO:0022857","transmembrane transporter activity",866,5,2.23,1,"MF"
"122","GO:0097367","carbohydrate derivative binding",2220,4,5.7,1,"MF"
"123","GO:0003824","catalytic activity",6799,21,17.47,1,"MF"
"124","GO:0017076","purine nucleotide binding",2284,4,5.87,1,"MF"
"125","GO:0000166","nucleotide binding",2452,4,6.3,1,"MF"
"126","GO:0015085","calcium ion transmembrane transporter ac...",33,2,0.08,1,"MF"
"127","GO:0003674","molecular_function",12453,32,32,1,"MF"
"128","GO:0003676","nucleic acid binding",3033,4,7.79,1,"MF"
"129","GO:0036094","small molecule binding",2619,4,6.73,1,"MF"
"130","GO:1901363","heterocyclic compound binding",5477,8,14.07,1,"MF"
"131","GO:0015318","inorganic molecular entity transmembrane...",314,3,0.81,1,"MF"
"132","GO:0016798","hydrolase activity, acting on glycosyl b...",330,3,0.85,1,"MF"
"133","GO:0015075","monoatomic ion transmembrane transporter...",287,4,0.74,1,"MF"
"134","GO:0017111","ribonucleoside triphosphate phosphatase ...",585,2,1.5,1,"MF"
"135","GO:0016667","oxidoreductase activity, acting on a sul...",58,2,0.15,1,"MF"
"136","GO:0030554","adenyl nucleotide binding",2094,4,5.38,1,"MF"
"137","GO:0019829","ATPase-coupled monoatomic cation transme...",54,2,0.14,1,"MF"
"138","GO:0097159","organic cyclic compound binding",5487,8,14.1,1,"MF"
"139","GO:0005215","transporter activity",896,6,2.3,1,"MF"
"140","GO:0005216","monoatomic ion channel activity",87,2,0.22,1,"MF"
"141","GO:0008422","beta-glucosidase activity",68,2,0.17,1,"MF"
"142","GO:0015399","primary active transmembrane transporter...",161,2,0.41,1,"MF"
"143","GO:0015267","channel activity",124,2,0.32,1,"MF"
"144","GO:0016765","transferase activity, transferring alkyl...",105,2,0.27,1,"MF"
"145","GO:0016829","lyase activity",284,2,0.73,1,"MF"
"146","GO:0005886","plasma membrane",1656,8,4.23,0.0524,"CC"
"147","GO:0005829","cytosol",1191,6,3.04,0.0779,"CC"
"148","GO:0043231","intracellular membrane-bounded organelle",7864,16,20.1,0.148,"CC"
"149","GO:0005773","vacuole",438,2,1.12,0.2471,"CC"
"150","GO:0005654","nucleoplasm",341,2,0.87,0.4377,"CC"
"151","GO:0016020","membrane",5592,14,14.29,0.5653,"CC"
"152","GO:0005634","nucleus",3988,10,10.19,0.6653,"CC"
"153","GO:0005737","cytoplasm",6561,14,16.77,0.7295,"CC"
"154","GO:0005576","extracellular region",759,2,1.94,0.7898,"CC"
"155","GO:0009507","chloroplast",1510,2,3.86,0.955,"CC"
"156","GO:0110165","cellular anatomical entity",12396,32,31.69,1,"CC"
"157","GO:0032991","protein-containing complex",2042,4,5.22,1,"CC"
"158","GO:0031981","nuclear lumen",635,3,1.62,1,"CC"
"159","GO:1902494","catalytic complex",746,3,1.91,1,"CC"
"160","GO:0071944","cell periphery",1806,8,4.62,1,"CC"
"161","GO:0070013","intracellular organelle lumen",814,3,2.08,1,"CC"
"162","GO:0043233","organelle lumen",814,3,2.08,1,"CC"
"163","GO:0009536","plastid",1660,2,4.24,1,"CC"
"164","GO:0005575","cellular_component",12519,32,32,1,"CC"
"165","GO:0031974","membrane-enclosed lumen",814,3,2.08,1,"CC"
"166","GO:0012505","endomembrane system",1665,3,4.26,1,"CC"
"167","GO:0043226","organelle",8311,16,21.24,1,"CC"
"168","GO:0043227","membrane-bounded organelle",7900,16,20.19,1,"CC"
"169","GO:0043229","intracellular organelle",8285,16,21.18,1,"CC"
"170","GO:0005622","intracellular anatomical structure",9342,22,23.88,1,"CC"
