"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0015914","phospholipid transport","BP",1,"N0.HOG0002869","GO:0015914",14,"GO:0015914",3,"GO:0015914",1,"GO:0015914",5,"GO:0015914",3,"GO:0015914",2,"The directed movement of phospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Phospholipids are any lipids containing phosphoric acid as a mono- or diester."
"2","GO:0120009","intermembrane lipid transfer","BP",1,"N0.HOG0002869","GO:0120009",14,"GO:0120009",3,"GO:0120009",1,"GO:0120009",5,"GO:0120009",3,"GO:0120009",2,"The transport of lipids between membranes in which a lipid molecule is transported through an aqueous phase from the outer leaflet of a donor membrane to the outer leaflet of an acceptor membrane. This process does not require metabolic energy and can be either spontaneous or mediated by lipid transfer proteins (LTPs)."
"3","GO:0009231","riboflavin biosynthetic process","BP",1,"N0.HOG0004696","GO:0009231",12,"GO:0009231",3,"GO:0009231",1,"GO:0009231",4,"GO:0009231",2,"GO:0009231",2,"The chemical reactions and pathways resulting in the formation of riboflavin (vitamin B2), the precursor for the coenzymes flavin mononucleotide (FMN) and flavin adenine dinucleotide (FAD)."
"4","GO:0006355","regulation of DNA-templated transcription","BP",1,"N0.HOG0004683","GO:0006355",12,"GO:0006355",3,"GO:0006355",1,"GO:0006355",4,"GO:0006355",2,"GO:0006355",2,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"5","GO:0016567","protein ubiquitination","BP",1,"N0.HOG0004646","GO:0016567",12,"GO:0016567",3,"GO:0016567",1,"GO:0016567",4,"GO:0016567",2,"GO:0016567",2,"The process in which one or more ubiquitin groups are added to a protein."
"6","GO:1902456","regulation of stomatal opening","BP",1,"N0.HOG0004646","GO:1902456",12,"GO:1902456",3,"GO:1902456",1,"GO:1902456",4,"GO:1902456",2,"GO:1902456",2,NA
"7","GO:0006811","monoatomic ion transport","BP",5,"N0.HOG0004908 N0.HOG0000900 N0.HOG0003887 N0.HOG0000520 N0.HOG0002509","GO:0006811",67,"GO:0006811",14,"GO:0006811",5,"GO:0006811",22,"GO:0006811",12,"GO:0006811",14,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
"8","GO:0006816","calcium ion transport","BP",2,"N0.HOG0000900 N0.HOG0002509","GO:0006816",21,"GO:0006816",6,"GO:0006816",2,"GO:0006816",6,"GO:0006816",3,"GO:0006816",4,"The directed movement of calcium (Ca) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"9","GO:0070588","calcium ion transmembrane transport","BP",2,"N0.HOG0000900 N0.HOG0002509","GO:0070588",21,"GO:0070588",6,"GO:0070588",2,"GO:0070588",6,"GO:0070588",3,"GO:0070588",4,"A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."
"10","GO:0006508","proteolysis","BP",2,"N0.HOG0002820 N0.HOG0004931","GO:0006508",27,"GO:0006508",5,"GO:0006508",2,"GO:0006508",8,"GO:0006508",8,"GO:0006508",4,"The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."
"11","GO:0051603","proteolysis involved in protein catabolic process","BP",1,"N0.HOG0004931","GO:0051603",12,"GO:0051603",2,"GO:0051603",1,"GO:0051603",4,"GO:0051603",3,"GO:0051603",2,"The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."
"12","GO:0016310","phosphorylation","BP",1,"N0.HOG0004512","GO:0016310",12,"GO:0016310",3,"GO:0016310",1,"GO:0016310",4,"GO:0016310",2,"GO:0016310",2,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
