"","x"
"1","N0.HOG0003291"
"2","N0.HOG0008105"
"3","N0.HOG0011633"
"4","N0.HOG0019298"
"5","N0.HOG0006526"
"6","N0.HOG0011575"
"7","N0.HOG0019332"
"8","N0.HOG0011639"
"9","N0.HOG0008085"
"10","N0.HOG0011635"
"11","N0.HOG0011614"
"12","N0.HOG0006320"
"13","N0.HOG0015655"
"14","N0.HOG0001365"
"15","N0.HOG0011625"
"16","N0.HOG0004530"
"17","N0.HOG0011596"
"18","N0.HOG0006518"
"19","N0.HOG0019296"
"20","N0.HOG0006318"
"21","N0.HOG0011640"
"22","N0.HOG0016132"
"23","N0.HOG0004540"
"24","N0.HOG0019316"
"25","N0.HOG0002201"
"26","N0.HOG0015468"
"27","N0.HOG0006575"
"28","N0.HOG0019565"
"29","N0.HOG0019553"
"30","N0.HOG0003358"
"31","N0.HOG0016924"
"32","N0.HOG0008762"
"33","N0.HOG0016667"
"34","N0.HOG0012717"
"35","N0.HOG0006585"
"36","N0.HOG0012484"
"37","N0.HOG0001649"
"38","N0.HOG0016517"
"39","N0.HOG0012631"
"40","N0.HOG0016564"
"41","N0.HOG0016563"
"42","N0.HOG0008842"
"43","N0.HOG0021651"
"44","N0.HOG0002439"
"45","N0.HOG0012286"
"46","N0.HOG0008599"
"47","N0.HOG0000730"
"48","N0.HOG0012648"
"49","N0.HOG0008741"
"50","N0.HOG0006578"
"51","N0.HOG0004658"
"52","N0.HOG0016699"
"53","N0.HOG0012405"
"54","N0.HOG0008833"
"55","N0.HOG0003471"
"56","N0.HOG0002805"
"57","N0.HOG0012258"
"58","N0.HOG0008869"
"59","N0.HOG0012300"
"60","N0.HOG0004704"
"61","N0.HOG0004665"
"62","N0.HOG0011480"
"63","N0.HOG0004666"
"64","N0.HOG0012806"
"65","N0.HOG0001780"
"66","N0.HOG0005436"
"67","N0.HOG0006291"
"68","N0.HOG0000957"
"69","N0.HOG0006471"
"70","N0.HOG0016874"
"71","N0.HOG0003966"
"72","N0.HOG0005406"
"73","N0.HOG0008544"
"74","N0.HOG0019631"
"75","N0.HOG0012946"
"76","N0.HOG0008722"
"77","N0.HOG0003468"
"78","N0.HOG0006627"
"79","N0.HOG0002858"
"80","N0.HOG0003398"
