TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0005975"	"carbohydrate metabolic process"	2	6.335775531602232	5.3400641443698875	0.9353800814722798	0.15163831	null
"GO:0006076"	"(1->3)-beta-D-glucan catabolic process"	1	0.3010299956639812	2.4647401665986893E-06	0.9449009301204617	0.22339313	null
"GO:0006355"	"regulation of DNA-templated transcription"	1	6.6515463599654785	11.048858347143273	0.9208134133543636	0.38658972	null
"GO:0010468"	"regulation of gene expression"	1	6.751988949243249	13.923871767653479	0.9202612438911657	0.8102935	6355
"GO:0006413"	"translational initiation"	1	5.284241182165405	0.4742529791560868	0.8654486740322442	0.36848795	null
"GO:0006457"	"protein folding"	1	5.6780373842969345	1.174377211919444	0.8677155725862653	0.27735821	null
"GO:0006508"	"proteolysis"	2	6.329401134014754	5.2622572267907	0.8680221978172313	0.44475214	null
"GO:0006629"	"lipid metabolic process"	2	6.41964998343091	6.477701939366011	0.9338811362930068	0.12277613	null
"GO:0006654"	"phosphatidic acid biosynthetic process"	1	4.665956029453957	0.11421359458001666	0.9085864140814529	0.46381088	null
"GO:0006811"	"monoatomic ion transport"	5	6.2873089515699725	4.7761710300947735	0.8693142036127602	0	null
"GO:0006952"	"defense response"	3	5.672842911348061	1.1604144588756624	0.8381661356544009	-0	null
"GO:0006281"	"DNA repair"	1	6.069958023006509	2.895534847137308	0.6999035768501753	0.62162332	6952
"GO:0006284"	"base-excision repair"	1	5.139305943189567	0.33968309554013154	0.7517133377481218	0.71811419	6952
"GO:0006974"	"DNA damage response"	1	6.120984014215256	3.256528086157852	0.7998745473373494	0.83960689	6952
"GO:0006979"	"response to oxidative stress"	1	5.521610056993851	0.8191810417707402	0.8433153849958981	0.53687298	6952
"GO:0008150"	"biological_process"	2	7.608228868089044	100	1	-0	null
"GO:0008152"	"metabolic process"	2	7.368635761264388	57.597931274565454	1	-0	null
"GO:0009058"	"biosynthetic process"	1	7.070693987028932	29.004480601854056	0.9507663781277531	0.11172681	null
"GO:0009651"	"response to salt stress"	2	4.474143389760806	0.07343446852364134	0.8545317476844199	0.4259419	null
"GO:0009416"	"response to light stimulus"	1	5.021520064114033	0.2589924319660237	0.8666053872322947	0.6797958	9651
"GO:0009699"	"phenylpropanoid biosynthetic process"	1	4.451709698271347	0.0697373582737433	0.9011708594395732	0.15925058	null
"GO:0009809"	"lignin biosynthetic process"	1	3.994053063587675	0.024309732263162874	0.9067676013092387	0.87158461	9699
"GO:0009820"	"alkaloid metabolic process"	2	3.812846536967071	0.01601588160255828	0.9436353225576943	0.05107695	null
"GO:0010039"	"response to iron ion"	1	4.380916397460697	0.05924742412469929	0.8678249553799107	0.46879008	null
"GO:0010233"	"phloem transport"	1	2.041392685158225	0.0002686566781592571	0.9004928829494658	0.29362419	null
"GO:0010731"	"protein glutathionylation"	1	1.0413926851582251	2.4647401665986892E-05	0.9307160410633457	0.23039539	null
"GO:0016042"	"lipid catabolic process"	2	5.757237315273285	1.4093137798594644	0.8973857222610786	-0	null
"GO:0008610"	"lipid biosynthetic process"	1	6.176261469133591	3.698557052375827	0.8967960135004955	0.67718549	16042
"GO:0051603"	"proteolysis involved in protein catabolic process"	1	5.869168331586262	1.8236390666048707	0.8602322746297998	0.5284636	16042
"GO:0016137"	"glycoside metabolic process"	1	4.690683280049108	0.12090536413233209	0.9517454394802891	0.06048027	null
"GO:0016310"	"phosphorylation"	1	6.327177412456315	5.235381700014107	0.9338745778886478	0.07741388	null
"GO:0016926"	"protein desumoylation"	1	4.060093183824469	0.02830261133305275	0.8950802362388776	0.33184604	null
"GO:0016567"	"protein ubiquitination"	1	5.711302648460635	1.2678648064385323	0.8629929560887988	0.65814576	16926
"GO:0019722"	"calcium-mediated signaling"	1	4.8044120591377135	0.15710007347883384	0.8452169740379526	0.46097507	null
"GO:0019852"	"L-ascorbic acid metabolic process"	1	4.432760907742915	0.0667599521524921	0.893709612099068	0.15970956	null
"GO:0009231"	"riboflavin biosynthetic process"	1	4.9420229428635825	0.21566969405771846	0.8646687598420889	0.64889538	19852
"GO:0033355"	"ascorbate glutathione cycle"	1	2.886490725172482	0.001895385188114392	0.8807737023929454	0.77562027	19852
"GO:0030091"	"protein repair"	1	4.392679370131183	0.06087415263465443	0.91015480010716	0.11683693	null
"GO:0030261"	"chromosome condensation"	1	4.685768601347666	0.1195448275603696	0.9798385633655547	-0	null
"GO:0033491"	"coniferin metabolic process"	1	0.9030899869919435	1.7253181166190823E-05	0.9442566754145938	0.44674727	null
"GO:0033500"	"carbohydrate homeostasis"	1	4.554440700454348	0.08834861127173001	0.9829765143020287	-0	null
"GO:0034220"	"monoatomic ion transmembrane transport"	2	6.2274426749952365	4.161151810543902	0.8166078163982737	0.44154323	null
"GO:0006816"	"calcium ion transport"	2	5.262330039973658	0.4509192839988969	0.8470295195987296	0.67503953	34220
"GO:0006826"	"iron ion transport"	1	5.322374372215268	0.517777825758053	0.8404478903172661	0.68609392	34220
"GO:0033214"	"siderophore-dependent iron import into cell"	1	4.950506025823434	0.21992383558526785	0.8141632878512428	0.8097028	34220
"GO:0070588"	"calcium ion transmembrane transport"	2	5.234038688567414	0.4224811119566813	0.8398602276155289	0.66995351	34220
"GO:1902600"	"proton transmembrane transport"	1	5.726446008072246	1.312853708699458	0.8300473160372747	0.7710674	34220
"GO:0035556"	"intracellular signal transduction"	2	6.225069319444936	4.1384737362710275	0.7888309661612708	0.37522238	null
"GO:0007165"	"signal transduction"	1	6.55056587053573	8.756627809544993	0.7705001710218237	0.77546086	35556
"GO:0035672"	"oligopeptide transmembrane transport"	1	4.975588034506109	0.23299928216907387	0.8627103740851154	0.43869347	null
"GO:0042221"	"response to chemical"	1	6.2945109760284925	4.8560360057130705	0.8500399690180803	0.46171648	null
"GO:0042325"	"regulation of phosphorylation"	1	4.911003047006807	0.2008023813727952	0.94918833865427	0.11892868	null
"GO:0045739"	"positive regulation of DNA repair"	1	4.127849590187638	0.0330817425160876	0.9461004114183711	0.41456906	null
"GO:0046907"	"intracellular transport"	1	6.080743701755747	2.9683457363987995	0.8501483265362694	0.4188028	null
"GO:0015031"	"protein transport"	1	6.098670716985937	3.093438694074183	0.8101672808549963	0.76212397	46907
"GO:0048229"	"gametophyte development"	1	3.8451600776519457	0.017253181166190824	0.9484621531515232	0.43353892	null
"GO:0048316"	"seed development"	1	4.124145425061654	0.03280076213709535	0.9264830084500535	0.46716202	null
"GO:0010228"	"vegetative to reproductive phase transition of meristem"	1	3.6743098889414774	0.011640967806845608	0.9322735973030518	0.7688609	48316
"GO:0140547"	"acquisition of seed longevity"	1	1.8920946026904804	0.00018978499282809906	0.9385996808128212	0.73942121	48316
"GO:0048364"	"root development"	1	4.183526073021722	0.0376070054619628	0.9455995749748067	-0	null
"GO:0051028"	"mRNA transport"	1	5.01337238415717	0.25417879442065644	0.8648015434858708	0.30464429	null
"GO:0006869"	"lipid transport"	1	5.5839601059765185	0.9456493244590856	0.8276471876179442	0.51777709	51028
"GO:0015914"	"phospholipid transport"	1	4.982194319914847	0.23657069067047537	0.8415790259258019	0.8523522	51028
"GO:0120009"	"intermembrane lipid transfer"	1	4.650948290373242	0.11033409355779031	0.8419207468185198	0.79567463	51028
"GO:0120010"	"intermembrane phospholipid transfer"	1	3.4865721505183562	0.007554428610624982	0.8642169902991902	0.64491653	51028
"GO:0080111"	"DNA demethylation"	1	4.2070146586829	0.039697105123238485	0.8845783069732632	0.07105297	null
"GO:0080151"	"positive regulation of salicylic acid mediated signaling pathway"	1	1.5185139398778875	7.887168533115806E-05	0.9670039793939942	0.08184898	null
"GO:0098869"	"cellular oxidant detoxification"	1	5.50300988523983	0.7848373522893541	0.8262373553023209	0.42151038	null
"GO:0009636"	"response to toxic substance"	1	5.624402773733656	1.0379415199973736	0.8410962418855017	0.61135191	98869
"GO:0009733"	"response to auxin"	1	4.707246463517242	0.1256056236300358	0.860521527660678	0.6225394	98869
"GO:0042631"	"cellular response to water deprivation"	1	2.5171958979499744	0.00080843477464437	0.834316465113827	0.79821956	98869
"GO:0071230"	"cellular response to amino acid stimulus"	1	4.199398602359617	0.039006977876590854	0.8450029406414147	0.55334538	98869
"GO:1902456"	"regulation of stomatal opening"	1	2.788168371141168	0.0015108857221249963	0.9714778756693939	-0	null
