TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000502"	"proteasome complex"	1	5.180510087331527	0.37652382533874423	0.8480183102844111	0.34749127	null
"GO:0005839"	"proteasome core complex"	1	4.708939024669742	0.1271205539673217	0.854508897508508	0.89306917	502
"GO:0019774"	"proteasome core complex, beta-subunit complex"	1	4.18052728291341	0.03765163710451183	0.8171300036217524	0.81237627	502
"GO:0000793"	"condensed chromosome"	1	5.230390159914416	0.4223503377863461	0.8081396817689885	0.44699462	null
"GO:0005575"	"cellular_component"	2	7.604714769821186	100	1	-0	null
"GO:0005576"	"extracellular region"	2	6.192286102188137	3.8687535442060237	0.9999102062499213	4.598E-05	null
"GO:0005628"	"prospore membrane"	1	3.445136968713304	0.0069225540139358525	0.9907586081680615	2.598E-05	null
"GO:0005634"	"nucleus"	10	6.822624306696733	16.5161752456724	0.6984134357909436	0.35145602	null
"GO:0043231"	"intracellular membrane-bounded organelle"	2	7.079705376423831	29.853178741885195	0.6789059803544244	0.54368596	5634
"GO:0005694"	"chromosome"	1	6.006904394196394	2.5245804089932373	0.7711269266077386	0.15404313	null
"GO:0005737"	"cytoplasm"	10	7.238956814544198	43.076660800468886	0.8713615860984057	0.08291202	null
"GO:0005739"	"mitochondrion"	1	6.2910814460391355	4.856981674016684	0.7401638138584955	0.25147478	null
"GO:0005773"	"vacuole"	2	5.735805619372332	1.35235298008496	0.776927919424568	0.18302188	null
"GO:0005774"	"vacuolar membrane"	1	5.4507801012932395	0.7015583598387308	0.7293294274784751	0.18309297	null
"GO:0000221"	"vacuolar proton-transporting V-type ATPase, V1 domain"	1	3.8258802989361795	0.016637983373048983	0.7275278081669672	0.62150237	5774
"GO:0000325"	"plant-type vacuole"	1	4.213916009644023	0.04066068696484073	0.78737026971116	0.6650009	5774
"GO:0005777"	"peroxisome"	1	5.478403424196616	0.7476308639759881	0.7906266379318838	0.18435889	null
"GO:0005794"	"Golgi apparatus"	1	5.975775890758108	2.349961096041566	0.7213112123835315	0.22703414	null
"GO:0005643"	"nuclear pore"	1	4.9482515425629385	0.22056260933274582	0.7188707123912966	0.50473302	5794
"GO:0005783"	"endoplasmic reticulum"	1	6.095309558822563	3.094528245337302	0.7130715495510267	0.68921254	5794
"GO:0005829"	"cytosol"	6	6.752331838179486	14.048080989011824	0.8466445742055034	0.17160779	null
"GO:0005886"	"plasma membrane"	8	6.8396702634157895	17.177321395000487	0.985458991941732	0.06338235	null
"GO:0009349"	"riboflavin synthase complex"	1	4.0385804259615785	0.02715350691467731	0.9150687312533304	-0	null
"GO:0009507"	"chloroplast"	2	5.449217589922604	0.6990388085931706	0.7560655280977256	0	null
"GO:0009570"	"chloroplast stroma"	1	4.626873923957273	0.10523226311708445	0.7890770098532052	0.81880967	9507
"GO:0009536"	"plastid"	1	5.486950187589592	0.7624897559369845	0.7901992768240182	0.18475413	null
"GO:0009986"	"cell surface"	1	5.422860574002152	0.6578761991908514	0.999928779234615	3.782E-05	null
"GO:0016020"	"membrane"	13	7.297158185522496	49.2542153160787	0.9998529851438804	9.537E-05	null
"GO:0016607"	"nuclear speck"	1	4.809492376937341	0.16023998054727537	0.7668007904886469	0.14877708	null
"GO:0005654"	"nucleoplasm"	1	5.867272394556651	1.830446525605921	0.71148036080134	0.78714109	16607
"GO:0005730"	"nucleolus"	1	5.688028068374036	1.2114693153196516	0.6908352638646427	0.61043445	16607
"GO:0031410"	"cytoplasmic vesicle"	1	5.989407543093069	2.424891655569294	0.7615264882153783	0.21139748	null
"GO:0032991"	"protein-containing complex"	1	6.900403837280107	19.75554538569037	1	-0	null
"GO:0048046"	"apoplast"	1	4.587160734706186	0.0960361495472436	0.9999416045492258	3.171E-05	null
