TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0003674"	"molecular_function"	1	7.654137704007378	100	1	-0	null
"GO:0003676"	"nucleic acid binding"	1	6.967593743204168	20.580503808256374	0.9300274339252134	0.31015716	null
"GO:0003677"	"DNA binding"	2	6.742345330646921	12.252016067246458	0.9133923051843015	0.48153711	null
"GO:0003723"	"RNA binding"	1	6.43945443714506	6.099813894661886	0.9220611256043787	0.5128201	3677
"GO:0003729"	"mRNA binding"	1	5.709808254185246	1.136762432364793	0.9377979962929239	0.33073906	null
"GO:0003743"	"translation initiation factor activity"	1	5.226024760921264	0.37315089336372126	0.9435955158068591	0.28841983	null
"GO:0003755"	"peptidyl-prolyl cis-trans isomerase activity"	1	5.164985988061432	0.32422412239711196	0.8792213438440544	0.42844795	null
"GO:0003824"	"catalytic activity"	2	7.437525717606617	60.727864217389204	1	-0	null
"GO:0004064"	"arylesterase activity"	1	3.5596672783880576	0.008042848001082846	0.8730328155525962	0.35450436	null
"GO:0004298"	"threonine-type endopeptidase activity"	1	4.279552881150386	0.042207766433033055	0.8368571495135634	0.46981862	null
"GO:0004364"	"glutathione transferase activity"	1	4.870591161714785	0.16460674109963627	0.9277321826146957	0.04070747	null
"GO:0000906"	"6,7-dimethyl-8-ribityllumazine synthase activity"	1	4.02861191506623	0.023682827860922195	0.935942506459042	0.61889098	4364
"GO:0004553"	"hydrolase activity, hydrolyzing O-glycosyl compounds"	2	5.861603104003009	1.6123703836391927	0.788574523776987	0.31839638	null
"GO:0004565"	"beta-galactosidase activity"	1	4.483573034190131	0.0675182343360823	0.8279439209062667	0.66992917	4553
"GO:0008422"	"beta-glucosidase activity"	1	4.842696588911166	0.15436635729235737	0.8093158680857632	0.79864163	4553
"GO:0019104"	"DNA N-glycosylase activity"	1	4.966550012334124	0.20530882961903954	0.7969319985423983	0.74215184	4553
"GO:0042973"	"glucan endo-1,3-beta-D-glucosidase activity"	1	4.217088951479171	0.036553158657251075	0.8255799128860635	0.63579019	4553
