"","x"
"1","Misin01G126100"
"2","Misin02G130200"
"3","Misin11G161500"
"4","Misin12G168100"
"5","Os04g0544500"
"6","SORBI_3001G137300"
"7","SORBI_3006G166100"
"8","TraesCS2A02G391700"
"9","TraesCS2B02G410200"
"10","TraesCS2D02G390000"
"11","Zm00001eb427850"
"12","Zm00001eb075150"
"13","Misin01G446600"
"14","Misin02G422800"
"15","Misin13G189000"
"16","Os03g0203700"
"17","SORBI_3001G464900"
"18","SORBI_3007G215200"
"19","TraesCS4A02G046800"
"20","TraesCS4B02G258000"
"21","TraesCS4D02G257900"
"22","Zm00001eb007650"
"23","Zm00001eb034200"
"24","Zm00001eb199600"
"25","Misin07G224500"
"26","Misin03G279600"
"27","Misin04G302000"
"28","Misin17G027800"
"29","MisinT426700"
"30","Os07g0517300"
"31","SORBI_3001G252200"
"32","SORBI_3002G319200"
"33","TraesCS2A02G221800"
"34","TraesCS2B02G247200"
"35","TraesCS2D02G227700"
"36","Zm00001eb106060"
"37","Zm00001eb322750"
"38","Misin05G018300"
"39","Misin05G018400"
"40","Misin06G008400"
"41","Misin06G008500"
"42","Os11g0186500"
"43","SORBI_3003G015000"
"44","SORBI_3003G015100"
"45","TraesCS3A02G145300"
"46","TraesCS3B02G172400"
"47","Zm00001eb119720"
"48","Zm00001eb338800"
"49","Misin07G014200"
"50","Misin08G011900"
"51","Os02g0117500"
"52","SORBI_3004G013200"
"53","SORBI_3004G013300"
"54","TraesCS6B02G066200"
"55","TraesCSU02G108800"
"56","Zm00001eb055130"
"57","Zm00001eb411500"
"58","Zm00001eb209370"
"59","Zm00001eb230060"
"60","Misin08G011700"
"61","Misin07G014100"
"62","Misin07G429000"
"63","Misin07G429100"
"64","Misin08G222400"
"65","Misin08G222500"
"66","Os02g0650300"
"67","SORBI_3004G299500"
"68","SORBI_3004G299600"
"69","SORBI_3004G299700"
"70","TraesCS6A02G240900"
"71","TraesCS6B02G283800"
"72","TraesCS6D02G223100"
"73","Zm00001eb248990"
"74","Zm00001eb249020"
"75","Misin08G138700"
"76","Misin14G079500"
"77","Os01g0218032"
"78","SORBI_3004G149800"
"79","SORBI_3008G085300"
"80","TraesCS5A02G169000"
"81","TraesCS5B02G165800"
"82","TraesCS5D02G173300"
"83","Zm00001eb202980"
"84","Zm00001eb241240"
"85","Misin15G097800"
"86","Misin15G097700"
"87","Misin07G374100"
"88","Misin11G258100"
"89","Misin11G258300"
"90","Misin12G264600"
"91","Misin12G264800"
"92","Os04g0666800"
"93","SORBI_3005G159100"
"94","SORBI_3006G256900"
"95","SORBI_3006G257100"
"96","TraesCS7A02G526800"
"97","TraesCS7B02G444100"
"98","Zm00001eb433080"
"99","Zm00001eb067090"
"100","Misin12G265100"
"101","Misin14G001900"
"102","Misin14G002300"
"103","Misin14G086900"
"104","MisinT054900"
"105","MisinT103100"
"106","Os12g0562400"
"107","SORBI_3005G002000"
"108","SORBI_3008G002000"
"109","TraesCS5D02G160300"
"110","Zm00001eb229070"
"111","Zm00001eb229100"
"112","Misin18G231600"
"113","Misin18G232000"
"114","Misin18G232300"
"115","Misin19G271200"
"116","Misin19G271300"
"117","Misin19G271600"
"118","Os06g0680500"
"119","SORBI_3010G231100"
"120","SORBI_3010G231300"
"121","SORBI_3010G231500"
"122","TraesCS1A02G390300"
"123","TraesCS1B02G418500"
"124","TraesCS1D02G398500"
"125","Zm00001eb225110"
"126","Zm00001eb225130"
"127","Zm00001eb225150"
