"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006355","regulation of DNA-templated transcription","BP",1,"N0.HOG0004683","GO:0006355",12,"GO:0006355",3,"GO:0006355",1,"GO:0006355",4,"GO:0006355",2,"GO:0006355",2,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"2","GO:0006811","monoatomic ion transport","BP",4,"N0.HOG0000900 N0.HOG0003887 N0.HOG0000520 N0.HOG0002509","GO:0006811",55,"GO:0006811",11,"GO:0006811",4,"GO:0006811",18,"GO:0006811",10,"GO:0006811",12,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
"3","GO:0006816","calcium ion transport","BP",2,"N0.HOG0000900 N0.HOG0002509","GO:0006816",21,"GO:0006816",6,"GO:0006816",2,"GO:0006816",6,"GO:0006816",3,"GO:0006816",4,"The directed movement of calcium (Ca) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"4","GO:0070588","calcium ion transmembrane transport","BP",2,"N0.HOG0000900 N0.HOG0002509","GO:0070588",21,"GO:0070588",6,"GO:0070588",2,"GO:0070588",6,"GO:0070588",3,"GO:0070588",4,"A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."
"5","GO:0006974","DNA damage response","BP",1,"N0.HOG0004488","GO:0006974",12,"GO:0006974",3,"GO:0006974",1,"GO:0006974",4,"GO:0006974",2,"GO:0006974",2,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism."
"6","GO:0030261","chromosome condensation","BP",1,"N0.HOG0004488","GO:0030261",12,"GO:0030261",3,"GO:0030261",1,"GO:0030261",4,"GO:0030261",2,"GO:0030261",2,"The progressive compaction of dispersed interphase chromatin into threadlike chromosomes prior to mitotic or meiotic nuclear division, or during apoptosis, in eukaryotic cells."
"7","GO:0045739","positive regulation of DNA repair","BP",1,"N0.HOG0004488","GO:0045739",12,"GO:0045739",3,"GO:0045739",1,"GO:0045739",4,"GO:0045739",2,"GO:0045739",2,"Any process that activates or increases the frequency, rate or extent of DNA repair."
"8","GO:0006952","defense response","BP",2,"N0.HOG0005093 N0.HOG0004099","GO:0006952",12,"GO:0006952",4,"GO:0006952",1,"GO:0006952",3,"GO:0006952",2,"GO:0006952",2,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"9","GO:0009416","response to light stimulus","BP",1,"N0.HOG0005093","GO:0009416",9,"GO:0009416",1,"GO:0009416",0,"GO:0009416",4,"GO:0009416",2,"GO:0009416",2,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."
"10","GO:0009733","response to auxin","BP",1,"N0.HOG0005093","GO:0009733",9,"GO:0009733",1,"GO:0009733",0,"GO:0009733",4,"GO:0009733",2,"GO:0009733",2,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an auxin stimulus."
"11","GO:0034220","monoatomic ion transmembrane transport","BP",2,"N0.HOG0003887 N0.HOG0002509","GO:0034220",29,"GO:0034220",5,"GO:0034220",2,"GO:0034220",10,"GO:0034220",5,"GO:0034220",7,"A process in which a monoatomic ion is transported across a membrane. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
"12","GO:0006826","iron ion transport","BP",1,"N0.HOG0000520","GO:0006826",13,"GO:0006826",3,"GO:0006826",1,"GO:0006826",4,"GO:0006826",3,"GO:0006826",2,"The directed movement of iron (Fe) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"13","GO:0010039","response to iron ion","BP",1,"N0.HOG0000520","GO:0010039",13,"GO:0010039",3,"GO:0010039",1,"GO:0010039",4,"GO:0010039",3,"GO:0010039",2,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an iron ion stimulus."
"14","GO:0033214","siderophore-dependent iron import into cell","BP",1,"N0.HOG0000520","GO:0033214",13,"GO:0033214",3,"GO:0033214",1,"GO:0033214",4,"GO:0033214",3,"GO:0033214",2,"A process in which iron (Fe3+) is solubilized by ferric iron-specific chelators, known as siderophores, excreted by a cell; the iron-siderophore complex is then transported into the cell by specific cell surface receptors."
"15","GO:0035672","oligopeptide transmembrane transport","BP",1,"N0.HOG0000520","GO:0035672",13,"GO:0035672",3,"GO:0035672",1,"GO:0035672",4,"GO:0035672",3,"GO:0035672",2,"The process in which an oligopeptide is transported across a membrane. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages."
"16","GO:0048316","seed development","BP",1,"N0.HOG0000520","GO:0048316",13,"GO:0048316",3,"GO:0048316",1,"GO:0048316",4,"GO:0048316",3,"GO:0048316",2,"The process whose specific outcome is the progression of the seed over time, from its formation to the mature structure. A seed is a propagating organ formed in the sexual reproductive cycle of gymnosperms and angiosperms, consisting of a protective coat enclosing an embryo and food reserves."
"17","GO:0006281","DNA repair","BP",1,"N0.HOG0003895","GO:0006281",13,"GO:0006281",3,"GO:0006281",1,"GO:0006281",5,"GO:0006281",2,"GO:0006281",2,"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway."
"18","GO:0006284","base-excision repair","BP",1,"N0.HOG0003895","GO:0006284",13,"GO:0006284",3,"GO:0006284",1,"GO:0006284",5,"GO:0006284",2,"GO:0006284",2,"In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase."
"19","GO:0048229","gametophyte development","BP",1,"N0.HOG0003895","GO:0048229",13,"GO:0048229",3,"GO:0048229",1,"GO:0048229",5,"GO:0048229",2,"GO:0048229",2,"The process whose specific outcome is the progression of the gametophyte over time, from its formation to the mature structure. The gametophyte is the gamete-producing individual or phase in the life cycle having alternation of generations. An example of this process is found in Arabidopsis thaliana."
"20","GO:0080111","DNA demethylation","BP",1,"N0.HOG0003895","GO:0080111",13,"GO:0080111",3,"GO:0080111",1,"GO:0080111",5,"GO:0080111",2,"GO:0080111",2,"The removal of a methyl group from one or more nucleotides within an DNA molecule."
"21","GO:0009699","phenylpropanoid biosynthetic process","BP",1,"N0.HOG0004099","GO:0009699",13,"GO:0009699",2,"GO:0009699",1,"GO:0009699",5,"GO:0009699",3,"GO:0009699",2,"The chemical reactions and pathways resulting in the formation of aromatic derivatives of trans-cinnamic acid."
"22","GO:0006629","lipid metabolic process","BP",1,"N0.HOG0005521","GO:0006629",11,"GO:0006629",1,"GO:0006629",1,"GO:0006629",5,"GO:0006629",2,"GO:0006629",2,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"23","GO:0007165","signal transduction","BP",1,"N0.HOG0005521","GO:0007165",11,"GO:0007165",1,"GO:0007165",1,"GO:0007165",5,"GO:0007165",2,"GO:0007165",2,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
