"","x"
"1","N0.HOG0008105"
"2","N0.HOG0011633"
"3","N0.HOG0001365"
"4","N0.HOG0011596"
"5","N0.HOG0015468"
"6","N0.HOG0003358"
"7","N0.HOG0016924"
"8","N0.HOG0012484"
"9","N0.HOG0001649"
"10","N0.HOG0016564"
"11","N0.HOG0016563"
"12","N0.HOG0012648"
"13","N0.HOG0008741"
"14","N0.HOG0012405"
"15","N0.HOG0004665"
"16","N0.HOG0008722"
"17","N0.HOG0002858"
"18","N0.HOG0003961"
"19","N0.HOG0002899"
"20","N0.HOG0000897"
"21","N0.HOG0002064"
"22","N0.HOG0008527"
"23","N0.HOG0008749"
"24","N0.HOG0000904"
"25","N0.HOG0006619"
"26","N0.HOG0008684"
"27","N0.HOG0004683"
"28","N0.HOG0016619"
"29","N0.HOG0008707"
"30","N0.HOG0008634"
"31","N0.HOG0005486"
"32","N0.HOG0005416"
"33","N0.HOG0004019"
"34","N0.HOG0012538"
"35","N0.HOG0002445"
"36","N0.HOG0003377"
"37","N0.HOG0008425"
"38","N0.HOG0001564"
"39","N0.HOG0005397"
"40","N0.HOG0012491"
"41","N0.HOG0016700"
"42","N0.HOG0012409"
"43","N0.HOG0008444"
"44","N0.HOG0008557"
"45","N0.HOG0008823"
"46","N0.HOG0016731"
"47","N0.HOG0008565"
"48","N0.HOG0019713"
"49","N0.HOG0002024"
"50","N0.HOG0003414"
"51","N0.HOG0008877"
"52","N0.HOG0016193"
"53","N0.HOG0005386"
"54","N0.HOG0012821"
"55","N0.HOG0002040"
"56","N0.HOG0019573"
"57","N0.HOG0004698"
"58","N0.HOG0006115"
"59","N0.HOG0006344"
"60","N0.HOG0008579"
"61","N0.HOG0008467"
"62","N0.HOG0005423"
"63","N0.HOG0001568"
"64","N0.HOG0002856"
"65","N0.HOG0002408"
"66","N0.HOG0019510"
"67","N0.HOG0001797"
"68","N0.HOG0012468"
"69","N0.HOG0008783"
"70","N0.HOG0016539"
"71","N0.HOG0003406"
"72","N0.HOG0000290"
"73","N0.HOG0008541"
"74","N0.HOG0008777"
"75","N0.HOG0012965"
"76","N0.HOG0008645"
"77","N0.HOG0002859"
"78","N0.HOG0012493"
"79","N0.HOG0002884"
"80","N0.HOG0016873"
"81","N0.HOG0019578"
"82","N0.HOG0002435"
"83","N0.HOG0012540"
"84","N0.HOG0012752"
"85","N0.HOG0016774"
"86","N0.HOG0012729"
"87","N0.HOG0012823"
"88","N0.HOG0012423"
"89","N0.HOG0008711"
"90","N0.HOG0002926"
"91","N0.HOG0012204"
"92","N0.HOG0008509"
"93","N0.HOG0008561"
"94","N0.HOG0016550"
"95","N0.HOG0008476"
"96","N0.HOG0003470"
"97","N0.HOG0008797"
"98","N0.HOG0012348"
"99","N0.HOG0008559"
"100","N0.HOG0003378"
"101","N0.HOG0012460"
"102","N0.HOG0008751"
"103","N0.HOG0007316"
"104","N0.HOG0016640"
"105","N0.HOG0008818"
"106","N0.HOG0008607"
"107","N0.HOG0006588"
"108","N0.HOG0008562"
"109","N0.HOG0000900"
"110","N0.HOG0008647"
"111","N0.HOG0006591"
"112","N0.HOG0016566"
"113","N0.HOG0008589"
"114","N0.HOG0002892"
"115","N0.HOG0012728"
"116","N0.HOG0008450"
"117","N0.HOG0008571"
"118","N0.HOG0004371"
"119","N0.HOG0012844"
"120","N0.HOG0008436"
"121","N0.HOG0016713"
"122","N0.HOG0012220"
"123","N0.HOG0019687"
"124","N0.HOG0002896"
"125","N0.HOG0016821"
"126","N0.HOG0012640"
"127","N0.HOG0012827"
"128","N0.HOG0016573"
"129","N0.HOG0006621"
"130","N0.HOG0002028"
"131","N0.HOG0006620"
"132","N0.HOG0004705"
"133","N0.HOG0004695"
"134","N0.HOG0000237"
"135","N0.HOG0003441"
"136","N0.HOG0017123"
"137","N0.HOG0006733"
"138","N0.HOG0016742"
"139","N0.HOG0005515"
"140","N0.HOG0013181"
"141","N0.HOG0006730"
"142","N0.HOG0002882"
"143","N0.HOG0017118"
"144","N0.HOG0019830"
"145","N0.HOG0019647"
"146","N0.HOG0006205"
"147","N0.HOG0003296"
"148","N0.HOG0001790"
"149","N0.HOG0002085"
"150","N0.HOG0016880"
"151","N0.HOG0019887"
"152","N0.HOG0013185"
"153","N0.HOG0017093"
"154","N0.HOG0019902"
"155","N0.HOG0012190"
"156","N0.HOG0017105"
"157","N0.HOG0006717"
"158","N0.HOG0013200"
"159","N0.HOG0006710"
"160","N0.HOG0013210"
"161","N0.HOG0004008"
"162","N0.HOG0006722"
"163","N0.HOG0006533"
"164","N0.HOG0009095"
"165","N0.HOG0013883"
"166","N0.HOG0018066"
"167","N0.HOG0002135"
"168","N0.HOG0009662"
"169","N0.HOG0014680"
"170","N0.HOG0018017"
"171","N0.HOG0005224"
"172","N0.HOG0014604"
"173","N0.HOG0009687"
"174","N0.HOG0002410"
"175","N0.HOG0017885"
"176","N0.HOG0003369"
"177","N0.HOG0009740"
"178","N0.HOG0002428"
"179","N0.HOG0000149"
"180","N0.HOG0014405"
"181","N0.HOG0009718"
"182","N0.HOG0007577"
"183","N0.HOG0014590"
"184","N0.HOG0017926"
"185","N0.HOG0000154"
"186","N0.HOG0004904"
"187","N0.HOG0004916"
"188","N0.HOG0009754"
"189","N0.HOG0005734"
"190","N0.HOG0014490"
"191","N0.HOG0014293"
"192","N0.HOG0007022"
"193","N0.HOG0009898"
"194","N0.HOG0020285"
"195","N0.HOG0014749"
"196","N0.HOG0018012"
"197","N0.HOG0009661"
"198","N0.HOG0000982"
"199","N0.HOG0020363"
"200","N0.HOG0009782"
"201","N0.HOG0007696"
"202","N0.HOG0001852"
"203","N0.HOG0014586"
"204","N0.HOG0014260"
"205","N0.HOG0014455"
"206","N0.HOG0014326"
"207","N0.HOG0017594"
"208","N0.HOG0009909"
"209","N0.HOG0014751"
"210","N0.HOG0017971"
"211","N0.HOG0004884"
"212","N0.HOG0009880"
"213","N0.HOG0009810"
"214","N0.HOG0014460"
"215","N0.HOG0018032"
"216","N0.HOG0001843"
"217","N0.HOG0014488"
