"","x"
"1","Misin01G106300"
"2","Misin02G096500"
"3","Misin11G243600"
"4","Misin12G254100"
"5","Os04g0497400"
"6","SORBI_3001G118700"
"7","SORBI_3006G244700"
"8","TraesCS2A02G352600"
"9","TraesCS2B02G371700"
"10","TraesCS2D02G351600"
"11","Zm00001eb432360"
"12","Zm00001eb068110"
"13","Misin03G049700"
"14","Misin04G059800"
"15","Misin11G166200"
"16","Misin12G183900"
"17","Os07g0185200"
"18","SORBI_3002G056600"
"19","SORBI_3006G170700"
"20","TraesCS2A02G237900"
"21","TraesCS2B02G257400"
"22","TraesCS2D02G242200"
"23","Zm00001eb429740"
"24","Zm00001eb074680"
"25","Misin03G070000"
"26","Misin04G092000"
"27","Misin18G001300"
"28","Misin18G002100"
"29","Os05g0187000"
"30","SORBI_3010G007400"
"31","SORBI_3002G087000"
"32","SORBI_3003G035601"
"33","TraesCS1A02G122700"
"34","TraesCS1D02G123600"
"35","Zm00001eb268750"
"36","Zm00001eb304090"
"37","Misin03G290500"
"38","Misin04G316100"
"39","Misin07G544600"
"40","Os07g0549700"
"41","SORBI_3002G332750"
"42","SORBI_3004G347600"
"43","TraesCS2A02G212100"
"44","TraesCS2B02G237200"
"45","TraesCS2D02G218000"
"46","Zm00001eb106630"
"47","Zm00001eb323620"
"48","Misin03G290400"
"49","Misin03G331200"
"50","Misin03G331500"
"51","Misin04G347900"
"52","Misin04G348000"
"53","Misin04G348100"
"54","Os07g0614000"
"55","SORBI_3002G373100"
"56","SORBI_3002G373200"
"57","TraesCS2A02G170200"
"58","TraesCS2B02G196500"
"59","TraesCS2D02G177700"
"60","Zm00001eb092910"
"61","Zm00001eb109110"
"62","Zm00001eb113400"
"63","Misin05G138300"
"64","Misin06G127400"
"65","Misin16G126600"
"66","Misin17G100300"
"67","Misin17G100400"
"68","Os05g0358700"
"69","SORBI_3003G147000"
"70","SORBI_3009G109925"
"71","SORBI_3009G110000"
"72","TraesCS1A02G228300"
"73","TraesCS1B02G242500"
"74","TraesCS1D02G230100"
"75","Zm00001eb285800"
"76","Zm00001eb339870"
"77","Misin06G127600"
"78","Misin05G243200"
"79","Misin05G283600"
"80","Misin06G248400"
"81","Misin06G274900"
"82","Misin17G046300"
"83","Os05g0349500"
"84","SORBI_3003G267800"
"85","SORBI_3009G046700"
"86","TraesCS1A02G224800"
"87","TraesCS1B02G238000"
"88","TraesCS1D02G226200"
"89","Zm00001eb155830"
"90","Zm00001eb360880"
"91","Misin16G036400"
"92","Misin05G319300"
"93","Misin06G312700"
"94","Misin16G168700"
"95","Misin17G177900"
"96","Os01g0833400"
"97","SORBI_3003G345600"
"98","SORBI_3009G167600"
"99","TraesCS1B02G301200"
"100","TraesCS1D02G290300"
"101","Zm00001eb289950"
"102","Zm00001eb368310"
"103","Misin06G230000"
"104","Misin07G211100"
"105","Misin13G005800"
"106","Os08g0110800"
"107","SORBI_3003G276901"
"108","SORBI_3007G011600"
"109","TraesCS7A02G320500"
"110","TraesCS7B02G221500"
"111","TraesCS7D02G317400"
"112","Zm00001eb174080"
"113","Zm00001eb260490"
"114","Zm00001eb363030"
"115","Misin05G256600"
"116","Misin07G019900"
"117","Misin08G149800"
"118","MisinT275300"
"119","Os02g0121300"
"120","SORBI_3004G018400"
"121","SORBI_3004G162000"
"122","SORBI_3007G164300"
"123","TraesCS6A02G068900"
"124","TraesCS6B02G093100"
"125","TraesCS6D02G066700"
"126","Zm00001eb181260"
"127","Zm00001eb242390"
"128","Zm00001eb242400"
"129","Misin07G021100"
"130","Misin07G459700"
"131","Misin08G255300"
"132","Misin16G233400"
"133","Misin17G235500"
"134","Os02g0704600"
"135","SORBI_3004G268200"
"136","SORBI_3009G227100"
"137","TraesCS6A02G272000"
"138","TraesCS6B02G299600"
"139","TraesCS6D02G252200"
"140","Zm00001eb188320"
"141","Zm00001eb252010"
"142","Zm00001eb295390"
"143","Misin08G016700"
"144","MisinT162300"
"145","Os12g0606900"
"146","SORBI_3004G020900"
"147","SORBI_3008G161201"
"148","SORBI_3008G161300"
"149","SORBI_3008G161401"
"150","SORBI_3008G161500"
"151","TraesCS5A02G053400"
"152","TraesCS5B02G063000"
"153","TraesCS5D02G064600"
"154","Zm00001eb031350"
"155","Zm00001eb208510"
"156","Misin14G157600"
"157","Misin14G157700"
"158","Misin09G039700"
"159","Misin10G026800"
"160","Misin14G028300"
"161","Misin15G077700"
"162","Os11g0156800"
"163","SORBI_3005G043000"
"164","SORBI_3008G042800"
"165","TraesCS4A02G199000"
"166","TraesCS4B02G116400"
"167","TraesCS4D02G114100"
"168","Zm00001eb164080"
"169","Zm00001eb197530"
"170","Misin16G013900"
"171","Misin16G014000"
"172","Misin17G016800"
"173","Os05g0116100"
"174","SORBI_3009G017732"
"175","SORBI_3009G017800"
"176","TraesCS1B02G059100"
"177","Zm00001eb266260"
"178","Zm00001eb355540"
"179","Zm00001eb355550"
"180","Misin17G016900"
