TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0000502"	"proteasome complex"	1	5.180510087331527	0.37652382533874423	0.8020284431559179	0.34749127	null
"GO:0005839"	"proteasome core complex"	1	4.708939024669742	0.1271205539673217	0.8103661360278761	0.89306917	502
"GO:0019774"	"proteasome core complex, beta-subunit complex"	1	4.18052728291341	0.03765163710451183	0.7763273388031735	0.81237627	502
"GO:0005575"	"cellular_component"	1	7.604714769821186	100	1	-0	null
"GO:0005634"	"nucleus"	5	6.822624306696733	16.5161752456724	0.6957121104143723	0.35145602	null
"GO:0043231"	"intracellular membrane-bounded organelle"	1	7.079705376423831	29.853178741885195	0.6770616709824857	0.54368596	5634
"GO:0005654"	"nucleoplasm"	1	5.867272394556651	1.830446525605921	0.7295874156668745	0.21968674	null
"GO:0016607"	"nuclear speck"	1	4.809492376937341	0.16023998054727537	0.7794705945527508	0.6345741	5654
"GO:0005737"	"cytoplasm"	5	7.238956814544198	43.076660800468886	0.8667092671986336	0.08291202	null
"GO:0005739"	"mitochondrion"	1	6.2910814460391355	4.856981674016684	0.7361187877932611	0.25147478	null
"GO:0005773"	"vacuole"	2	5.735805619372332	1.35235298008496	0.7735171760825509	0.18302188	null
"GO:0005774"	"vacuolar membrane"	1	5.4507801012932395	0.7015583598387308	0.7101535089856432	0.18309297	null
"GO:0000221"	"vacuolar proton-transporting V-type ATPase, V1 domain"	1	3.8258802989361795	0.016637983373048983	0.6910018014853729	0.62150237	5774
"GO:0000325"	"plant-type vacuole"	1	4.213916009644023	0.04066068696484073	0.7688510773787153	0.6650009	5774
"GO:0005794"	"Golgi apparatus"	1	5.975775890758108	2.349961096041566	0.7357334093526413	0.22703414	null
"GO:0005643"	"nuclear pore"	1	4.9482515425629385	0.22056260933274582	0.7183677802882714	0.50473302	5794
"GO:0005829"	"cytosol"	4	6.752331838179486	14.048080989011824	0.8395125649390568	0.17160779	null
"GO:0005886"	"plasma membrane"	2	6.8396702634157895	17.177321395000487	0.9858907243946746	0.00015294	null
"GO:0009349"	"riboflavin synthase complex"	1	4.0385804259615785	0.02715350691467731	0.8886866252011267	-0	null
"GO:0009507"	"chloroplast"	2	5.449217589922604	0.6990388085931706	0.7416531767183827	0	null
"GO:0009570"	"chloroplast stroma"	1	4.626873923957273	0.10523226311708445	0.7749144860968724	0.81880967	9507
"GO:0009536"	"plastid"	1	5.486950187589592	0.7624897559369845	0.7870061907625301	0.18475413	null
"GO:0009986"	"cell surface"	1	5.422860574002152	0.6578761991908514	0.9999303881506661	3.782E-05	null
"GO:0016020"	"membrane"	4	7.297158185522496	49.2542153160787	0.999850748184091	6.66E-05	null
"GO:0031410"	"cytoplasmic vesicle"	1	5.989407543093069	2.424891655569294	0.7578537489540528	0.21139748	null
"GO:0032991"	"protein-containing complex"	1	6.900403837280107	19.75554538569037	1	-0	null
