TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0003676"	"nucleic acid binding"	1	6.967593743204168	20.580503808256374	0.9125915317292687	0.31015716	null
"GO:0003723"	"RNA binding"	1	6.43945443714506	6.099813894661886	0.906244091234332	0.34520254	null
"GO:0003729"	"mRNA binding"	1	5.709808254185246	1.136762432364793	0.9221916821559171	0.24940265	null
"GO:0003743"	"translation initiation factor activity"	1	5.226024760921264	0.37315089336372126	0.9295405986985653	0.04087	null
"GO:0003755"	"peptidyl-prolyl cis-trans isomerase activity"	1	5.164985988061432	0.32422412239711196	0.8782833034831994	0.42844795	null
"GO:0003824"	"catalytic activity"	1	7.437525717606617	60.727864217389204	1	-0	null
"GO:0004064"	"arylesterase activity"	1	3.5596672783880576	0.008042848001082846	0.8929127249359601	0.30149286	null
"GO:0004298"	"threonine-type endopeptidase activity"	1	4.279552881150386	0.042207766433033055	0.8343939322621955	0.46981862	null
"GO:0004364"	"glutathione transferase activity"	1	4.870591161714785	0.16460674109963627	0.9277573645136502	0.04086192	null
"GO:0000906"	"6,7-dimethyl-8-ribityllumazine synthase activity"	1	4.02861191506623	0.023682827860922195	0.9328843262232469	0.61889098	4364
"GO:0005515"	"protein binding"	2	6.589143566888595	8.610051728351934	0.952334997282249	0.06542584	null
"GO:0005524"	"ATP binding"	1	6.748189655607454	12.418006524131227	0.8807569969649474	0.26746377	null
"GO:0008233"	"peptidase activity"	2	6.274001428882975	4.167383840940452	0.8083806670198322	0	null
"GO:0008234"	"cysteine-type peptidase activity"	1	5.398400117008495	0.5549587295679618	0.8094514507876345	0.45595338	null
"GO:0008270"	"zinc ion binding"	1	6.230838334438167	3.7731179768939866	0.9148165787056828	0.12083997	null
"GO:0046872"	"metal ion binding"	1	6.911208761887167	18.074696526070646	0.898458481130356	0.55471323	8270
"GO:0008289"	"lipid binding"	1	5.7652221120022835	1.291468066123697	0.9633534171978166	0.04613007	null
"GO:0016491"	"oxidoreductase activity"	2	6.704753304174606	11.23609814678324	0.9415366565207313	0.10619003	null
"GO:0016740"	"transferase activity"	2	6.968583058237348	20.627439270288612	0.9365708020414661	0.12712323	null
"GO:0016787"	"hydrolase activity"	4	7.001335008429068	22.243200201100027	0.935934694463014	0.08368982	null
"GO:0016844"	"strictosidine synthase activity"	1	3.7239479764316434	0.011741626734417886	0.9694178287693785	0.03203827	null
"GO:0016853"	"isomerase activity"	1	6.036717900643149	2.413124934500793	0.9515729212267898	0.05675833	null
"GO:0042802"	"identical protein binding"	1	5.35355272488587	0.5005104004202948	0.9671609285137994	0.03203534	null
"GO:0043295"	"glutathione binding"	1	3.9219984313082707	0.01852715606535627	0.9200546853179998	-0	null
"GO:0016018"	"cyclosporin A binding"	1	3.2990712600274095	0.004412811558355352	0.9455158682177264	0.57565305	43295
"GO:0045174"	"glutathione dehydrogenase (ascorbate) activity"	1	3.9299805905155147	0.018870867518393994	0.8957533932258503	0.03333167	null
"GO:0016671"	"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"	1	4.677278370439498	0.10547063123118373	0.8884298022617437	0.66005034	45174
"GO:0033743"	"peptide-methionine (R)-S-oxide reductase activity"	1	4.200494821738647	0.03518274783159097	0.8936593187017633	0.68781918	45174
"GO:0046961"	"proton-transporting ATPase activity, rotational mechanism"	1	4.961302418158645	0.20284297713014954	0.9665876989887132	-0	null
"GO:0016887"	"ATP hydrolysis activity"	1	6.258203969209737	4.018519084389943	0.830608641193416	0.5399165	46961
"GO:0070139"	"SUMO-specific endopeptidase activity"	1	3.480581786829169	0.006703482080858407	0.8342692672402504	0.29849456	null
"GO:0016929"	"deSUMOylase activity"	1	3.8998205024270964	0.017604678875267912	0.8306823069078136	0.63068789	70139
"GO:0070290"	"N-acylphosphatidylethanolamine-specific phospholipase D activity"	1	4.145507171409663	0.030998338077512295	0.8633346840746455	0.20765779	null
"GO:0004630"	"phospholipase D activity"	1	4.1103539826640025	0.02858792291975739	0.8638730078751227	0.69700025	70290
