"","x"
"1","N0.HOG0000340"
"2","N0.HOG0004009"
"3","N0.HOG0005378"
"4","N0.HOG0005148"
"5","N0.HOG0004709"
"6","N0.HOG0003381"
"7","N0.HOG0004030"
"8","N0.HOG0001302"
"9","N0.HOG0001067"
"10","N0.HOG0004662"
"11","N0.HOG0002869"
"12","N0.HOG0004696"
"13","N0.HOG0004683"
"14","N0.HOG0003410"
"15","N0.HOG0001559"
"16","N0.HOG0003394"
"17","N0.HOG0003250"
"18","N0.HOG0004646"
"19","N0.HOG0004031"
"20","N0.HOG0003297"
"21","N0.HOG0004004"
"22","N0.HOG0002025"
"23","N0.HOG0004017"
"24","N0.HOG0004647"
"25","N0.HOG0003449"
"26","N0.HOG0004638"
"27","N0.HOG0003423"
"28","N0.HOG0001572"
"29","N0.HOG0001369"
"30","N0.HOG0002924"
"31","N0.HOG0004354"
"32","N0.HOG0004699"
"33","N0.HOG0003376"
"34","N0.HOG0004650"
"35","N0.HOG0003365"
"36","N0.HOG0000900"
"37","N0.HOG0002039"
"38","N0.HOG0000965"
"39","N0.HOG0001799"
"40","N0.HOG0003988"
"41","N0.HOG0002626"
"42","N0.HOG0003775"
"43","N0.HOG0004383"
"44","N0.HOG0000883"
"45","N0.HOG0004674"
"46","N0.HOG0004051"
"47","N0.HOG0001845"
"48","N0.HOG0002490"
"49","N0.HOG0004181"
"50","N0.HOG0004808"
"51","N0.HOG0002523"
"52","N0.HOG0000956"
"53","N0.HOG0004931"
"54","N0.HOG0004512"
"55","N0.HOG0006834"
"56","N0.HOG0003725"
"57","N0.HOG0004533"
"58","N0.HOG0004917"
"59","N0.HOG0001401"
"60","N0.HOG0003115"
"61","N0.HOG0001290"
"62","N0.HOG0005670"
"63","N0.HOG0003856"
"64","N0.HOG0003020"
"65","N0.HOG0002667"
"66","N0.HOG0007014"
"67","N0.HOG0001932"
"68","N0.HOG0004910"
"69","N0.HOG0004452"
"70","N0.HOG0004488"
"71","N0.HOG0003601"
"72","N0.HOG0001609"
"73","N0.HOG0004908"
"74","N0.HOG0001331"
"75","N0.HOG0003607"
"76","N0.HOG0004437"
"77","N0.HOG0004160"
"78","N0.HOG0004323"
"79","N0.HOG0004856"
"80","N0.HOG0003746"
"81","N0.HOG0005093"
"82","N0.HOG0005120"
"83","N0.HOG0000362"
"84","N0.HOG0000135"
"85","N0.HOG0002213"
"86","N0.HOG0000862"
"87","N0.HOG0002643"
"88","N0.HOG0005075"
"89","N0.HOG0004377"
"90","N0.HOG0002654"
"91","N0.HOG0004368"
"92","N0.HOG0003751"
"93","N0.HOG0004353"
"94","N0.HOG0001254"
"95","N0.HOG0001507"
"96","N0.HOG0003195"
"97","N0.HOG0004356"
"98","N0.HOG0005162"
"99","N0.HOG0003137"
"100","N0.HOG0003753"
"101","N0.HOG0004394"
"102","N0.HOG0003687"
"103","N0.HOG0003748"
"104","N0.HOG0004397"
"105","N0.HOG0005130"
"106","N0.HOG0004343"
"107","N0.HOG0003745"
"108","N0.HOG0004325"
"109","N0.HOG0004327"
"110","N0.HOG0003694"
"111","N0.HOG0002664"
"112","N0.HOG0000224"
"113","N0.HOG0004382"
"114","N0.HOG0000585"
"115","N0.HOG0005238"
"116","N0.HOG0003710"
"117","N0.HOG0004395"
"118","N0.HOG0001967"
"119","N0.HOG0003887"
"120","N0.HOG0003362"
"121","N0.HOG0000056"
"122","N0.HOG0002360"
"123","N0.HOG0004486"
"124","N0.HOG0004579"
"125","N0.HOG0005290"
"126","N0.HOG0006831"
"127","N0.HOG0004115"
"128","N0.HOG0000208"
"129","N0.HOG0004793"
"130","N0.HOG0002293"
"131","N0.HOG0003046"
"132","N0.HOG0003837"
"133","N0.HOG0006377"
"134","N0.HOG0004545"
"135","N0.HOG0001561"
"136","N0.HOG0001045"
"137","N0.HOG0003859"
"138","N0.HOG0002776"
"139","N0.HOG0000887"
"140","N0.HOG0000520"
"141","N0.HOG0004560"
"142","N0.HOG0003831"
"143","N0.HOG0005338"
"144","N0.HOG0003322"
"145","N0.HOG0002820"
"146","N0.HOG0003895"
"147","N0.HOG0003511"
"148","N0.HOG0004454"
"149","N0.HOG0002693"
"150","N0.HOG0004459"
"151","N0.HOG0004433"
"152","N0.HOG0003164"
"153","N0.HOG0003232"
"154","N0.HOG0003784"
"155","N0.HOG0001713"
"156","N0.HOG0001933"
"157","N0.HOG0004110"
"158","N0.HOG0005214"
"159","N0.HOG0000916"
"160","N0.HOG0000471"
"161","N0.HOG0005581"
"162","N0.HOG0004797"
"163","N0.HOG0004099"
"164","N0.HOG0003535"
"165","N0.HOG0005521"
"166","N0.HOG0003678"
"167","N0.HOG0003814"
"168","N0.HOG0005249"
"169","N0.HOG0003803"
"170","N0.HOG0006232"
"171","N0.HOG0003815"
"172","N0.HOG0003807"
"173","N0.HOG0004139"
"174","N0.HOG0002991"
"175","N0.HOG0002509"
"176","N0.HOG0002508"
"177","N0.HOG0004871"
"178","N0.HOG0000995"
"179","N0.HOG0004123"
"180","N0.HOG0004413"
"181","N0.HOG0003280"
"182","N0.HOG0002988"
"183","N0.HOG0003841"
