TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	Representative
"GO:0002376"	"immune system process"	2	5.582608730687733	0.9427113541805001	1	-0	null
"GO:0002926"	"tRNA wobble base 5-methoxycarbonylmethyl-2-thiouridinylation"	1	3.7831886910752575	0.014958508071087444	0.8608063849588752	0.40302693	null
"GO:0001522"	"pseudouridine synthesis"	1	5.045866484797428	0.2739262926354451	0.8578779806136752	0.53390585	2926
"GO:0001682"	"tRNA 5'-leader removal"	1	4.410321617730682	0.06339804656525148	0.8541565911400606	0.51855765	2926
"GO:0031119"	"tRNA pseudouridine synthesis"	1	4.485820763530826	0.07543583753891948	0.844595147931508	0.59990127	2926
"GO:0005975"	"carbohydrate metabolic process"	5	6.335775531602232	5.3400641443698875	0.9350254592557123	0.15163831	null
"GO:0006002"	"fructose 6-phosphate metabolic process"	2	4.645991784453663	0.10908200555315818	0.9113751604809034	0.3693131	null
"GO:0006108"	"malate metabolic process"	2	4.506396783530457	0.07909597668631853	0.9003447070443624	0.20397686	null
"GO:0006107"	"oxaloacetate metabolic process"	2	4.402622427748527	0.06228398400994887	0.902033384274207	0.59061727	6108
"GO:0006526"	"arginine biosynthetic process"	1	5.061686151089758	0.2840884163423315	0.8429508890672348	0.79754859	6108
"GO:0006537"	"glutamate biosynthetic process"	1	4.524279255847971	0.08242091117106017	0.8526947472157661	0.76517736	6108
"GO:0009423"	"chorismate biosynthetic process"	1	4.846769953537219	0.1731948267667233	0.8654183677394713	0.63535781	6108
"GO:0033611"	"oxalate catabolic process"	1	3.4404367661057735	0.006792823899145988	0.8938743220793147	0.51243538	6108
"GO:0006111"	"regulation of gluconeogenesis"	1	3.9934362304976116	0.02427522590083049	0.9328147254894259	0.27139997	null
"GO:0006139"	"nucleobase-containing compound metabolic process"	2	6.883016611277716	18.82728500884891	0.8436208381558299	0.27206623	null
"GO:0006259"	"DNA metabolic process"	1	6.358490883081258	5.6268046211314795	0.838644495475895	0.53184418	6139
"GO:0018130"	"heterocycle biosynthetic process"	1	6.526115221884509	8.277253100322714	0.8512565465747719	0.58117122	6139
"GO:0044271"	"cellular nitrogen compound biosynthetic process"	1	6.72073425943514	12.957025677761646	0.8480393220284501	0.565405	6139
"GO:1901362"	"organic cyclic compound biosynthetic process"	1	6.566525049392804	9.084396351119786	0.8593806418021432	0.56083619	6139
