"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006325","chromatin organization","BP",7,"N0.HOG0004347 N0.HOG0008842 N0.HOG0008344 N0.HOG0008489 N0.HOG0010124 N0.HOG0009975 N0.HOG0003448","GO:0006325",50,"GO:0006325",15,"GO:0006325",5,"GO:0006325",13,"GO:0006325",5,"GO:0006325",12,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."
"2","GO:0009404","toxin metabolic process","BP",1,"N0.HOG0008842","GO:0009404",8,"GO:0009404",3,"GO:0009404",1,"GO:0009404",2,"GO:0009404",1,"GO:0009404",1,"The chemical reactions and pathways involving a toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism."
"3","GO:0018364","peptidyl-glutamine methylation","BP",1,"N0.HOG0008842","GO:0018364",8,"GO:0018364",3,"GO:0018364",1,"GO:0018364",2,"GO:0018364",1,"GO:0018364",1,"The addition of a methyl group to a glutamine residue in a protein."
"4","GO:0018872","arsonoacetate metabolic process","BP",1,"N0.HOG0008842","GO:0018872",8,"GO:0018872",3,"GO:0018872",1,"GO:0018872",2,"GO:0018872",1,"GO:0018872",1,"The chemical reactions and pathways involving arsonoacetate, a synthetic, organic compound containing a single arsenic atom. Arsonoacetate and other arsenic containing compounds are used in agricultural applications as animal feed additives, cotton defoliants and post-emergence grass herbicides."
"5","GO:0030307","positive regulation of cell growth","BP",2,"N0.HOG0008842 N0.HOG0007765","GO:0030307",17,"GO:0030307",6,"GO:0030307",2,"GO:0030307",4,"GO:0030307",2,"GO:0030307",3,"Any process that activates or increases the frequency, rate, extent or direction of cell growth."
"6","GO:0032259","methylation","BP",4,"N0.HOG0004914 N0.HOG0008842 N0.HOG0003555 N0.HOG0014812","GO:0032259",37,"GO:0032259",14,"GO:0032259",4,"GO:0032259",5,"GO:0032259",6,"GO:0032259",8,"The process in which a methyl group is covalently attached to a molecule."
"7","GO:0045815","transcription initiation-coupled chromatin remodeling","BP",1,"N0.HOG0008842","GO:0045815",8,"GO:0045815",3,"GO:0045815",1,"GO:0045815",2,"GO:0045815",1,"GO:0045815",1,"An epigenetic mechanism of regulation of gene expression that involves chromatin remodeling to capacitate gene expression by either modifying the chromatin fiber, the nucleosomal histones, or the DNA."
"8","GO:0006355","regulation of DNA-templated transcription","BP",35,"N0.HOG0010731 N0.HOG0015153 N0.HOG0008353 N0.HOG0004915 N0.HOG0015151 N0.HOG0009196 N0.HOG0009109 N0.HOG0002535 N0.HOG0006209 N0.HOG0007619 N0.HOG0009224 N0.HOG0005664 N0.HOG0006231 N0.HOG0002890 N0.HOG0006010 N0.HOG0007545 N0.HOG0007162 N0.HOG0007956 N0.HOG0008741 N0.HOG0008210 N0.HOG0009715 N0.HOG0009518 N0.HOG0008744 N0.HOG0008326 N0.HOG0009405 N0.HOG0010063 N0.HOG0002945 N0.HOG0009975 N0.HOG0007417 N0.HOG0007987 N0.HOG0008489 N0.HOG0002518 N0.HOG0002987 N0.HOG0008068 N0.HOG0002014","GO:0006355",297,"GO:0006355",94,"GO:0006355",33,"GO:0006355",71,"GO:0006355",36,"GO:0006355",63,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"9","GO:0009909","regulation of flower development","BP",2,"N0.HOG0006240 N0.HOG0008741","GO:0009909",19,"GO:0009909",6,"GO:0009909",2,"GO:0009909",4,"GO:0009909",3,"GO:0009909",4,"Any process that modulates the frequency, rate or extent of flower development."
"10","GO:0010228","vegetative to reproductive phase transition of meristem","BP",4,"N0.HOG0008828 N0.HOG0008741 N0.HOG0008273 N0.HOG0007956","GO:0010228",23,"GO:0010228",6,"GO:0010228",2,"GO:0010228",6,"GO:0010228",4,"GO:0010228",5,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence."
"11","GO:0006334","nucleosome assembly","BP",2,"N0.HOG0003966 N0.HOG0007433","GO:0006334",22,"GO:0006334",9,"GO:0006334",2,"GO:0006334",4,"GO:0006334",2,"GO:0006334",5,"The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA."
"12","GO:0030261","chromosome condensation","BP",1,"N0.HOG0003966","GO:0030261",13,"GO:0030261",6,"GO:0030261",1,"GO:0030261",2,"GO:0030261",1,"GO:0030261",3,"The progressive compaction of dispersed interphase chromatin into threadlike chromosomes prior to mitotic or meiotic nuclear division, or during apoptosis, in eukaryotic cells."
"13","GO:0045910","negative regulation of DNA recombination","BP",1,"N0.HOG0003966","GO:0045910",13,"GO:0045910",6,"GO:0045910",1,"GO:0045910",2,"GO:0045910",1,"GO:0045910",3,"Any process that stops, prevents, or reduces the frequency, rate or extent of DNA recombination."
"14","GO:0046856","phosphatidylinositol dephosphorylation","BP",2,"N0.HOG0002858 N0.HOG0008751","GO:0046856",24,"GO:0046856",6,"GO:0046856",3,"GO:0046856",6,"GO:0046856",3,"GO:0046856",6,"The process of removing one or more phosphate groups from a phosphatidylinositol."
"15","GO:0006886","intracellular protein transport","BP",5,"N0.HOG0008706 N0.HOG0008215 N0.HOG0001950 N0.HOG0002135 N0.HOG0002014","GO:0006886",31,"GO:0006886",9,"GO:0006886",4,"GO:0006886",6,"GO:0006886",4,"GO:0006886",8,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell."
"16","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","BP",2,"N0.HOG0008706 N0.HOG0008215","GO:0006888",18,"GO:0006888",6,"GO:0006888",2,"GO:0006888",4,"GO:0006888",2,"GO:0006888",4,"The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi."
"17","GO:0015031","protein transport","BP",14,"N0.HOG0008706 N0.HOG0008215 N0.HOG0011860 N0.HOG0005111 N0.HOG0007396 N0.HOG0002131 N0.HOG0003137 N0.HOG0008300 N0.HOG0010003 N0.HOG0006837 N0.HOG0005487 N0.HOG0015158 N0.HOG0006223 N0.HOG0002014","GO:0015031",124,"GO:0015031",39,"GO:0015031",14,"GO:0015031",30,"GO:0015031",15,"GO:0015031",26,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"18","GO:0016192","vesicle-mediated transport","BP",7,"N0.HOG0008706 N0.HOG0008215 N0.HOG0005111 N0.HOG0002131 N0.HOG0002135 N0.HOG0009790 N0.HOG0002014","GO:0016192",49,"GO:0016192",15,"GO:0016192",6,"GO:0016192",10,"GO:0016192",6,"GO:0016192",12,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane."
"19","GO:0090114","COPII-coated vesicle budding","BP",1,"N0.HOG0008706","GO:0090114",9,"GO:0090114",3,"GO:0090114",1,"GO:0090114",2,"GO:0090114",1,"GO:0090114",2,"The evagination of an endoplasmic reticulum membrane, resulting in formation of a COPII-coated vesicle."
"20","GO:0000103","sulfate assimilation","BP",1,"N0.HOG0008749","GO:0000103",9,"GO:0000103",3,"GO:0000103",1,"GO:0000103",2,"GO:0000103",1,"GO:0000103",2,"The pathways by which inorganic sulfate is processed and incorporated into sulfated compounds."
"21","GO:0070814","hydrogen sulfide biosynthetic process","BP",1,"N0.HOG0008749","GO:0070814",9,"GO:0070814",3,"GO:0070814",1,"GO:0070814",2,"GO:0070814",1,"GO:0070814",2,"The chemical reactions and pathways resulting in the formation of hydrogen sulfide, H2S."
"22","GO:0015914","phospholipid transport","BP",1,"N0.HOG0002869","GO:0015914",14,"GO:0015914",3,"GO:0015914",1,"GO:0015914",5,"GO:0015914",3,"GO:0015914",2,"The directed movement of phospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Phospholipids are any lipids containing phosphoric acid as a mono- or diester."
"23","GO:0120009","intermembrane lipid transfer","BP",1,"N0.HOG0002869","GO:0120009",14,"GO:0120009",3,"GO:0120009",1,"GO:0120009",5,"GO:0120009",3,"GO:0120009",2,"The transport of lipids between membranes in which a lipid molecule is transported through an aqueous phase from the outer leaflet of a donor membrane to the outer leaflet of an acceptor membrane. This process does not require metabolic energy and can be either spontaneous or mediated by lipid transfer proteins (LTPs)."
"24","GO:0005975","carbohydrate metabolic process","BP",5,"N0.HOG0003991 N0.HOG0010327 N0.HOG0008554 N0.HOG0007993 N0.HOG0005262","GO:0005975",40,"GO:0005975",12,"GO:0005975",5,"GO:0005975",10,"GO:0005975",6,"GO:0005975",7,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"25","GO:0008152","metabolic process","BP",8,"N0.HOG0010327 N0.HOG0008278 N0.HOG0006064 N0.HOG0001684 N0.HOG0009574 N0.HOG0005313 N0.HOG0008554 N0.HOG0007510","GO:0008152",83,"GO:0008152",25,"GO:0008152",10,"GO:0008152",20,"GO:0008152",12,"GO:0008152",16,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
"26","GO:0071555","cell wall organization","BP",5,"N0.HOG0007551 N0.HOG0005826 N0.HOG0002428 N0.HOG0008554 N0.HOG0003823","GO:0071555",49,"GO:0071555",15,"GO:0071555",5,"GO:0071555",9,"GO:0071555",5,"GO:0071555",15,"A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
"27","GO:0010196","nonphotochemical quenching","BP",1,"N0.HOG0008830","GO:0010196",9,"GO:0010196",3,"GO:0010196",1,"GO:0010196",2,"GO:0010196",1,"GO:0010196",2,"The process by which excess light energy absorbed by chlorophyll and not used to drive photosynthesis is emitted as heat. This process helps maintain the balance between dissipation and utilization of light energy to minimize generation of oxidizing molecules, thereby protecting the plant against photo-oxidative damage."
"28","GO:0010478","chlororespiration","BP",1,"N0.HOG0008830","GO:0010478",9,"GO:0010478",3,"GO:0010478",1,"GO:0010478",2,"GO:0010478",1,"GO:0010478",2,"A respiratory electron flow (from NAD(P)H to plastoquinone (PQ) and O2) involving both a nonphotochemical reduction and re-oxidation of PQ pool."
"29","GO:0070370","cellular heat acclimation","BP",1,"N0.HOG0008830","GO:0070370",9,"GO:0070370",3,"GO:0070370",1,"GO:0070370",2,"GO:0070370",1,"GO:0070370",2,"Any process that increases heat tolerance of a cell in response to high temperatures."
"30","GO:0009738","abscisic acid-activated signaling pathway","BP",4,"N0.HOG0000456 N0.HOG0004685 N0.HOG0006716 N0.HOG0009279","GO:0009738",44,"GO:0009738",12,"GO:0009738",6,"GO:0009738",10,"GO:0009738",7,"GO:0009738",9,"The series of molecular signals generated by the binding of the plant hormone abscisic acid (ABA) to a receptor, and ending with modulation of a cellular process, e.g. transcription."
"31","GO:0016310","phosphorylation","BP",35,"N0.HOG0009666 N0.HOG0000456 N0.HOG0007316 N0.HOG0005734 N0.HOG0009396 N0.HOG0004685 N0.HOG0003579 N0.HOG0009108 N0.HOG0009109 N0.HOG0001684 N0.HOG0007675 N0.HOG0007410 N0.HOG0007803 N0.HOG0014466 N0.HOG0004462 N0.HOG0006234 N0.HOG0008805 N0.HOG0009574 N0.HOG0005262 N0.HOG0004074 N0.HOG0005204 N0.HOG0007886 N0.HOG0007460 N0.HOG0008300 N0.HOG0008509 N0.HOG0006033 N0.HOG0009499 N0.HOG0012718 N0.HOG0009747 N0.HOG0004512 N0.HOG0009878 N0.HOG0011782 N0.HOG0002297 N0.HOG0007659 N0.HOG0009975","GO:0016310",327,"GO:0016310",97,"GO:0016310",39,"GO:0016310",83,"GO:0016310",43,"GO:0016310",65,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
"32","GO:0035556","intracellular signal transduction","BP",5,"N0.HOG0000456 N0.HOG0004685 N0.HOG0002654 N0.HOG0005204 N0.HOG0007849","GO:0035556",60,"GO:0035556",15,"GO:0035556",7,"GO:0035556",18,"GO:0035556",10,"GO:0035556",10,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"33","GO:0006779","porphyrin-containing compound biosynthetic process","BP",1,"N0.HOG0002024","GO:0006779",17,"GO:0006779",9,"GO:0006779",1,"GO:0006779",3,"GO:0006779",2,"GO:0006779",2,"The chemical reactions and pathways resulting in the formation of any member of a large group of derivatives or analogs of porphyrin. Porphyrin consists of a ring of four pyrrole nuclei linked each to the next at their alpha positions through a methine group."
"34","GO:0006782","protoporphyrinogen IX biosynthetic process","BP",1,"N0.HOG0002024","GO:0006782",17,"GO:0006782",9,"GO:0006782",1,"GO:0006782",3,"GO:0006782",2,"GO:0006782",2,"The chemical reactions and pathways resulting in the formation of protoporphyrinogen IX."
"35","GO:0015995","chlorophyll biosynthetic process","BP",2,"N0.HOG0013469 N0.HOG0002024","GO:0015995",25,"GO:0015995",12,"GO:0015995",2,"GO:0015995",4,"GO:0015995",3,"GO:0015995",4,"The chemical reactions and pathways resulting in the formation of chlorophyll, any compound of magnesium complexed in a porphyrin (tetrapyrrole) ring and which functions as a photosynthetic pigment, from less complex precursors."
"36","GO:0033014","tetrapyrrole biosynthetic process","BP",1,"N0.HOG0002024","GO:0033014",17,"GO:0033014",9,"GO:0033014",1,"GO:0033014",3,"GO:0033014",2,"GO:0033014",2,"The chemical reactions and pathways leading to the formation of tetrapyrroles, natural pigments containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next."
"37","GO:0000304","response to singlet oxygen","BP",1,"N0.HOG0008595","GO:0000304",9,"GO:0000304",3,"GO:0000304",1,"GO:0000304",2,"GO:0000304",1,"GO:0000304",2,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a singlet oxygen stimulus. Singlet oxygen is a dioxygen (O2) molecule in which two 2p electrons have similar spin. Singlet oxygen is more highly reactive than the form in which these electrons are of opposite spin, and it is produced in mutant chloroplasts lacking carotenoids and by leukocytes during metabolic burst."
"38","GO:0010343","singlet oxygen-mediated programmed cell death","BP",1,"N0.HOG0008595","GO:0010343",9,"GO:0010343",3,"GO:0010343",1,"GO:0010343",2,"GO:0010343",1,"GO:0010343",2,"Programmed cell death induced by singlet oxygen. Programmed cell death is the cell death resulting from activation of endogenous cellular processes."
"39","GO:0006099","tricarboxylic acid cycle","BP",2,"N0.HOG0005500 N0.HOG0005386","GO:0006099",22,"GO:0006099",9,"GO:0006099",2,"GO:0006099",5,"GO:0006099",2,"GO:0006099",4,"A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle."
"40","GO:0006107","oxaloacetate metabolic process","BP",2,"N0.HOG0008450 N0.HOG0005386","GO:0006107",20,"GO:0006107",6,"GO:0006107",2,"GO:0006107",6,"GO:0006107",2,"GO:0006107",4,"The chemical reactions and pathways involving oxaloacetate, the anion of oxobutanedioic acid, an important intermediate in metabolism, especially as a component of the TCA cycle."
