"","x"
"1","N0.HOG0012484"
"2","N0.HOG0008741"
"3","N0.HOG0008722"
"4","N0.HOG0002858"
"5","N0.HOG0008749"
"6","N0.HOG0002024"
"7","N0.HOG0005386"
"8","N0.HOG0001797"
"9","N0.HOG0008783"
"10","N0.HOG0008509"
"11","N0.HOG0008561"
"12","N0.HOG0008797"
"13","N0.HOG0008751"
"14","N0.HOG0007316"
"15","N0.HOG0000900"
"16","N0.HOG0008589"
"17","N0.HOG0008450"
"18","N0.HOG0002135"
"19","N0.HOG0002410"
"20","N0.HOG0002428"
"21","N0.HOG0009718"
"22","N0.HOG0005734"
"23","N0.HOG0009782"
"24","N0.HOG0009909"
"25","N0.HOG0009880"
"26","N0.HOG0002535"
"27","N0.HOG0009666"
"28","N0.HOG0007051"
"29","N0.HOG0004915"
"30","N0.HOG0009747"
"31","N0.HOG0006998"
"32","N0.HOG0009968"
"33","N0.HOG0010731"
"34","N0.HOG0007558"
"35","N0.HOG0006045"
"36","N0.HOG0007619"
"37","N0.HOG0007765"
"38","N0.HOG0006033"
"39","N0.HOG0007551"
"40","N0.HOG0007671"
"41","N0.HOG0007545"
"42","N0.HOG0005118"
"43","N0.HOG0005500"
"44","N0.HOG0008933"
"45","N0.HOG0008210"
"46","N0.HOG0008273"
"47","N0.HOG0006443"
"48","N0.HOG0010063"
"49","N0.HOG0010014"
"50","N0.HOG0001853"
"51","N0.HOG0010007"
"52","N0.HOG0008235"
"53","N0.HOG0006842"
"54","N0.HOG0003895"
"55","N0.HOG0007819"
"56","N0.HOG0007803"
"57","N0.HOG0007822"
"58","N0.HOG0005573"
"59","N0.HOG0005611"
"60","N0.HOG0009284"
"61","N0.HOG0005594"
"62","N0.HOG0009285"
"63","N0.HOG0004074"
"64","N0.HOG0009322"
"65","N0.HOG0000049"
"66","N0.HOG0013469"
"67","N0.HOG0006835"
"68","N0.HOG0009961"
"69","N0.HOG0004513"
"70","N0.HOG0015098"
"71","N0.HOG0009108"
"72","N0.HOG0009109"
"73","N0.HOG0009167"
"74","N0.HOG0007902"
"75","N0.HOG0006209"
"76","N0.HOG0003177"
"77","N0.HOG0011630"
"78","N0.HOG0003674"
"79","N0.HOG0002498"
"80","N0.HOG0009587"
"81","N0.HOG0005664"
"82","N0.HOG0009499"
"83","N0.HOG0005955"
"84","N0.HOG0010327"
"85","N0.HOG0007849"
"86","N0.HOG0002007"
"87","N0.HOG0008989"
"88","N0.HOG0015153"
"89","N0.HOG0010022"
