"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006325","chromatin organization","BP",4,"N0.HOG0004347 N0.HOG0008842 N0.HOG0008344 N0.HOG0003448","GO:0006325",31,"GO:0006325",9,"GO:0006325",3,"GO:0006325",8,"GO:0006325",3,"GO:0006325",8,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."
"2","GO:0009404","toxin metabolic process","BP",1,"N0.HOG0008842","GO:0009404",8,"GO:0009404",3,"GO:0009404",1,"GO:0009404",2,"GO:0009404",1,"GO:0009404",1,"The chemical reactions and pathways involving a toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism."
"3","GO:0018364","peptidyl-glutamine methylation","BP",1,"N0.HOG0008842","GO:0018364",8,"GO:0018364",3,"GO:0018364",1,"GO:0018364",2,"GO:0018364",1,"GO:0018364",1,"The addition of a methyl group to a glutamine residue in a protein."
"4","GO:0018872","arsonoacetate metabolic process","BP",1,"N0.HOG0008842","GO:0018872",8,"GO:0018872",3,"GO:0018872",1,"GO:0018872",2,"GO:0018872",1,"GO:0018872",1,"The chemical reactions and pathways involving arsonoacetate, a synthetic, organic compound containing a single arsenic atom. Arsonoacetate and other arsenic containing compounds are used in agricultural applications as animal feed additives, cotton defoliants and post-emergence grass herbicides."
"5","GO:0030307","positive regulation of cell growth","BP",1,"N0.HOG0008842","GO:0030307",8,"GO:0030307",3,"GO:0030307",1,"GO:0030307",2,"GO:0030307",1,"GO:0030307",1,"Any process that activates or increases the frequency, rate, extent or direction of cell growth."
"6","GO:0032259","methylation","BP",2,"N0.HOG0008842 N0.HOG0014812","GO:0032259",15,"GO:0032259",6,"GO:0032259",2,"GO:0032259",2,"GO:0032259",2,"GO:0032259",3,"The process in which a methyl group is covalently attached to a molecule."
"7","GO:0045815","transcription initiation-coupled chromatin remodeling","BP",1,"N0.HOG0008842","GO:0045815",8,"GO:0045815",3,"GO:0045815",1,"GO:0045815",2,"GO:0045815",1,"GO:0045815",1,"An epigenetic mechanism of regulation of gene expression that involves chromatin remodeling to capacitate gene expression by either modifying the chromatin fiber, the nucleosomal histones, or the DNA."
"8","GO:0005975","carbohydrate metabolic process","BP",2,"N0.HOG0008554 N0.HOG0007993","GO:0005975",18,"GO:0005975",6,"GO:0005975",2,"GO:0005975",4,"GO:0005975",2,"GO:0005975",4,"The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"9","GO:0008152","metabolic process","BP",3,"N0.HOG0008278 N0.HOG0008554 N0.HOG0007510","GO:0008152",27,"GO:0008152",9,"GO:0008152",3,"GO:0008152",6,"GO:0008152",3,"GO:0008152",6,"The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation."
"10","GO:0071555","cell wall organization","BP",1,"N0.HOG0008554","GO:0071555",9,"GO:0071555",3,"GO:0071555",1,"GO:0071555",2,"GO:0071555",1,"GO:0071555",2,"A process that results in the assembly, arrangement of constituent parts, or disassembly of the cell wall, the rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."
