"","x"
"1","N0.HOG0008842"
"2","N0.HOG0008554"
"3","N0.HOG0008573"
"4","N0.HOG0002890"
"5","N0.HOG0004685"
"6","N0.HOG0008828"
"7","N0.HOG0008824"
"8","N0.HOG0008814"
"9","N0.HOG0008798"
"10","N0.HOG0003448"
"11","N0.HOG0006632"
"12","N0.HOG0008667"
"13","N0.HOG0008874"
"14","N0.HOG0006580"
"15","N0.HOG0003994"
"16","N0.HOG0006598"
"17","N0.HOG0008765"
"18","N0.HOG0008030"
"19","N0.HOG0002038"
"20","N0.HOG0008688"
"21","N0.HOG0001502"
"22","N0.HOG0006679"
"23","N0.HOG0006716"
"24","N0.HOG0009821"
"25","N0.HOG0001801"
"26","N0.HOG0000908"
"27","N0.HOG0014466"
"28","N0.HOG0002116"
"29","N0.HOG0009808"
"30","N0.HOG0009891"
"31","N0.HOG0002131"
"32","N0.HOG0009790"
"33","N0.HOG0009873"
"34","N0.HOG0005736"
"35","N0.HOG0004908"
"36","N0.HOG0009842"
"37","N0.HOG0009876"
"38","N0.HOG0003607"
"39","N0.HOG0002094"
"40","N0.HOG0014285"
"41","N0.HOG0009716"
"42","N0.HOG0014903"
"43","N0.HOG0009982"
"44","N0.HOG0005460"
"45","N0.HOG0005982"
"46","N0.HOG0007462"
"47","N0.HOG0007644"
"48","N0.HOG0007510"
"49","N0.HOG0007579"
"50","N0.HOG0007518"
"51","N0.HOG0005167"
"52","N0.HOG0007680"
"53","N0.HOG0002654"
"54","N0.HOG0006020"
"55","N0.HOG0007532"
"56","N0.HOG0003137"
"57","N0.HOG0007698"
"58","N0.HOG0006108"
"59","N0.HOG0007419"
"60","N0.HOG0007433"
"61","N0.HOG0010797"
"62","N0.HOG0007431"
"63","N0.HOG0005952"
"64","N0.HOG0010554"
"65","N0.HOG0006011"
"66","N0.HOG0007573"
"67","N0.HOG0007570"
"68","N0.HOG0006010"
"69","N0.HOG0007460"
"70","N0.HOG0002641"
"71","N0.HOG0007396"
"72","N0.HOG0007398"
"73","N0.HOG0003710"
"74","N0.HOG0008949"
"75","N0.HOG0008908"
"76","N0.HOG0004347"
"77","N0.HOG0008923"
"78","N0.HOG0006460"
"79","N0.HOG0003362"
"80","N0.HOG0008347"
"81","N0.HOG0010127"
"82","N0.HOG0003870"
"83","N0.HOG0002014"
"84","N0.HOG0008278"
"85","N0.HOG0015158"
"86","N0.HOG0009996"
"87","N0.HOG0015172"
"88","N0.HOG0010076"
"89","N0.HOG0004141"
"90","N0.HOG0007313"
"91","N0.HOG0009995"
"92","N0.HOG0010026"
"93","N0.HOG0008132"
"94","N0.HOG0007121"
"95","N0.HOG0006341"
"96","N0.HOG0003926"
"97","N0.HOG0006399"
"98","N0.HOG0008212"
"99","N0.HOG0008344"
"100","N0.HOG0008268"
"101","N0.HOG0008336"
"102","N0.HOG0008300"
"103","N0.HOG0008215"
"104","N0.HOG0011860"
"105","N0.HOG0007810"
"106","N0.HOG0004459"
"107","N0.HOG0007784"
"108","N0.HOG0007808"
"109","N0.HOG0009236"
"110","N0.HOG0009212"
"111","N0.HOG0009279"
"112","N0.HOG0009431"
"113","N0.HOG0009421"
"114","N0.HOG0009404"
"115","N0.HOG0009171"
"116","N0.HOG0006273"
"117","N0.HOG0002365"
"118","N0.HOG0006274"
"119","N0.HOG0009205"
"120","N0.HOG0005487"
"121","N0.HOG0007338"
"122","N0.HOG0009336"
"123","N0.HOG0009405"
"124","N0.HOG0014812"
"125","N0.HOG0009392"
"126","N0.HOG0002091"
"127","N0.HOG0002945"
"128","N0.HOG0006761"
"129","N0.HOG0013894"
"130","N0.HOG0013884"
"131","N0.HOG0005632"
"132","N0.HOG0005638"
"133","N0.HOG0006231"
"134","N0.HOG0006234"
"135","N0.HOG0008038"
"136","N0.HOG0008068"
"137","N0.HOG0008056"
"138","N0.HOG0007893"
"139","N0.HOG0005215"
"140","N0.HOG0005226"
"141","N0.HOG0011647"
"142","N0.HOG0007933"
"143","N0.HOG0007993"
"144","N0.HOG0009514"
"145","N0.HOG0009518"
"146","N0.HOG0009609"
"147","N0.HOG0001950"
"148","N0.HOG0002018"
"149","N0.HOG0002381"
"150","N0.HOG0002518"
"151","N0.HOG0009924"
"152","N0.HOG0009630"
"153","N0.HOG0001278"
"154","N0.HOG0009604"
"155","N0.HOG0014005"
"156","N0.HOG0002987"
"157","N0.HOG0007162"
"158","N0.HOG0007176"
"159","N0.HOG0007161"
"160","N0.HOG0008027"
"161","N0.HOG0008326"
"162","N0.HOG0007987"
