"","x"
"1","N0.HOG0002869"
"2","N0.HOG0006605"
"3","N0.HOG0005386"
"4","N0.HOG0002025"
"5","N0.HOG0004647"
"6","N0.HOG0006548"
"7","N0.HOG0002924"
"8","N0.HOG0005418"
"9","N0.HOG0004687"
"10","N0.HOG0000900"
"11","N0.HOG0004396"
"12","N0.HOG0004931"
"13","N0.HOG0004512"
"14","N0.HOG0007577"
"15","N0.HOG0005734"
"16","N0.HOG0001401"
"17","N0.HOG0004908"
"18","N0.HOG0001331"
"19","N0.HOG0004915"
"20","N0.HOG0003607"
"21","N0.HOG0006998"
"22","N0.HOG0005093"
"23","N0.HOG0000362"
"24","N0.HOG0003186"
"25","N0.HOG0005139"
"26","N0.HOG0002654"
"27","N0.HOG0003137"
"28","N0.HOG0007494"
"29","N0.HOG0005130"
"30","N0.HOG0007374"
"31","N0.HOG0006010"
"32","N0.HOG0003710"
"33","N0.HOG0005220"
"34","N0.HOG0004347"
"35","N0.HOG0001967"
"36","N0.HOG0003362"
"37","N0.HOG0004503"
"38","N0.HOG0004486"
"39","N0.HOG0004793"
"40","N0.HOG0006377"
"41","N0.HOG0004560"
"42","N0.HOG0001757"
"43","N0.HOG0003895"
"44","N0.HOG0002746"
"45","N0.HOG0004459"
"46","N0.HOG0001933"
"47","N0.HOG0009239"
"48","N0.HOG0004110"
"49","N0.HOG0009326"
"50","N0.HOG0004099"
"51","N0.HOG0005487"
"52","N0.HOG0007099"
"53","N0.HOG0005521"
"54","N0.HOG0012580"
"55","N0.HOG0006761"
"56","N0.HOG0005249"
"57","N0.HOG0004462"
"58","N0.HOG0005215"
"59","N0.HOG0004139"
"60","N0.HOG0005664"
"61","N0.HOG0005665"
"62","N0.HOG0004123"
