"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0015914","phospholipid transport","BP",1,"N0.HOG0002869","GO:0015914",14,"GO:0015914",3,"GO:0015914",1,"GO:0015914",5,"GO:0015914",3,"GO:0015914",2,"The directed movement of phospholipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Phospholipids are any lipids containing phosphoric acid as a mono- or diester."
"2","GO:0120009","intermembrane lipid transfer","BP",1,"N0.HOG0002869","GO:0120009",14,"GO:0120009",3,"GO:0120009",1,"GO:0120009",5,"GO:0120009",3,"GO:0120009",2,"The transport of lipids between membranes in which a lipid molecule is transported through an aqueous phase from the outer leaflet of a donor membrane to the outer leaflet of an acceptor membrane. This process does not require metabolic energy and can be either spontaneous or mediated by lipid transfer proteins (LTPs)."
"3","GO:0006486","protein glycosylation","BP",2,"N0.HOG0004347 N0.HOG0006605","GO:0006486",22,"GO:0006486",6,"GO:0006486",2,"GO:0006486",8,"GO:0006486",2,"GO:0006486",4,"A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."
"4","GO:0019408","dolichol biosynthetic process","BP",1,"N0.HOG0006605","GO:0019408",10,"GO:0019408",3,"GO:0019408",1,"GO:0019408",4,"GO:0019408",1,"GO:0019408",1,"The chemical reactions and pathways resulting in the formation of dolichols, any 2,3-dihydropolyprenol derived from four or more linked isoprene units."
"5","GO:0006099","tricarboxylic acid cycle","BP",1,"N0.HOG0005386","GO:0006099",11,"GO:0006099",3,"GO:0006099",1,"GO:0006099",4,"GO:0006099",1,"GO:0006099",2,"A nearly universal metabolic pathway in which the acetyl group of acetyl coenzyme A is effectively oxidized to two CO2 and four pairs of electrons are transferred to coenzymes. The acetyl group combines with oxaloacetate to form citrate, which undergoes successive transformations to isocitrate, 2-oxoglutarate, succinyl-CoA, succinate, fumarate, malate, and oxaloacetate again, thus completing the cycle. In eukaryotes the tricarboxylic acid is confined to the mitochondria. See also glyoxylate cycle."
"6","GO:0006107","oxaloacetate metabolic process","BP",1,"N0.HOG0005386","GO:0006107",11,"GO:0006107",3,"GO:0006107",1,"GO:0006107",4,"GO:0006107",1,"GO:0006107",2,"The chemical reactions and pathways involving oxaloacetate, the anion of oxobutanedioic acid, an important intermediate in metabolism, especially as a component of the TCA cycle."
"7","GO:0006108","malate metabolic process","BP",2,"N0.HOG0000362 N0.HOG0005386","GO:0006108",24,"GO:0006108",6,"GO:0006108",2,"GO:0006108",8,"GO:0006108",4,"GO:0006108",4,"The chemical reactions and pathways involving malate, the anion of hydroxybutanedioic acid, a chiral hydroxydicarboxylic acid. The (+) enantiomer is an important intermediate in metabolism as a component of both the TCA cycle and the glyoxylate cycle."
"8","GO:0006734","NADH metabolic process","BP",1,"N0.HOG0005386","GO:0006734",11,"GO:0006734",3,"GO:0006734",1,"GO:0006734",4,"GO:0006734",1,"GO:0006734",2,"The chemical reactions and pathways involving reduced nicotinamide adenine dinucleotide (NADH), a coenzyme present in most living cells and derived from the B vitamin nicotinic acid."
"9","GO:0019752","carboxylic acid metabolic process","BP",1,"N0.HOG0005386","GO:0019752",11,"GO:0019752",3,"GO:0019752",1,"GO:0019752",4,"GO:0019752",1,"GO:0019752",2,"The chemical reactions and pathways involving carboxylic acids, any organic acid containing one or more carboxyl (COOH) groups or anions (COO-)."
"10","GO:0009653","anatomical structure morphogenesis","BP",1,"N0.HOG0002025","GO:0009653",17,"GO:0009653",1,"GO:0009653",1,"GO:0009653",7,"GO:0009653",4,"GO:0009653",4,"The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form."
