"","x"
"1","Misin01G201500"
"2","Misin02G199000"
"3","Misin02G449400"
"4","Os10g0478200"
"5","SORBI_3001G219300"
"6","TraesCS1A02G155200"
"7","TraesCS1B02G172400"
"8","TraesCS1D02G153900"
"9","Zm00001eb045790"
"10","Zm00001eb221790"
"11","Misin04G275200"
"12","Misin01G283900"
"13","Misin01G284000"
"14","Misin01G284900"
"15","Misin02G273300"
"16","Misin02G273400"
"17","Misin02G273500"
"18","Misin02G273700"
"19","Os10g0555900"
"20","SORBI_3001G300500"
"21","SORBI_3001G300700"
"22","SORBI_3001G300800"
"23","SORBI_3001G300900"
"24","TraesCS1D02G215400"
"25","Zm00001eb023400"
"26","Zm00001eb023420"
"27","Zm00001eb391350"
"28","Zm00001eb391360"
"29","Misin01G446600"
"30","Misin02G422800"
"31","Misin13G189000"
"32","Os03g0203700"
"33","SORBI_3001G464900"
"34","SORBI_3007G215200"
"35","TraesCS4A02G046800"
"36","TraesCS4B02G258000"
"37","TraesCS4D02G257900"
"38","Zm00001eb007650"
"39","Zm00001eb034200"
"40","Zm00001eb199600"
"41","Misin07G224500"
"42","Misin03G118400"
"43","Misin05G042200"
"44","Misin06G030500"
"45","MisinT539900"
"46","Os02g0754700"
"47","SORBI_3002G140000"
"48","SORBI_3003G040000"
"49","TraesCS2B02G560200"
"50","Zm00001eb122020"
"51","Misin03G146000"
"52","Misin04G164200"
"53","Os09g0345300"
"54","SORBI_3002G176500"
"55","SORBI_3002G176700"
"56","TraesCS5A02G186500"
"57","TraesCS5B02G184900"
"58","TraesCS5D02G191800"
"59","Zm00001eb310470"
"60","MisinT315400"
"61","Misin03G148500"
"62","Misin03G292100"
"63","Misin04G317100"
"64","Os07g0553400"
"65","SORBI_3002G334000"
"66","SORBI_3002G334100"
"67","SORBI_3002G334200"
"68","TraesCS2A02G210400"
"69","TraesCS2B02G236500"
"70","TraesCS2D02G217100"
"71","Zm00001eb106670"
"72","Zm00001eb323760"
"73","Misin03G291900"
"74","Misin03G292000"
"75","Misin03G328900"
"76","Misin04G319900"
"77","Misin07G230000"
"78","Misin13G183300"
"79","Os08g0506700"
"80","SORBI_3007G211000"
"81","TraesCS7A02G245800"
"82","TraesCS7B02G145800"
"83","TraesCS7D02G244300"
"84","Zm00001eb034940"
"85","Zm00001eb106720"
"86","Zm00001eb323880"
"87","Misin04G294200"
"88","Os07g0502900"
"89","SORBI_3002G311300"
"90","TraesCS2A02G487400"
"91","TraesCS2B02G514400"
"92","TraesCS2D02G487500"
"93","Zm00001eb322190"
"94","Misin03G271600"
"95","Misin03G271900"
"96","Misin03G271800"
"97","Misin05G018300"
"98","Misin05G018400"
"99","Misin06G008400"
"100","Misin06G008500"
"101","Os11g0186500"
"102","SORBI_3003G015000"
"103","SORBI_3003G015100"
"104","TraesCS3A02G145300"
"105","TraesCS3B02G172400"
"106","Zm00001eb119720"
"107","Zm00001eb338800"
"108","Misin05G319700"
"109","Misin05G321000"
"110","Misin05G322500"
"111","Misin06G313100"
"112","Os01g0833800"
"113","SORBI_3003G346000"
"114","TraesCS3B02G385100"
"115","TraesCS3D02G346500"
"116","Zm00001eb148890"
"117","Misin07G051700"
"118","Misin15G049000"
"119","Misin17G252700"
"120","Os02g0167100"
"121","SORBI_3004G053000"
"122","TraesCS6A02G140200"
"123","TraesCS6D02G128800"
"124","Zm00001eb207410"
"125","Misin17G179000"
"126","Misin17G252500"
"127","Misin17G183500"
"128","Misin08G051600"
"129","Misin08G138700"
"130","Misin14G079500"
"131","Os01g0218032"
"132","SORBI_3004G149800"
"133","SORBI_3008G085300"
"134","TraesCS5A02G169000"
"135","TraesCS5B02G165800"
"136","TraesCS5D02G173300"
"137","Zm00001eb202980"
"138","Zm00001eb241240"
"139","Misin15G097800"
"140","Misin15G097700"
"141","Misin07G374100"
"142","Misin11G009600"
"143","Misin11G266400"
"144","Misin12G020200"
"145","Misin15G068900"
"146","Os04g0682300"
"147","SORBI_3006G008200"
"148","SORBI_3006G271500"
"149","TraesCS2B02G599300"
"150","Zm00001eb065790"
"151","Misin11G258100"
"152","Misin11G258300"
"153","Misin12G264600"
"154","Misin12G264800"
"155","Os04g0666800"
"156","SORBI_3005G159100"
"157","SORBI_3006G256900"
"158","SORBI_3006G257100"
"159","TraesCS7A02G526800"
"160","TraesCS7B02G444100"
"161","Zm00001eb433080"
"162","Zm00001eb067090"
"163","Misin12G265100"
"164","Misin14G001900"
"165","Misin14G002300"
"166","Misin14G086900"
"167","MisinT054900"
"168","MisinT103100"
"169","Os12g0562400"
"170","SORBI_3005G002000"
"171","SORBI_3008G002000"
"172","TraesCS5D02G160300"
"173","Zm00001eb229070"
"174","Zm00001eb229100"
"175","Misin18G118800"
"176","Misin19G085600"
"177","Misin19G117200"
"178","Os06g0267500"
"179","SORBI_3010G111800"
"180","TraesCS7A02G208200"
"181","TraesCS7B02G115400"
"182","TraesCS7D02G210600"
"183","Zm00001eb280480"
"184","Zm00001eb280490"
"185","Misin04G220300"
