"","x"
"1","N0.HOG0011633"
"2","N0.HOG0011596"
"3","N0.HOG0015468"
"4","N0.HOG0001796"
"5","N0.HOG0016924"
"6","N0.HOG0012484"
"7","N0.HOG0012648"
"8","N0.HOG0008741"
"9","N0.HOG0001782"
"10","N0.HOG0008482"
"11","N0.HOG0008722"
"12","N0.HOG0002858"
"13","N0.HOG0008738"
"14","N0.HOG0003467"
"15","N0.HOG0003951"
"16","N0.HOG0012808"
"17","N0.HOG0016677"
"18","N0.HOG0008749"
"19","N0.HOG0016833"
"20","N0.HOG0016540"
"21","N0.HOG0016784"
"22","N0.HOG0000904"
"23","N0.HOG0012603"
"24","N0.HOG0003993"
"25","N0.HOG0001564"
"26","N0.HOG0012841"
"27","N0.HOG0016700"
"28","N0.HOG0016731"
"29","N0.HOG0019713"
"30","N0.HOG0002024"
"31","N0.HOG0003414"
"32","N0.HOG0005386"
"33","N0.HOG0012821"
"34","N0.HOG0019573"
"35","N0.HOG0003956"
"36","N0.HOG0008522"
"37","N0.HOG0002025"
"38","N0.HOG0019510"
"39","N0.HOG0001797"
"40","N0.HOG0008783"
"41","N0.HOG0016539"
"42","N0.HOG0012965"
"43","N0.HOG0012493"
"44","N0.HOG0019578"
"45","N0.HOG0016774"
"46","N0.HOG0012729"
"47","N0.HOG0002926"
"48","N0.HOG0008509"
"49","N0.HOG0008561"
"50","N0.HOG0016550"
"51","N0.HOG0008858"
"52","N0.HOG0008797"
"53","N0.HOG0012460"
"54","N0.HOG0008734"
"55","N0.HOG0008751"
"56","N0.HOG0007316"
"57","N0.HOG0016640"
"58","N0.HOG0000900"
"59","N0.HOG0016566"
"60","N0.HOG0008434"
"61","N0.HOG0008589"
"62","N0.HOG0002892"
"63","N0.HOG0008450"
"64","N0.HOG0004371"
"65","N0.HOG0012844"
"66","N0.HOG0019687"
"67","N0.HOG0016573"
"68","N0.HOG0002028"
"69","N0.HOG0003441"
"70","N0.HOG0017123"
"71","N0.HOG0016742"
"72","N0.HOG0004049"
"73","N0.HOG0017118"
"74","N0.HOG0019830"
"75","N0.HOG0019647"
"76","N0.HOG0016880"
"77","N0.HOG0009000"
"78","N0.HOG0017093"
"79","N0.HOG0017179"
"80","N0.HOG0013883"
"81","N0.HOG0018066"
"82","N0.HOG0002135"
"83","N0.HOG0009662"
"84","N0.HOG0017922"
"85","N0.HOG0018017"
"86","N0.HOG0014613"
"87","N0.HOG0002410"
"88","N0.HOG0002428"
"89","N0.HOG0009718"
"90","N0.HOG0007577"
"91","N0.HOG0017926"
"92","N0.HOG0004904"
"93","N0.HOG0004833"
"94","N0.HOG0005734"
"95","N0.HOG0014293"
"96","N0.HOG0007022"
"97","N0.HOG0020285"
"98","N0.HOG0014749"
"99","N0.HOG0020363"
"100","N0.HOG0009782"
"101","N0.HOG0001852"
"102","N0.HOG0014455"
"103","N0.HOG0014326"
"104","N0.HOG0017594"
"105","N0.HOG0009909"
"106","N0.HOG0009880"
"107","N0.HOG0009753"
"108","N0.HOG0018032"
"109","N0.HOG0001843"
"110","N0.HOG0014488"
"111","N0.HOG0017965"
"112","N0.HOG0002535"
"113","N0.HOG0020281"
"114","N0.HOG0018037"
"115","N0.HOG0014530"
"116","N0.HOG0014330"
"117","N0.HOG0014626"
"118","N0.HOG0001331"
"119","N0.HOG0009666"
"120","N0.HOG0007051"
"121","N0.HOG0020333"
"122","N0.HOG0002908"
"123","N0.HOG0014734"
"124","N0.HOG0020343"
"125","N0.HOG0014251"
"126","N0.HOG0020342"
"127","N0.HOG0004915"
"128","N0.HOG0004921"
"129","N0.HOG0017859"
