"","x"
"1","Misin01G148400"
"2","Misin02G114000"
"3","Misin02G444500"
"4","Os03g0197000"
"5","SORBI_3001G469700"
"6","TraesCS4A02G042300"
"7","TraesCS4B02G263000"
"8","TraesCS4D02G263100"
"9","Zm00001eb008090"
"10","Misin01G456100"
"11","Misin01G357800"
"12","Misin02G337900"
"13","Misin03G310800"
"14","Misin04G391500"
"15","Os03g0343500"
"16","SORBI_3001G376600"
"17","SORBI_3002G414700"
"18","TraesCS7A02G344500"
"19","TraesCS7B02G238600"
"20","TraesCS7D02G335000"
"21","Zm00001eb111360"
"22","Zm00001eb330470"
"23","Zm00001eb394940"
"24","Misin03G070000"
"25","Misin04G092000"
"26","Misin18G001300"
"27","Misin18G002100"
"28","Os05g0187000"
"29","SORBI_3010G007400"
"30","SORBI_3002G087000"
"31","SORBI_3003G035601"
"32","TraesCS1A02G122700"
"33","TraesCS1D02G123600"
"34","Zm00001eb268750"
"35","Zm00001eb304090"
"36","Misin03G151100"
"37","Misin04G165600"
"38","Misin07G517000"
"39","Misin07G517400"
"40","Misin18G065100"
"41","Misin19G069900"
"42","Os02g0785800"
"43","SORBI_3010G070500"
"44","SORBI_3002G179300"
"45","SORBI_3004G322200"
"46","TraesCS7A02G155900"
"47","TraesCS7D02G156300"
"48","Zm00001eb098510"
"49","Zm00001eb374200"
"50","Misin03G290500"
"51","Misin04G316100"
"52","Misin07G544600"
"53","Os07g0549700"
"54","SORBI_3002G332750"
"55","SORBI_3004G347600"
"56","TraesCS2A02G212100"
"57","TraesCS2B02G237200"
"58","TraesCS2D02G218000"
"59","Zm00001eb106630"
"60","Zm00001eb323620"
"61","Misin03G290400"
"62","Misin03G331200"
"63","Misin03G331500"
"64","Misin04G347900"
"65","Misin04G348000"
"66","Misin04G348100"
"67","Os07g0614000"
"68","SORBI_3002G373100"
"69","SORBI_3002G373200"
"70","TraesCS2A02G170200"
"71","TraesCS2B02G196500"
"72","TraesCS2D02G177700"
"73","Zm00001eb092910"
"74","Zm00001eb109110"
"75","Zm00001eb113400"
"76","Misin05G138300"
"77","Misin06G127400"
"78","Misin16G126600"
"79","Misin17G100300"
"80","Misin17G100400"
