"","x"
"1","N0.HOG0006605"
"2","N0.HOG0002924"
"3","N0.HOG0004931"
"4","N0.HOG0001401"
"5","N0.HOG0004908"
"6","N0.HOG0003607"
"7","N0.HOG0002654"
"8","N0.HOG0003137"
"9","N0.HOG0005130"
"10","N0.HOG0006010"
"11","N0.HOG0003710"
"12","N0.HOG0005220"
"13","N0.HOG0004347"
"14","N0.HOG0001967"
"15","N0.HOG0003362"
"16","N0.HOG0001757"
"17","N0.HOG0004459"
"18","N0.HOG0001933"
"19","N0.HOG0009326"
"20","N0.HOG0005487"
"21","N0.HOG0012580"
"22","N0.HOG0006761"
"23","N0.HOG0005249"
"24","N0.HOG0005215"
