"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006486","protein glycosylation","BP",2,"N0.HOG0004347 N0.HOG0006605","GO:0006486",22,"GO:0006486",6,"GO:0006486",2,"GO:0006486",8,"GO:0006486",2,"GO:0006486",4,"A protein modification process that results in the addition of a carbohydrate or carbohydrate derivative unit to a protein amino acid, e.g. the addition of glycan chains to proteins."
"2","GO:0019408","dolichol biosynthetic process","BP",1,"N0.HOG0006605","GO:0019408",10,"GO:0019408",3,"GO:0019408",1,"GO:0019408",4,"GO:0019408",1,"GO:0019408",1,"The chemical reactions and pathways resulting in the formation of dolichols, any 2,3-dihydropolyprenol derived from four or more linked isoprene units."
"3","GO:0006412","translation","BP",4,"N0.HOG0002924 N0.HOG0001401 N0.HOG0005215 N0.HOG0001757","GO:0006412",49,"GO:0006412",10,"GO:0006412",4,"GO:0006412",19,"GO:0006412",7,"GO:0006412",9,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"4","GO:0006508","proteolysis","BP",1,"N0.HOG0004931","GO:0006508",12,"GO:0006508",2,"GO:0006508",1,"GO:0006508",4,"GO:0006508",3,"GO:0006508",2,"The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds."
"5","GO:0051603","proteolysis involved in protein catabolic process","BP",1,"N0.HOG0004931","GO:0051603",12,"GO:0051603",2,"GO:0051603",1,"GO:0051603",4,"GO:0051603",3,"GO:0051603",2,"The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells."
"6","GO:0006811","monoatomic ion transport","BP",1,"N0.HOG0004908","GO:0006811",12,"GO:0006811",3,"GO:0006811",1,"GO:0006811",4,"GO:0006811",2,"GO:0006811",2,"The directed movement of a monoatomic ion into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."
"7","GO:1902600","proton transmembrane transport","BP",1,"N0.HOG0004908","GO:1902600",12,"GO:1902600",3,"GO:1902600",1,"GO:1902600",4,"GO:1902600",2,"GO:1902600",2,NA
"8","GO:0009058","biosynthetic process","BP",1,"N0.HOG0003607","GO:0009058",14,"GO:0009058",3,"GO:0009058",1,"GO:0009058",5,"GO:0009058",2,"GO:0009058",3,"The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"9","GO:0006629","lipid metabolic process","BP",2,"N0.HOG0002654 N0.HOG0009326","GO:0006629",24,"GO:0006629",4,"GO:0006629",2,"GO:0006629",10,"GO:0006629",5,"GO:0006629",3,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids."
"10","GO:0006654","phosphatidic acid biosynthetic process","BP",1,"N0.HOG0002654","GO:0006654",15,"GO:0006654",3,"GO:0006654",1,"GO:0006654",6,"GO:0006654",3,"GO:0006654",2,"The chemical reactions and pathways resulting in the formation of phosphatidic acid, any derivative of glycerol phosphate in which both the remaining hydroxyl groups of the glycerol moiety are esterified with fatty acids."
"11","GO:0008610","lipid biosynthetic process","BP",1,"N0.HOG0002654","GO:0008610",15,"GO:0008610",3,"GO:0008610",1,"GO:0008610",6,"GO:0008610",3,"GO:0008610",2,"The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
"12","GO:0016042","lipid catabolic process","BP",1,"N0.HOG0002654","GO:0016042",15,"GO:0016042",3,"GO:0016042",1,"GO:0016042",6,"GO:0016042",3,"GO:0016042",2,"The chemical reactions and pathways resulting in the breakdown of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
"13","GO:0035556","intracellular signal transduction","BP",1,"N0.HOG0002654","GO:0035556",15,"GO:0035556",3,"GO:0035556",1,"GO:0035556",6,"GO:0035556",3,"GO:0035556",2,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"14","GO:0048364","root development","BP",1,"N0.HOG0002654","GO:0048364",15,"GO:0048364",3,"GO:0048364",1,"GO:0048364",6,"GO:0048364",3,"GO:0048364",2,"The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
"15","GO:0015031","protein transport","BP",2,"N0.HOG0003137 N0.HOG0005487","GO:0015031",25,"GO:0015031",6,"GO:0015031",2,"GO:0015031",10,"GO:0015031",4,"GO:0015031",3,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"16","GO:0046907","intracellular transport","BP",1,"N0.HOG0003137","GO:0046907",14,"GO:0046907",3,"GO:0046907",1,"GO:0046907",6,"GO:0046907",2,"GO:0046907",2,"The directed movement of substances within a cell."
"17","GO:0051028","mRNA transport","BP",1,"N0.HOG0003137","GO:0051028",14,"GO:0051028",3,"GO:0051028",1,"GO:0051028",6,"GO:0051028",2,"GO:0051028",2,"The directed movement of mRNA, messenger ribonucleic acid, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"18","GO:0006979","response to oxidative stress","BP",1,"N0.HOG0005130","GO:0006979",6,"GO:0006979",2,"GO:0006979",0,"GO:0006979",2,"GO:0006979",1,"GO:0006979",1,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
"19","GO:0030091","protein repair","BP",1,"N0.HOG0005130","GO:0030091",6,"GO:0030091",2,"GO:0030091",0,"GO:0030091",2,"GO:0030091",1,"GO:0030091",1,"The process of restoring a protein to its original state after damage by such things as oxidation or spontaneous decomposition of residues."
"20","GO:0006355","regulation of DNA-templated transcription","BP",1,"N0.HOG0006010","GO:0006355",10,"GO:0006355",3,"GO:0006355",1,"GO:0006355",4,"GO:0006355",1,"GO:0006355",1,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"21","GO:0006952","defense response","BP",1,"N0.HOG0006010","GO:0006952",6,"GO:0006952",3,"GO:0006952",1,"GO:0006952",2,"GO:0006952",0,"GO:0006952",0,"Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack."
"22","GO:0006970","response to osmotic stress","BP",1,"N0.HOG0005220","GO:0006970",11,"GO:0006970",3,"GO:0006970",1,"GO:0006970",5,"GO:0006970",1,"GO:0006970",1,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of solutes outside the organism or cell."
"23","GO:0009414","response to water deprivation","BP",1,"N0.HOG0005220","GO:0009414",11,"GO:0009414",3,"GO:0009414",1,"GO:0009414",5,"GO:0009414",1,"GO:0009414",1,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a water deprivation stimulus, prolonged deprivation of water."
"24","GO:0009651","response to salt stress","BP",2,"N0.HOG0005220 N0.HOG0004459","GO:0009651",12,"GO:0009651",3,"GO:0009651",1,"GO:0009651",6,"GO:0009651",1,"GO:0009651",1,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of salt (particularly but not exclusively sodium and chloride ions) in the environment."
"25","GO:0009737","response to abscisic acid","BP",1,"N0.HOG0005220","GO:0009737",11,"GO:0009737",3,"GO:0009737",1,"GO:0009737",5,"GO:0009737",1,"GO:0009737",1,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abscisic acid stimulus."
"26","GO:0009738","abscisic acid-activated signaling pathway","BP",1,"N0.HOG0005220","GO:0009738",11,"GO:0009738",3,"GO:0009738",1,"GO:0009738",5,"GO:0009738",1,"GO:0009738",1,"The series of molecular signals generated by the binding of the plant hormone abscisic acid (ABA) to a receptor, and ending with modulation of a cellular process, e.g. transcription."
"27","GO:0010029","regulation of seed germination","BP",1,"N0.HOG0005220","GO:0010029",11,"GO:0010029",3,"GO:0010029",1,"GO:0010029",5,"GO:0010029",1,"GO:0010029",1,"Any process that modulates the frequency, rate or extent of seed germination."
"28","GO:0010228","vegetative to reproductive phase transition of meristem","BP",1,"N0.HOG0005220","GO:0010228",11,"GO:0010228",3,"GO:0010228",1,"GO:0010228",5,"GO:0010228",1,"GO:0010228",1,"The process involved in transforming a meristem that produces vegetative structures, such as leaves, into a meristem that produces reproductive structures, such as a flower or an inflorescence."
"29","GO:0006110","regulation of glycolytic process","BP",1,"N0.HOG0004347","GO:0006110",12,"GO:0006110",3,"GO:0006110",1,"GO:0006110",4,"GO:0006110",1,"GO:0006110",3,"Any process that modulates the frequency, rate or extent of glycolysis."
"30","GO:0006111","regulation of gluconeogenesis","BP",1,"N0.HOG0004347","GO:0006111",12,"GO:0006111",3,"GO:0006111",1,"GO:0006111",4,"GO:0006111",1,"GO:0006111",3,"Any process that modulates the frequency, rate or extent of gluconeogenesis, the formation of glucose from noncarbohydrate precursors, such as pyruvate, amino acids and glycerol."
"31","GO:0006325","chromatin organization","BP",1,"N0.HOG0004347","GO:0006325",12,"GO:0006325",3,"GO:0006325",1,"GO:0006325",4,"GO:0006325",1,"GO:0006325",3,"The assembly or remodeling of chromatin composed of DNA complexed with histones, other associated proteins, and sometimes RNA."
"32","GO:0006493","protein O-linked glycosylation","BP",1,"N0.HOG0004347","GO:0006493",12,"GO:0006493",3,"GO:0006493",1,"GO:0006493",4,"GO:0006493",1,"GO:0006493",3,"A protein glycosylation process in which a carbohydrate or carbohydrate derivative unit is added to a protein via the hydroxyl group of peptidyl-serine, peptidyl-threonine, peptidyl-hydroxylysine, or peptidyl-hydroxyproline, or via the phenol group of peptidyl-tyrosine, forming an O-glycan."
"33","GO:0006915","apoptotic process","BP",1,"N0.HOG0004347","GO:0006915",12,"GO:0006915",3,"GO:0006915",1,"GO:0006915",4,"GO:0006915",1,"GO:0006915",3,"A programmed cell death process which begins when a cell receives an internal (e.g. DNA damage) or external signal (e.g. an extracellular death ligand), and proceeds through a series of biochemical events (signaling pathway phase) which trigger an execution phase. The execution phase is the last step of an apoptotic process, and is typically characterized by rounding-up of the cell, retraction of pseudopodes, reduction of cellular volume (pyknosis), chromatin condensation, nuclear fragmentation (karyorrhexis), plasma membrane blebbing and fragmentation of the cell into apoptotic bodies. When the execution phase is completed, the cell has died."
"34","GO:0016485","protein processing","BP",1,"N0.HOG0004347","GO:0016485",12,"GO:0016485",3,"GO:0016485",1,"GO:0016485",4,"GO:0016485",1,"GO:0016485",3,"Any protein maturation process achieved by the cleavage of a peptide bond or bonds within a protein. Protein maturation is the process leading to the attainment of the full functional capacity of a protein."
"35","GO:0031397","negative regulation of protein ubiquitination","BP",1,"N0.HOG0004347","GO:0031397",12,"GO:0031397",3,"GO:0031397",1,"GO:0031397",4,"GO:0031397",1,"GO:0031397",3,"Any process that stops, prevents, or reduces the frequency, rate or extent of the addition of ubiquitin groups to a protein."
"36","GO:0032922","circadian regulation of gene expression","BP",1,"N0.HOG0004347","GO:0032922",12,"GO:0032922",3,"GO:0032922",1,"GO:0032922",4,"GO:0032922",1,"GO:0032922",3,"Any process that modulates the frequency, rate or extent of gene expression such that an expression pattern recurs with a regularity of approximately 24 hours."
"37","GO:0045862","positive regulation of proteolysis","BP",1,"N0.HOG0004347","GO:0045862",12,"GO:0045862",3,"GO:0045862",1,"GO:0045862",4,"GO:0045862",1,"GO:0045862",3,"Any process that activates or increases the frequency, rate or extent of the hydrolysis of a peptide bond or bonds within a protein."
"38","GO:0045944","positive regulation of transcription by RNA polymerase II","BP",1,"N0.HOG0004347","GO:0045944",12,"GO:0045944",3,"GO:0045944",1,"GO:0045944",4,"GO:0045944",1,"GO:0045944",3,"Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter."
"39","GO:0048511","rhythmic process","BP",1,"N0.HOG0004347","GO:0048511",12,"GO:0048511",3,"GO:0048511",1,"GO:0048511",4,"GO:0048511",1,"GO:0048511",3,"Any process pertinent to the generation and maintenance of rhythms in the physiology of an organism."
"40","GO:0071333","cellular response to glucose stimulus","BP",1,"N0.HOG0004347","GO:0071333",12,"GO:0071333",3,"GO:0071333",1,"GO:0071333",4,"GO:0071333",1,"GO:0071333",3,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a glucose stimulus."
"41","GO:1904263","positive regulation of TORC1 signaling","BP",1,"N0.HOG0004347","GO:1904263",12,"GO:1904263",3,"GO:1904263",1,"GO:1904263",4,"GO:1904263",1,"GO:1904263",3,NA
"42","GO:0006865","amino acid transport","BP",1,"N0.HOG0001967","GO:0006865",12,"GO:0006865",3,"GO:0006865",1,"GO:0006865",4,"GO:0006865",2,"GO:0006865",2,"The directed movement of amino acids, organic acids containing one or more amino substituents, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
"43","GO:0006457","protein folding","BP",1,"N0.HOG0003362","GO:0006457",14,"GO:0006457",3,"GO:0006457",1,"GO:0006457",4,"GO:0006457",3,"GO:0006457",3,"The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure."
"44","GO:0006631","fatty acid metabolic process","BP",1,"N0.HOG0009326","GO:0006631",9,"GO:0006631",1,"GO:0006631",1,"GO:0006631",4,"GO:0006631",2,"GO:0006631",1,"The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis."
