"","x"
"1","N0.HOG0019298"
"2","N0.HOG0011635"
"3","N0.HOG0011614"
"4","N0.HOG0015655"
"5","N0.HOG0019296"
"6","N0.HOG0001264"
"7","N0.HOG0016132"
"8","N0.HOG0016667"
"9","N0.HOG0006585"
"10","N0.HOG0008842"
"11","N0.HOG0021651"
"12","N0.HOG0012233"
"13","N0.HOG0016699"
"14","N0.HOG0004489"
"15","N0.HOG0008833"
"16","N0.HOG0002805"
"17","N0.HOG0012300"
"18","N0.HOG0019631"
"19","N0.HOG0003468"
"20","N0.HOG0003398"
"21","N0.HOG0012517"
"22","N0.HOG0012357"
"23","N0.HOG0016749"
"24","N0.HOG0012447"
"25","N0.HOG0016549"
"26","N0.HOG0012971"
"27","N0.HOG0008554"
"28","N0.HOG0012335"
"29","N0.HOG0001292"
"30","N0.HOG0016662"
"31","N0.HOG0016701"
"32","N0.HOG0016813"
"33","N0.HOG0016515"
"34","N0.HOG0000052"
"35","N0.HOG0008573"
"36","N0.HOG0012176"
"37","N0.HOG0012248"
"38","N0.HOG0002890"
"39","N0.HOG0006601"
"40","N0.HOG0000971"
"41","N0.HOG0006605"
"42","N0.HOG0012197"
"43","N0.HOG0001407"
"44","N0.HOG0004685"
"45","N0.HOG0019731"
"46","N0.HOG0016612"
"47","N0.HOG0019564"
"48","N0.HOG0004016"
"49","N0.HOG0012812"
"50","N0.HOG0012698"
"51","N0.HOG0008828"
"52","N0.HOG0012398"
"53","N0.HOG0012641"
"54","N0.HOG0008824"
"55","N0.HOG0008814"
"56","N0.HOG0012912"
"57","N0.HOG0006469"
"58","N0.HOG0012256"
"59","N0.HOG0012820"
"60","N0.HOG0012420"
"61","N0.HOG0019658"
"62","N0.HOG0016719"
"63","N0.HOG0012313"
"64","N0.HOG0008457"
"65","N0.HOG0016654"
"66","N0.HOG0012201"
"67","N0.HOG0008798"
"68","N0.HOG0012885"
"69","N0.HOG0003448"
"70","N0.HOG0006632"
"71","N0.HOG0008667"
"72","N0.HOG0008874"
"73","N0.HOG0012387"
"74","N0.HOG0012485"
"75","N0.HOG0003986"
"76","N0.HOG0008473"
"77","N0.HOG0006580"
"78","N0.HOG0016674"
"79","N0.HOG0003994"
"80","N0.HOG0016655"
"81","N0.HOG0003963"
"82","N0.HOG0012503"
"83","N0.HOG0019598"
"84","N0.HOG0016831"
"85","N0.HOG0002924"
"86","N0.HOG0003389"
"87","N0.HOG0006598"
"88","N0.HOG0012616"
"89","N0.HOG0008765"
"90","N0.HOG0003948"
"91","N0.HOG0016710"
"92","N0.HOG0008453"
"93","N0.HOG0019610"
"94","N0.HOG0012569"
"95","N0.HOG0012614"
"96","N0.HOG0012566"
"97","N0.HOG0016545"
"98","N0.HOG0019508"
"99","N0.HOG0012564"
"100","N0.HOG0019590"
"101","N0.HOG0001787"
"102","N0.HOG0016197"
"103","N0.HOG0012222"
"104","N0.HOG0012708"
"105","N0.HOG0016555"
"106","N0.HOG0019697"
"107","N0.HOG0008030"
"108","N0.HOG0016745"
"109","N0.HOG0016698"
"110","N0.HOG0012866"
"111","N0.HOG0008632"
"112","N0.HOG0012181"
"113","N0.HOG0012340"
"114","N0.HOG0016681"
"115","N0.HOG0012928"
"116","N0.HOG0012565"
"117","N0.HOG0002038"
"118","N0.HOG0003968"
"119","N0.HOG0003411"
"120","N0.HOG0016736"
"121","N0.HOG0016585"
"122","N0.HOG0012346"
"123","N0.HOG0012774"
"124","N0.HOG0017119"
"125","N0.HOG0016828"
"126","N0.HOG0008688"
"127","N0.HOG0001810"
"128","N0.HOG0019875"
"129","N0.HOG0017144"
"130","N0.HOG0001502"
"131","N0.HOG0017114"
"132","N0.HOG0017160"
"133","N0.HOG0017073"
"134","N0.HOG0021861"
"135","N0.HOG0012588"
"136","N0.HOG0005513"
"137","N0.HOG0006679"
"138","N0.HOG0013171"
"139","N0.HOG0002905"
"140","N0.HOG0013139"
"141","N0.HOG0019897"
"142","N0.HOG0013201"
"143","N0.HOG0011376"
"144","N0.HOG0021874"
"145","N0.HOG0013125"
"146","N0.HOG0006716"
"147","N0.HOG0012209"
"148","N0.HOG0011677"
"149","N0.HOG0013136"
"150","N0.HOG0000099"
"151","N0.HOG0019837"
"152","N0.HOG0019826"
"153","N0.HOG0005512"
"154","N0.HOG0003732"
"155","N0.HOG0009821"
"156","N0.HOG0003399"
"157","N0.HOG0014282"
"158","N0.HOG0001801"
"159","N0.HOG0018019"
"160","N0.HOG0017854"
"161","N0.HOG0017949"
"162","N0.HOG0004931"
"163","N0.HOG0002310"
"164","N0.HOG0004909"
"165","N0.HOG0014677"
"166","N0.HOG0020409"
"167","N0.HOG0004186"
"168","N0.HOG0001206"
"169","N0.HOG0014557"
"170","N0.HOG0006402"
"171","N0.HOG0014287"
"172","N0.HOG0001401"
"173","N0.HOG0014265"
"174","N0.HOG0000908"
"175","N0.HOG0000682"
"176","N0.HOG0014466"
"177","N0.HOG0020322"
"178","N0.HOG0017874"
"179","N0.HOG0014483"
"180","N0.HOG0022164"
"181","N0.HOG0020293"
"182","N0.HOG0017891"
"183","N0.HOG0009914"
"184","N0.HOG0014378"
"185","N0.HOG0022177"
"186","N0.HOG0001856"
"187","N0.HOG0014579"
"188","N0.HOG0002116"
"189","N0.HOG0009808"
"190","N0.HOG0020330"
"191","N0.HOG0005709"
"192","N0.HOG0009891"
"193","N0.HOG0002131"
"194","N0.HOG0009748"
"195","N0.HOG0004172"
"196","N0.HOG0009790"
"197","N0.HOG0003029"
"198","N0.HOG0014375"
"199","N0.HOG0001326"
"200","N0.HOG0003589"
"201","N0.HOG0009873"
"202","N0.HOG0008100"
"203","N0.HOG0005736"
"204","N0.HOG0007039"
"205","N0.HOG0018034"
"206","N0.HOG0001266"
"207","N0.HOG0004908"
"208","N0.HOG0014505"
"209","N0.HOG0017894"
"210","N0.HOG0009842"
"211","N0.HOG0020318"
"212","N0.HOG0009876"
"213","N0.HOG0003607"
"214","N0.HOG0002094"
"215","N0.HOG0018039"
"216","N0.HOG0003453"
"217","N0.HOG0014285"
"218","N0.HOG0014349"
"219","N0.HOG0017900"
"220","N0.HOG0018028"
"221","N0.HOG0017841"
"222","N0.HOG0020279"
"223","N0.HOG0014398"
"224","N0.HOG0009716"
"225","N0.HOG0022175"
"226","N0.HOG0020325"
"227","N0.HOG0014410"
"228","N0.HOG0002442"
"229","N0.HOG0017294"
"230","N0.HOG0001263"
