"","x"
"1","Misin01G020500"
"2","Misin02G001900"
"3","Misin04G284400"
"4","MisinT390500"
"5","MisinT390600"
"6","MisinT390700"
"7","Os11g0139600"
"8","Os11g0705200"
"9","SORBI_3002G301800"
"10","SORBI_3005G229400"
"11","TraesCS7A02G173000"
"12","TraesCS7B02G077800"
"13","TraesCS7B02G078300"
"14","TraesCS7D02G174100"
"15","TraesCS7D02G174300"
"16","Zm00001eb164530"
"17","Misin03G268700"
"18","Misin10G200900"
"19","Misin01G043000"
"20","Misin02G028500"
"21","Misin07G428600"
"22","MisinT577400"
"23","Os03g0803700"
"24","SORBI_3001G050600"
"25","TraesCS5A02G191100"
"26","TraesCS5B02G460800"
"27","TraesCS5D02G462300"
"28","Zm00001eb061370"
"29","Misin01G061600"
"30","Misin01G144500"
"31","Misin02G063600"
"32","Misin02G397000"
"33","Misin17G267200"
"34","Os03g0756400"
"35","SORBI_3001G085100"
"36","TraesCS5B02G398100"
"37","TraesCS5D02G403100"
"38","Zm00001eb057710"
"39","Zm00001eb214610"
"40","Misin01G082700"
"41","Misin06G006600"
"42","MisinT360400"
"43","Os01g0223600"
"44","SORBI_3003G013000"
"45","TraesCS3A02G148400"
"46","TraesCS3B02G175300"
"47","TraesCS3D02G156100"
"48","Zm00001eb119570"
"49","Zm00001eb215970"
"50","Zm00001eb338910"
"51","Misin07G083300"
"52","Misin01G098500"
"53","Misin01G098600"
"54","Misin02G086200"
"55","Misin02G086300"
"56","Misin02G086400"
"57","Os03g0724100"
"58","SORBI_3001G108500"
"59","SORBI_3001G108600"
"60","SORBI_3001G108700"
"61","TraesCS4A02G259700"
"62","TraesCS4B02G055000"
"63","TraesCS4D02G055200"
"64","Zm00001eb055720"
"65","Zm00001eb055730"
"66","Misin01G098700"
"67","Misin01G106300"
"68","Misin02G096500"
"69","Misin11G243600"
"70","Misin12G254100"
"71","Os04g0497400"
"72","SORBI_3001G118700"
"73","SORBI_3006G244700"
"74","TraesCS2A02G352600"
"75","TraesCS2B02G371700"
"76","TraesCS2D02G351600"
"77","Zm00001eb432360"
"78","Zm00001eb068110"
"79","Misin01G126100"
"80","Misin02G130200"
"81","Misin11G161500"
"82","Misin12G168100"
"83","Os04g0544500"
"84","SORBI_3001G137300"
"85","SORBI_3006G166100"
"86","TraesCS2A02G391700"
"87","TraesCS2B02G410200"
"88","TraesCS2D02G390000"
"89","Zm00001eb427850"
"90","Zm00001eb075150"
"91","Misin01G148400"
"92","Misin02G114000"
"93","Misin02G444500"
"94","Os03g0197000"
"95","SORBI_3001G469700"
"96","TraesCS4A02G042300"
"97","TraesCS4B02G263000"
"98","TraesCS4D02G263100"
"99","Zm00001eb008090"
"100","Misin01G456100"
"101","Misin01G201500"
"102","Misin02G199000"
"103","Misin02G449400"
"104","Os10g0478200"
"105","SORBI_3001G219300"
"106","TraesCS1A02G155200"
"107","TraesCS1B02G172400"
"108","TraesCS1D02G153900"
"109","Zm00001eb045790"
"110","Zm00001eb221790"
"111","Misin04G275200"
"112","Misin01G208800"
"113","Misin01G483200"
"114","Misin02G201100"
"115","Misin02G476500"
"116","Os10g0456800"
"117","SORBI_3001G230700"
"118","SORBI_3001G505300"
"119","TraesCS1A02G143300"
"120","TraesCS1B02G159900"
"121","TraesCS1D02G142100"
"122","Zm00001eb003700"
"123","Zm00001eb046740"
"124","Misin01G230100"
"125","Misin02G223900"
"126","Misin02G460500"
"127","MisinT415200"
"128","Os10g0404900"
"129","SORBI_3001G253900"
"130","SORBI_3001G488900"
"131","TraesCS4A02G016600"
"132","TraesCS4B02G287600"
"133","TraesCS4D02G286400"
"134","Zm00001eb005440"
"135","Zm00001eb048440"
"136","Zm00001eb223300"
"137","Zm00001eb402220"
"138","Misin01G263500"
"139","Misin18G264600"
"140","Misin19G224700"
"141","Os06g0713000"
"142","SORBI_3010G262200"
"143","TraesCS7A02G383400"
"144","TraesCS7B02G286300"
"145","TraesCS7D02G379900"
"146","Zm00001eb227830"
"147","Misin08G183400"
"148","Misin01G283900"
"149","Misin01G284000"
"150","Misin01G284900"
"151","Misin02G273300"
"152","Misin02G273400"
"153","Misin02G273500"
"154","Misin02G273700"
"155","Os10g0555900"
"156","SORBI_3001G300500"
"157","SORBI_3001G300700"
"158","SORBI_3001G300800"
"159","SORBI_3001G300900"
"160","TraesCS1D02G215400"
"161","Zm00001eb023400"
"162","Zm00001eb023420"
"163","Zm00001eb391350"
"164","Zm00001eb391360"
"165","Misin01G303100"
"166","Misin01G511800"
"167","Misin02G294200"
"168","Misin02G489100"
"169","Os03g0116700"
"170","SORBI_3001G321500"
"171","SORBI_3001G532000"
"172","TraesCS1A02G188700"
"173","TraesCS1B02G196400"
"174","TraesCS1D02G187700"
"175","Zm00001eb001120"
"176","Zm00001eb021380"
"177","Misin01G340200"
"178","MisinT486000"
"179","Os08g0447000"
"180","SORBI_3007G145000"
"181","TraesCS1B02G234300"
"182","TraesCS1D02G222600"
"183","TraesCS3A02G146800"
"184","Zm00001eb040890"
"185","Misin13G121600"
"186","Misin02G365500"
"187","Misin01G357800"
"188","Misin02G337900"
"189","Misin03G310800"
"190","Misin04G391500"
"191","Os03g0343500"
"192","SORBI_3001G376600"
"193","SORBI_3002G414700"
"194","TraesCS7A02G344500"
"195","TraesCS7B02G238600"
"196","TraesCS7D02G335000"
"197","Zm00001eb111360"
"198","Zm00001eb330470"
"199","Zm00001eb394940"
"200","Misin01G379700"
"201","Misin01G379800"
"202","Misin02G368400"
"203","Misin14G112300"
"204","Os03g0307700"
"205","SORBI_3001G395600"
"206","SORBI_3001G395700"
"207","TraesCS4A02G121200"
"208","TraesCS4D02G184700"
"209","Zm00001eb396090"
"210","Misin02G368500"
"211","Misin01G434300"
"212","Misin02G433200"
"213","Misin02G433300"
"214","Misin02G433400"
"215","Misin03G364700"
"216","Os07g0685400"
"217","SORBI_3001G454301"
"218","SORBI_3001G454401"
"219","SORBI_3002G422100"
"220","SORBI_3003G225700"
"221","TraesCS2A02G100500"
"222","TraesCS2B02G117700"
"223","TraesCS2D02G090600"
"224","TraesCS2D02G100000"
"225","Zm00001eb331030"
"226","Misin04G399500"
"227","Misin01G437700"
"228","Misin02G431400"
"229","Misin04G321100"
"230","Misin19G114200"
"231","Misin19G114300"
"232","Os03g0214200"
"233","SORBI_3001G456400"
"234","SORBI_3010G102900"
"235","TraesCS4A02G057800"
"236","TraesCS4B02G247000"
"237","TraesCS4D02G246400"
"238","Zm00001eb400170"
"239","Misin01G446600"
"240","Misin02G422800"
"241","Misin13G189000"
"242","Os03g0203700"
"243","SORBI_3001G464900"
"244","SORBI_3007G215200"
"245","TraesCS4A02G046800"
"246","TraesCS4B02G258000"
"247","TraesCS4D02G257900"
"248","Zm00001eb007650"
"249","Zm00001eb034200"
"250","Zm00001eb199600"
"251","Misin07G224500"
"252","Misin02G114800"
"253","Os07g0689600"
"254","SORBI_3001G151400"
"255","TraesCS2A02G095700"
"256","TraesCS2B02G111100"
"257","TraesCS2D02G094200"
"258","Zm00001eb052890"
"259","Zm00001eb218440"
"260","Misin03G368700"
"261","Misin05G028700"
"262","Misin08G091700"
"263","Misin02G112200"
"264","Misin02G222400"
"265","Misin16G005600"
"266","Misin17G023300"
"267","Os05g0112101"
"268","SORBI_3009G014200"
"269","TraesCS1A02G035100"
"270","TraesCS1B02G044800"
"271","TraesCS1D02G036500"
"272","Zm00001eb266760"
"273","Misin09G091200"
"274","Misin02G453600"
"275","MisinT230700"
"276","MisinT426000"
"277","Os03g0184500"
"278","SORBI_3001G479600"
"279","TraesCS4A02G003900"
"280","TraesCS4B02G301400"
"281","TraesCS4D02G299700"
"282","Zm00001eb006360"
"283","Misin17G142400"
"284","Misin03G037500"
"285","Misin07G546500"
"286","Misin18G092700"
"287","Os02g0821400"
"288","SORBI_3004G349300"
"289","TraesCS6A02G399500"
"290","TraesCS6B02G439700"
"291","TraesCS6D02G383700"
"292","Zm00001eb191110"
"293","Misin17G069700"
"294","Misin08G333100"
"295","Misin03G041100"
"296","Misin04G047800"
"297","Os07g0173400"
"298","SORBI_3002G049200"
"299","TraesCS2A02G235700"
"300","TraesCS2B02G257600"
"301","TraesCS2D02G238100"
"302","Zm00001eb301070"
"303","Misin04G047900"
"304","Misin03G041000"
"305","Misin03G049700"
"306","Misin04G059800"
"307","Misin11G166200"
"308","Misin12G183900"
"309","Os07g0185200"
"310","SORBI_3002G056600"
"311","SORBI_3006G170700"
"312","TraesCS2A02G237900"
"313","TraesCS2B02G257400"
"314","TraesCS2D02G242200"
"315","Zm00001eb429740"
"316","Zm00001eb074680"
"317","Misin03G070000"
"318","Misin04G092000"
"319","Misin18G001300"
"320","Misin18G002100"
"321","Os05g0187000"
"322","SORBI_3010G007400"
"323","SORBI_3002G087000"
"324","SORBI_3003G035601"
"325","TraesCS1A02G122700"
"326","TraesCS1D02G123600"
"327","Zm00001eb268750"
"328","Zm00001eb304090"
"329","Misin03G074000"
"330","Misin04G086700"
"331","Misin16G254100"
"332","Misin17G264000"
"333","Os10g0497600"
"334","SORBI_3002G082100"
"335","SORBI_3009G254000"
"336","TraesCS1A02G433500"
"337","TraesCS1B02G469400"
"338","TraesCS1D02G443100"
"339","Zm00001eb095070"
"340","Zm00001eb297460"
"341","Misin03G118400"
"342","Misin05G042200"
"343","Misin06G030500"
"344","MisinT539900"
"345","Os02g0754700"
"346","SORBI_3002G140000"
"347","SORBI_3003G040000"
"348","TraesCS2B02G560200"
"349","Zm00001eb122020"
"350","Misin03G146000"
"351","Misin04G164200"
"352","Os09g0345300"
"353","SORBI_3002G176500"
"354","SORBI_3002G176700"
"355","TraesCS5A02G186500"
"356","TraesCS5B02G184900"
"357","TraesCS5D02G191800"
"358","Zm00001eb310470"
"359","MisinT315400"
"360","Misin03G148500"
"361","Misin03G151100"
"362","Misin04G165600"
"363","Misin07G517000"
"364","Misin07G517400"
"365","Misin18G065100"
"366","Misin19G069900"
"367","Os02g0785800"
"368","SORBI_3010G070500"
"369","SORBI_3002G179300"
"370","SORBI_3004G322200"
"371","TraesCS7A02G155900"
"372","TraesCS7D02G156300"
"373","Zm00001eb098510"
"374","Zm00001eb374200"
"375","Misin03G188000"
"376","Misin04G227400"
"377","Misin12G125000"
"378","Misin16G264200"
"379","Misin18G068100"
"380","Misin18G068200"
"381","Misin19G067200"
"382","Os12g0165900"
"383","Os12g0166000"
"384","SORBI_3006G126900"
"385","SORBI_3008G011100"
"386","TraesCS3A02G172200"
"387","TraesCS3B02G203000"
"388","TraesCS3D02G178700"
"389","Zm00001eb110560"
