"","x"
"1","N0.HOG0001649"
"2","N0.HOG0006291"
"3","N0.HOG0005217"
"4","N0.HOG0004654"
"5","N0.HOG0002869"
"6","N0.HOG0004696"
"7","N0.HOG0004683"
"8","N0.HOG0006605"
"9","N0.HOG0005386"
"10","N0.HOG0004646"
"11","N0.HOG0003297"
"12","N0.HOG0006344"
"13","N0.HOG0002025"
"14","N0.HOG0004647"
"15","N0.HOG0006548"
"16","N0.HOG0002924"
"17","N0.HOG0005418"
"18","N0.HOG0002449"
"19","N0.HOG0004687"
"20","N0.HOG0000900"
"21","N0.HOG0004396"
"22","N0.HOG0006205"
"23","N0.HOG0006212"
"24","N0.HOG0005224"
"25","N0.HOG0007011"
"26","N0.HOG0004808"
"27","N0.HOG0004931"
"28","N0.HOG0004512"
"29","N0.HOG0007577"
"30","N0.HOG0005734"
"31","N0.HOG0001401"
"32","N0.HOG0001961"
"33","N0.HOG0004448"
"34","N0.HOG0004488"
"35","N0.HOG0004908"
"36","N0.HOG0001331"
"37","N0.HOG0004915"
"38","N0.HOG0003607"
"39","N0.HOG0006951"
"40","N0.HOG0001151"
"41","N0.HOG0006998"
"42","N0.HOG0006090"
"43","N0.HOG0005093"
"44","N0.HOG0000362"
"45","N0.HOG0003186"
"46","N0.HOG0002643"
"47","N0.HOG0006096"
"48","N0.HOG0005104"
"49","N0.HOG0005139"
"50","N0.HOG0002654"
"51","N0.HOG0005170"
"52","N0.HOG0000460"
"53","N0.HOG0001507"
"54","N0.HOG0003195"
"55","N0.HOG0004356"
"56","N0.HOG0003137"
"57","N0.HOG0001373"
"58","N0.HOG0007494"
"59","N0.HOG0004331"
"60","N0.HOG0003748"
"61","N0.HOG0004397"
"62","N0.HOG0005130"
"63","N0.HOG0007374"
"64","N0.HOG0006010"
"65","N0.HOG0003694"
"66","N0.HOG0005113"
"67","N0.HOG0005142"
"68","N0.HOG0002664"
"69","N0.HOG0005161"
"70","N0.HOG0003710"
"71","N0.HOG0005220"
"72","N0.HOG0004347"
"73","N0.HOG0001967"
"74","N0.HOG0003887"
"75","N0.HOG0003362"
"76","N0.HOG0004503"
"77","N0.HOG0004486"
"78","N0.HOG0004793"
"79","N0.HOG0006377"
"80","N0.HOG0006379"
"81","N0.HOG0000887"
"82","N0.HOG0000520"
"83","N0.HOG0000649"
"84","N0.HOG0004560"
"85","N0.HOG0003831"
"86","N0.HOG0001757"
"87","N0.HOG0002820"
"88","N0.HOG0003895"
"89","N0.HOG0002746"
"90","N0.HOG0004459"
"91","N0.HOG0006179"
"92","N0.HOG0003784"
"93","N0.HOG0005186"
"94","N0.HOG0001933"
"95","N0.HOG0009239"
"96","N0.HOG0005593"
"97","N0.HOG0004110"
"98","N0.HOG0000916"
"99","N0.HOG0009326"
"100","N0.HOG0005581"
"101","N0.HOG0005574"
"102","N0.HOG0004099"
"103","N0.HOG0005487"
"104","N0.HOG0006920"
"105","N0.HOG0007099"
"106","N0.HOG0005521"
"107","N0.HOG0012580"
"108","N0.HOG0006761"
"109","N0.HOG0005276"
"110","N0.HOG0000241"
"111","N0.HOG0005249"
"112","N0.HOG0004462"
"113","N0.HOG0005233"
"114","N0.HOG0005252"
"115","N0.HOG0005215"
"116","N0.HOG0004139"
"117","N0.HOG0005662"
"118","N0.HOG0005652"
"119","N0.HOG0005664"
"120","N0.HOG0005665"
"121","N0.HOG0002509"
"122","N0.HOG0004123"
