"","GOID","GOTERM","ONTOLOGY","HOGs_with_GO_COUNT","HOGs_with_GO","TOTAL_COUNT.all_GO_ID","TOTAL_COUNT.Freq","Ta_COUNT.Var1","Ta_COUNT.Freq","Os_COUNT.Var1","Os_COUNT.Freq","Ms_COUNT.Var1","Ms_COUNT.Freq","Sb_COUNT.Var1","Sb_COUNT.Freq","Zm_COUNT.Var1","Zm_COUNT.Freq","DEFINITION"
"1","GO:0006355","regulation of DNA-templated transcription","BP",10,"N0.HOG0004915 N0.HOG0004683 N0.HOG0001649 N0.HOG0003297 N0.HOG0005664 N0.HOG0006010 N0.HOG0006344 N0.HOG0005233 N0.HOG0003186 N0.HOG0004356","GO:0006355",121,"GO:0006355",30,"GO:0006355",11,"GO:0006355",43,"GO:0006355",14,"GO:0006355",23,"Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"2","GO:0001708","cell fate specification","BP",1,"N0.HOG0006291","GO:0001708",9,"GO:0001708",3,"GO:0001708",1,"GO:0001708",3,"GO:0001708",1,"GO:0001708",1,"The cellular developmental process involved in cell fate commitment in which the cell is designated to follow a developmental path, unless they receive extrinsic cues that direct an alternative fate."
"3","GO:0009793","embryo development ending in seed dormancy","BP",4,"N0.HOG0006291 N0.HOG0004503 N0.HOG0005215 N0.HOG0002449","GO:0009793",37,"GO:0009793",8,"GO:0009793",3,"GO:0009793",18,"GO:0009793",5,"GO:0009793",3,"The process whose specific outcome is the progression of the embryo over time, from zygote formation to the end of seed dormancy. An example of this process is found in Arabidopsis thaliana."
"4","GO:0009926","auxin polar transport","BP",1,"N0.HOG0006291","GO:0009926",9,"GO:0009926",3,"GO:0009926",1,"GO:0009926",3,"GO:0009926",1,"GO:0009926",1,"The unidirectional movement of auxin in the stem from tip to base along the vector of gravity or basipetally."
"5","GO:0010305","leaf vascular tissue pattern formation","BP",1,"N0.HOG0006291","GO:0010305",10,"GO:0010305",3,"GO:0010305",1,"GO:0010305",4,"GO:0010305",1,"GO:0010305",1,"Vascular tissue pattern formation as it occurs in the leaf of vascular plants."
"6","GO:0019827","stem cell population maintenance","BP",2,"N0.HOG0006291 N0.HOG0005662","GO:0019827",20,"GO:0019827",6,"GO:0019827",2,"GO:0019827",7,"GO:0019827",2,"GO:0019827",3,"The process by which an organism or tissue maintains a population of stem cells of a single type. This can be achieved by a number of mechanisms: stem cell asymmetric division maintains stem cell numbers; stem cell symmetric division increases them; maintenance of a stem cell niche maintains the conditions for commitment to the stem cell fate for some types of stem cell; stem cells may arise de novo from other cell types."
"7","GO:0048364","root development","BP",2,"N0.HOG0006291 N0.HOG0002654","GO:0048364",25,"GO:0048364",6,"GO:0048364",2,"GO:0048364",10,"GO:0048364",4,"GO:0048364",3,"The process whose specific outcome is the progression of the root over time, from its formation to the mature structure. The root is the water- and mineral-absorbing part of a plant which is usually underground, does not bear leaves, tends to grow downwards and is typically derived from the radicle of the embryo."
"8","GO:0002237","response to molecule of bacterial origin","BP",1,"N0.HOG0005217","GO:0002237",9,"GO:0002237",2,"GO:0002237",1,"GO:0002237",3,"GO:0002237",1,"GO:0002237",2,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin."
"9","GO:0006970","response to osmotic stress","BP",2,"N0.HOG0005217 N0.HOG0005220","GO:0006970",20,"GO:0006970",5,"GO:0006970",2,"GO:0006970",8,"GO:0006970",2,"GO:0006970",3,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of solutes outside the organism or cell."
"10","GO:0007165","signal transduction","BP",3,"N0.HOG0005521 N0.HOG0005217 N0.HOG0004687","GO:0007165",34,"GO:0007165",6,"GO:0007165",3,"GO:0007165",15,"GO:0007165",5,"GO:0007165",5,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell."
"11","GO:0007186","G protein-coupled receptor signaling pathway","BP",1,"N0.HOG0005217","GO:0007186",11,"GO:0007186",2,"GO:0007186",1,"GO:0007186",5,"GO:0007186",1,"GO:0007186",2,"The series of molecular signals initiated by a ligand binding to its receptor, in which the activated receptor promotes the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, and ends with regulation of a downstream cellular process. The pathway can start from the plasma membrane, Golgi or nuclear membrane."
