"","x"
"1","N0.HOG0001649"
"2","N0.HOG0004654"
"3","N0.HOG0004683"
"4","N0.HOG0005386"
"5","N0.HOG0006344"
"6","N0.HOG0002025"
"7","N0.HOG0000900"
"8","N0.HOG0006205"
"9","N0.HOG0005224"
"10","N0.HOG0007577"
"11","N0.HOG0005734"
"12","N0.HOG0004488"
"13","N0.HOG0001331"
"14","N0.HOG0004915"
"15","N0.HOG0001151"
"16","N0.HOG0006998"
"17","N0.HOG0005093"
"18","N0.HOG0007374"
"19","N0.HOG0005113"
"20","N0.HOG0003887"
"21","N0.HOG0004503"
"22","N0.HOG0000520"
"23","N0.HOG0003895"
"24","N0.HOG0006179"
"25","N0.HOG0003784"
"26","N0.HOG0005186"
"27","N0.HOG0009239"
"28","N0.HOG0005581"
"29","N0.HOG0004099"
"30","N0.HOG0006920"
"31","N0.HOG0005521"
"32","N0.HOG0005652"
"33","N0.HOG0005664"
"34","N0.HOG0002509"
